team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
ORL,,False,4566434,Franz Wagner,22,starters,+2,3-8,4,0,5,8-21,10-13,43,0,2,29,5,2,2
ORL,,False,4702382,Tristan da Silva,23,starters,+5,2-6,2,1,5,5-10,1-2,40,1,1,13,6,3,0
ORL,,False,4277847,Wendell Carter Jr.,34,starters,+3,2-4,2,4,4,5-11,3-4,37,2,6,15,6,1,1
ORL,,False,4066320,Desmond Bane,3,starters,-9,2-7,4,1,2,9-20,6-6,44,2,3,26,4,1,3
ORL,,False,4712849,Anthony Black,0,starters,+2,1-5,4,1,3,7-14,3-5,36,0,5,18,3,1,2
ORL,,False,4065654,Jonathan Isaac,1,bench,-4,1-2,0,0,5,1-3,0-0,14,1,1,3,6,0,0
ORL,,False,4348700,Goga Bitadze,35,bench,-7,0-0,1,1,1,1-2,2-4,16,3,3,4,4,1,0
ORL,,False,3135046,Tyus Jones,2,bench,-8,0-2,2,0,2,0-4,0-0,15,0,0,0,2,1,0
ORL,,False,5105806,Jett Howard,13,bench,-4,1-3,2,1,2,2-6,0-0,20,0,1,5,2,1,0
ORL,,False,4278572,Jamal Cain,8,bench,,,,,,,,,,,,,,
ORL,,False,5214637,Noah Penda,93,bench,,,,,,,,,,,,,,
ORL,,False,4593049,Orlando Robinson,7,bench,,,,,,,,,,,,,,
ORL,,False,5239561,Jase Richardson,11,bench,,,,,,,,,,,,,,
HOU,,False,3202,Kevin Durant,7,starters,+4,2-8,6,1,5,13-24,7-7,45,0,2,35,5,0,5
HOU,,False,4432639,Jabari Smith Jr.,10,starters,-4,2-4,0,1,9,4-9,0-0,43,1,6,10,10,1,1
HOU,,False,4871144,Alperen Sengun,28,starters,+5,0-1,8,2,4,11-31,8-10,45,8,5,30,12,0,5
HOU,,False,4065663,Josh Okogie,20,starters,-18,0-0,1,0,2,0-0,1-2,22,0,1,1,2,2,0
HOU,,False,4684740,Amen Thompson,1,starters,+7,0-1,2,0,8,4-13,4-4,39,2,2,12,10,0,1
HOU,,False,2991235,Steven Adams,12,bench,-2,0-0,0,0,5,1-8,1-2,27,8,3,3,13,0,2
HOU,,False,3922230,Aaron Holiday,0,bench,+9,2-2,0,0,1,3-4,2-2,16,0,0,10,1,0,0
HOU,,False,4711272,Reed Sheppard,15,bench,+19,2-4,2,0,7,6-11,2-2,29,0,4,16,7,1,0
HOU,,False,3209,Jeff Green,32,bench,,,,,,,,,,,,,,
HOU,,False,3136777,Jae'Sean Tate,8,bench,,,,,,,,,,,,,,
HOU,,False,3102529,Clint Capela,30,bench,,,,,,,,,,,,,,
HOU,,False,4576085,JD Davison,4,bench,,,,,,,,,,,,,,
