id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018099964,1,12:00,Kel'el Ware vs. Victor Wembanyama (Devin Vassell gains possession),24,SA,0,0,4,615,,66.8
4018099967,1,11:45,Devin Vassell makes 23-foot three point jumper (Victor Wembanyama assists),24,SA,3,0,7,92,True,71.2
4018099969,1,11:28,Davion Mitchell makes two point shot (Kel'el Ware assists),14,SA,3,2,9,126,True,69.4
40180999610,1,11:10,Julian Champagnie makes layup (Harrison Barnes assists),24,SA,5,2,10,142,True,71
40180999612,1,11:00,Bam Adebayo lost ball turnover (Harrison Barnes steals),14,SA,5,2,12,63,,73.3
40180999614,1,10:56,Victor Wembanyama misses 26-foot three point shot,24,SA,5,2,14,113,,71.6
40180999615,1,10:53,Bam Adebayo defensive rebound,14,SA,5,2,15,155,,71
40180999616,1,10:46,Andrew Wiggins misses 24-foot three point jumper,14,SA,5,2,16,92,,72.6
40180999617,1,10:42,Devin Vassell defensive rebound,24,SA,5,2,17,155,,73.2
40180999618,1,10:36,Devin Vassell misses 13-foot pullup jump shot,24,SA,5,2,18,131,,71.5
40180999620,1,10:36,Victor Wembanyama offensive rebound,24,SA,5,2,20,156,,73.2
40180999621,1,10:27,Victor Wembanyama makes tip shot,24,SA,7,2,21,94,True,74.9
40180999622,1,10:19,Bam Adebayo makes 23-foot three point jumper (Andrew Wiggins assists),14,SA,7,5,22,92,True,70.9
40180999624,1,10:07,Stephon Castle makes 2-foot two point shot,24,SA,9,5,24,128,True,72.8
40180999625,1,9:59,Andrew Wiggins makes driving layup,14,SA,9,7,25,110,True,70.8
40180999626,1,9:47,Stephon Castle bad pass (Kel'el Ware steals),24,SA,9,7,26,62,,68.7
40180999628,1,9:41,Bam Adebayo misses 25-foot three point jumper,14,SA,9,7,28,92,,70.2
40180999629,1,9:37,Devin Vassell defensive rebound,24,SA,9,7,29,155,,70.7
40180999630,1,9:28,Victor Wembanyama makes driving layup,24,SA,11,7,30,110,True,72.7
40180999631,1,9:20,Stephon Castle blocks Bam Adebayo 's 2-foot layup,14,SA,11,7,31,95,,74.3
40180999633,1,9:17,Stephon Castle defensive rebound,24,SA,11,7,33,155,,74.9
40180999634,1,9:05,Stephon Castle misses two point shot,24,SA,11,7,34,145,,73.2
40180999635,1,9:02,Pelle Larsson defensive rebound,14,SA,11,7,35,155,,72.6
40180999636,1,8:57,Davion Mitchell makes 26-foot three point shot (Bam Adebayo assists),14,SA,11,10,36,113,True,68.8
40180999638,1,8:28,Victor Wembanyama misses 16-foot pullup jump shot,24,SA,11,10,38,131,,66.6
40180999639,1,8:24,Bam Adebayo defensive rebound,14,SA,11,10,39,155,,65.9
40180999640,1,8:16,Stephon Castle shooting foul,24,SA,11,10,40,44,,62.3
40180999642,1,8:16,Andrew Wiggins misses free throw 1 of 2,14,SA,11,10,42,98,,64.2
40180999643,1,8:16,Heat offensive team rebound,14,SA,11,10,43,156,,65.9
40180999644,1,8:16,Andrew Wiggins misses free throw 2 of 2,14,SA,11,10,44,99,,68.3
40180999645,1,8:14,Julian Champagnie defensive rebound,24,SA,11,10,45,155,,68.3
40180999646,1,8:00,Devin Vassell misses 23-foot three point jumper,24,SA,11,10,46,92,,66.4
40180999647,1,7:57,Davion Mitchell defensive rebound,14,SA,11,10,47,155,,65.8
40180999648,1,7:51,Bam Adebayo makes 23-foot three point jumper (Andrew Wiggins assists),14,SA,11,13,48,92,True,61
40180999650,1,7:50,Spurs Full timeout,24,SA,11,13,50,16,,61
40180999652,1,7:29,Devin Vassell misses 17-foot pullup jump shot,24,SA,11,13,52,131,,59
40180999653,1,7:25,Kel'el Ware defensive rebound,14,SA,11,13,53,155,,58.3
40180999654,1,7:16,Julian Champagnie blocks Andrew Wiggins 's 3-foot two point shot,14,SA,11,13,54,128,,60.2
40180999655,1,7:13,Julian Champagnie defensive rebound,24,SA,11,13,55,155,,60.8
40180999656,1,7:08,Victor Wembanyama offensive foul,24,SA,11,13,56,42,,58.2
40180999658,1,7:08,Victor Wembanyama turnover,24,SA,11,13,58,84,,58.2
40180999659,1,6:58,Pelle Larsson makes 11-foot two point shot (Davion Mitchell assists),14,SA,11,15,59,114,True,55.5
40180999661,1,6:48,Davion Mitchell personal foul,14,SA,11,15,61,45,,55.3
40180999663,1,6:40,Harrison Barnes makes 26-foot three point jumper (Stephon Castle assists),24,SA,14,15,63,92,True,60.6
40180999665,1,6:21,Davion Mitchell makes 26-foot three point jumper (Kel'el Ware assists),14,SA,14,18,65,92,True,55.2
40180999668,1,6:06,Stephon Castle makes 5-foot pullup jump shot,24,SA,16,18,68,131,True,57.6
40180999669,1,6:06,Davion Mitchell shooting foul,14,SA,16,18,69,44,,62.1
40180999671,1,6:06,Heat Full timeout,14,SA,16,18,71,16,,62.1
40180999672,1,6:06,(06:06) [Heat] COACH'S CHALLENGE (REPLAY SUPPORTS CALL) [Heat] charged with a timeout,14,SA,16,18,72,214,,57.5
40180999674,1,6:06,Keldon Johnson enters the game for Julian Champagnie,24,SA,16,18,74,584,,57.5
