team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
IND,,False,3149673,Pascal Siakam,43,starters,-29,3-8,1,1,5,8-17,10-12,34,2,2,29,7,1,3
IND,,False,4432170,Isaiah Jackson,22,starters,-2,0-0,3,1,2,6-7,4-6,27,8,5,16,10,2,1
IND,,False,5106060,Jarace Walker,5,starters,-9,1-2,1,0,1,2-4,3-5,28,2,2,8,3,2,3
IND,,False,4395712,Andrew Nembhard,2,starters,-14,1-3,4,1,0,4-10,6-6,32,1,2,15,1,0,5
IND,,False,4683634,Bennedict Mathurin,00,starters,-16,3-9,2,0,3,7-16,8-14,25,0,5,25,3,1,4
IND,,False,4432813,Jeremiah Robinson-Earl,25,bench,+14,0-2,0,0,6,2-8,0-0,20,3,1,4,9,0,0
IND,,False,4065673,Tony Bradley,13,bench,-10,0-0,1,0,2,1-6,2-2,17,3,5,4,5,0,3
IND,,False,4065731,Jay Huff,32,bench,-4,1-3,0,1,0,2-4,0-0,8,0,1,5,0,0,0
IND,,False,3059310,Monte Morris,3,bench,+3,0-0,0,0,0,1-1,0-0,2,0,0,2,0,0,1
IND,,False,2530530,T.J. McConnell,9,bench,-8,0-0,2,0,1,0-4,0-0,15,0,2,0,1,1,1
IND,,False,4433076,Ben Sheppard,26,bench,-3,0-4,4,1,3,2-7,0-0,29,1,1,4,4,1,0
IND,,False,4703421,Taelon Peter,4,bench,+3,0-0,1,0,0,0-0,0-0,2,0,0,0,0,0,0
IND,,False,4431941,RayJ Dennis,10,bench,,,,,,,,,,,,,,
DET,,False,3157465,Duncan Robinson,55,starters,+8,3-11,4,0,1,4-12,2-3,34,1,3,13,2,2,1
DET,,False,4432810,Isaiah Stewart,28,starters,+10,2-5,0,5,1,3-7,2-2,20,1,6,10,2,0,2
DET,,False,4683771,Ronald Holland II,5,starters,+6,1-2,2,2,6,3-6,0-0,31,1,3,7,7,1,3
DET,,False,4433621,Jalen Duren,0,starters,+20,0-0,3,0,10,12-13,7-11,29,5,3,31,15,0,1
DET,,False,5107199,Daniss Jenkins,24,starters,+23,1-5,8,0,0,11-21,3-4,33,2,4,26,2,1,4
DET,,False,4278562,Paul Reed,7,bench,-3,0-1,3,1,1,2-3,3-4,13,1,4,7,2,1,1
DET,,False,4592187,Wendell Moore Jr.,14,bench,+9,0-0,0,0,2,0-2,0-0,15,0,0,0,2,1,1
DET,,False,5107818,Isaac Jones,13,bench,-3,0-1,0,0,0,1-2,0-0,1,0,0,2,0,0,0
DET,,False,2596112,Javonte Green,31,bench,+4,1-4,0,0,3,7-11,5-5,27,1,5,20,4,2,0
DET,,False,2991043,Caris LeVert,8,bench,-1,0-3,8,0,4,4-8,0-1,17,1,0,8,5,0,3
DET,,False,4700852,Chaz Lanier,20,bench,+2,1-3,1,0,1,1-3,0-0,18,1,0,3,2,1,0
DET,,False,4397882,Tolu Smith,35,bench,,,,,,,,,,,,,,
