team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
BOS,,False,4687718,Josh Minott,8,starters,-2,2-4,50.0,1,0,5,4-7,57.1,2-2,100.0,25,3,3,12,8,1,2
BOS,,False,4397424,Neemias Queta,88,starters,+7,0-0,0.0,2,2,5,2-8,25.0,1-2,50.0,30,3,4,5,8,1,0
BOS,,False,3078576,Derrick White,9,starters,-9,1-6,16.7,10,1,1,7-16,43.8,1-1,100.0,37,1,4,16,2,3,1
BOS,,False,3917376,Jaylen Brown,7,starters,-21,1-6,16.7,3,0,9,15-28,53.6,1-2,50.0,36,0,3,32,9,1,4
BOS,,False,4066354,Payton Pritchard,11,starters,-11,5-8,62.5,4,0,2,8-16,50.0,6-8,75.0,32,0,3,27,2,1,3
BOS,,False,4065804,Sam Hauser,30,bench,-15,1-5,20.0,3,0,2,1-6,16.7,0-0,0.0,21,1,0,3,3,1,0
BOS,,False,4277951,Luka Garza,52,bench,-16,0-1,0.0,0,3,0,1-3,33.3,0-0,0.0,13,0,3,2,0,0,0
BOS,,False,4351851,Anfernee Simons,4,bench,-14,3-6,50.0,2,1,2,4-8,50.0,0-0,0.0,18,0,5,11,2,0,1
BOS,,False,4683689,Jordan Walsh,27,bench,+7,0-1,0.0,0,1,4,1-3,33.3,0-0,0.0,19,2,1,2,6,1,2
BOS,,False,5175647,Hugo Gonzalez,28,bench,+9,0-0,0.0,1,0,2,0-0,0.0,0-1,0.0,9,2,1,0,4,0,1
BOS,,False,3948153,Chris Boucher,99,bench,,,,,,,,,,,,,,,,,
BOS,,False,4277964,Xavier Tillman,26,bench,,,,,,,,,,,,,,,,,
BOS,,False,4593841,Baylor Scheierman,55,bench,,,,,,,,,,,,,,,,,
ORL,,False,4432573,Paolo Banchero,5,starters,+25,1-3,33.3,4,1,8,4-10,40.0,6-8,75.0,36,1,0,15,9,1,2
ORL,,False,4566434,Franz Wagner,22,starters,0,2-7,28.6,6,1,3,9-18,50.0,7-7,100.0,37,3,2,27,6,0,3
ORL,,False,4277847,Wendell Carter Jr.,34,starters,+10,2-4,50.0,1,0,3,5-10,50.0,6-7,85.7,31,2,2,18,5,2,3
ORL,,False,4066320,Desmond Bane,3,starters,+25,2-5,40.0,7,2,6,8-15,53.3,4-5,80.0,36,0,3,22,6,1,1
ORL,,False,4432165,Jalen Suggs,4,starters,+7,4-6,66.7,5,0,2,5-8,62.5,0-0,0.0,21,1,5,14,3,0,3
ORL,,False,4065654,Jonathan Isaac,1,bench,-7,1-1,100.0,0,0,1,1-1,100.0,0-0,0.0,5,0,0,3,1,0,1
ORL,,False,4702382,Tristan da Silva,23,bench,+8,3-5,60.0,0,0,1,4-8,50.0,0-0,0.0,18,1,0,11,2,0,0
ORL,,False,4348700,Goga Bitadze,35,bench,+2,0-0,0.0,1,2,5,0-1,0.0,0-2,0.0,15,2,2,0,7,0,1
ORL,,False,3135046,Tyus Jones,2,bench,-11,0-0,0.0,0,0,1,0-0,0.0,0-0,0.0,8,0,1,0,1,0,0
ORL,,False,4712849,Anthony Black,0,bench,+6,2-5,40.0,4,1,3,5-11,45.5,1-2,50.0,33,1,3,13,4,4,1
ORL,,False,5214637,Noah Penda,93,bench,,,,,,,,,,,,,,,,,
ORL,,False,5105806,Jett Howard,13,bench,,,,,,,,,,,,,,,,,
ORL,,False,5239561,Jase Richardson,11,bench,,,,,,,,,,,,,,,,,
