id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018095024,1,12:00,Kristaps Porzingis vs. Isaiah Jackson (Jalen Johnson gains possession),1,ATL,0,0,4,615,,60.6
4018095027,1,11:40,Jalen Johnson makes 4-foot two point shot,1,ATL,0,2,7,128,True,63.3
4018095028,1,11:20,Zaccharie Risacher blocks Jarace Walker 's 4-foot driving floating jump shot,11,ATL,0,2,8,144,,64.8
40180950210,1,11:18,Kristaps Porzingis defensive rebound,1,ATL,0,2,10,155,,65.4
40180950227,1,11:06,Nickeil Alexander-Walker bad pass (Quenton Jackson steals),1,ATL,0,2,27,62,,63.2
40180950214,1,10:51,Jarace Walker makes 27-foot three pointer,11,ATL,3,2,14,131,True,58.2
40180950215,1,10:40,Dyson Daniels makes two point shot,1,ATL,3,4,15,145,True,60.5
40180950216,1,10:24,Pascal Siakam makes driving layup (Jarace Walker assists),11,ATL,5,4,16,110,True,58.1
40180950218,1,10:14,Kristaps Porzingis misses 31-foot three point jumper,1,ATL,5,4,18,92,,55.8
40180950219,1,10:10,Pascal Siakam defensive rebound,11,ATL,5,4,19,155,,55
40180950220,1,10:04,Pascal Siakam makes 28-foot three point shot (Quenton Jackson assists),11,ATL,8,4,20,147,True,50.6
40180950221,1,9:52,Nickeil Alexander-Walker misses 27-foot three point jumper,1,IND,8,4,21,92,,51.7
40180950222,1,9:48,Isaiah Jackson defensive rebound,11,IND,8,4,22,155,,52.5
40180950223,1,9:43,Zaccharie Risacher shooting foul,1,IND,8,4,23,44,,56.2
40180950225,1,9:43,Pascal Siakam makes free throw 1 of 2,11,IND,9,4,25,98,True,56.9
40180950226,1,9:43,Pascal Siakam makes free throw 2 of 2,11,IND,10,4,26,99,True,55
40180950229,1,9:30,Jalen Johnson makes 2-foot layup (Kristaps Porzingis assists),1,IND,10,6,29,141,True,52.4
40180950231,1,9:19,Aaron Nesmith makes 28-foot three point jumper (Pascal Siakam assists),11,IND,13,6,31,92,True,57.8
40180950233,1,9:07,Dyson Daniels misses 4-foot two point shot,1,IND,13,6,33,114,,59.6
40180950234,1,9:06,Kristaps Porzingis offensive rebound,1,IND,13,6,34,156,,57.9
