team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
CHA,,False,4066383,Miles Bridges,0,starters,+4,1-7,14.3,3,0,4,6-16,37.5,9-10,90.0,32,0,0,22,4,1,0
CHA,,False,4576060,Ryan Kalkbrenner,11,starters,+9,0-0,0.0,1,0,3,2-3,66.7,0-0,0.0,22,2,2,4,5,0,1
CHA,,False,4277811,Collin Sexton,8,starters,+4,0-1,0.0,3,0,2,7-10,70.0,6-7,85.7,33,0,2,20,2,2,3
CHA,,False,4432816,LaMelo Ball,1,starters,+32,5-12,41.7,13,0,9,13-25,52.0,7-7,100.0,35,4,3,38,13,3,4
CHA,,False,5061575,Kon Knueppel,7,starters,+19,5-9,55.6,2,0,6,7-12,58.3,1-2,50.0,35,0,2,20,6,1,2
CHA,,False,4433249,Moussa Diabate,14,bench,+12,0-0,0.0,1,2,6,4-9,44.4,4-5,80.0,23,4,1,12,10,0,1
CHA,,False,5211176,Tidjane Salaun,31,bench,+22,1-1,100.0,1,1,6,1-1,100.0,1-2,50.0,16,1,3,4,7,2,0
CHA,,False,2488653,Mason Plumlee,22,bench,+5,0-0,0.0,0,0,2,1-1,100.0,0-0,0.0,3,0,0,2,2,0,0
CHA,,False,2578239,Pat Connaughton,21,bench,+7,0-0,0.0,1,0,0,2-2,100.0,0-1,0.0,2,0,0,4,0,0,0
CHA,,False,4432819,Tre Mann,23,bench,-4,0-2,0.0,0,0,2,0-4,0.0,0-0,0.0,12,0,2,0,2,1,0
CHA,,False,4602025,Sion James,4,bench,+13,3-4,75.0,3,1,0,4-7,57.1,2-2,100.0,20,0,0,13,0,2,0
CHA,,False,5239590,Liam McNeeley,33,bench,+7,0-2,0.0,2,0,1,0-2,0.0,0-0,0.0,6,0,1,0,1,0,0
WSH,,False,6609,Khris Middleton,22,starters,-4,0-1,0.0,1,0,2,4-6,66.7,3-3,100.0,20,1,3,11,3,1,2
WSH,,False,5174563,Kyshawn George,18,starters,-22,0-4,0.0,5,0,8,3-7,42.9,0-0,0.0,25,0,6,6,8,0,3
WSH,,False,5160992,Alex Sarr,20,starters,-7,1-3,33.3,5,3,3,9-15,60.0,4-4,100.0,25,1,1,23,4,0,2
WSH,,False,2490149,CJ McCollum,3,starters,-5,4-11,36.4,5,0,5,8-20,40.0,4-6,66.7,30,1,2,24,6,0,1
WSH,,False,4845374,Bub Carrington,7,starters,-8,0-1,0.0,5,0,2,2-7,28.6,0-0,0.0,26,1,3,4,3,2,1
WSH,,False,2581184,Anthony Gill,16,bench,-4,0-0,0.0,0,0,0,0-0,0.0,2-2,100.0,2,0,0,2,0,0,1
WSH,,False,4277848,Marvin Bagley III,35,bench,-14,0-0,0.0,0,0,1,1-1,100.0,0-0,0.0,10,0,2,2,1,0,1
WSH,,False,4280151,Corey Kispert,24,bench,-13,0-0,0.0,0,0,1,0-1,0.0,0-0,0.0,20,0,1,0,1,1,0
WSH,,False,4432907,Justin Champagnie,9,bench,-6,0-0,0.0,0,0,1,0-1,0.0,4-4,100.0,6,2,1,4,3,0,0
WSH,,False,4997537,Tristan Vukcevic,00,bench,-1,1-1,100.0,0,0,2,2-3,66.7,1-2,50.0,11,0,2,6,2,0,0
WSH,,False,5105592,Cam Whitmore,1,bench,-16,1-3,33.3,2,0,4,4-10,40.0,1-2,50.0,21,0,1,10,4,1,4
WSH,,False,4432173,Sharife Cooper,17,bench,-7,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0
WSH,,False,5144126,Will Riley,27,bench,-3,1-3,33.3,0,0,1,2-5,40.0,0-0,0.0,9,0,0,5,1,0,0
WSH,,False,5170947,AJ Johnson,4,bench,-4,0-0,0.0,0,0,0,0-1,0.0,0-0,0.0,4,0,1,0,0,0,0
WSH,,False,5238230,Tre Johnson,12,bench,-16,2-7,28.6,2,1,3,6-14,42.9,2-2,100.0,29,1,4,16,4,0,0
