team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
BKN,,False,4278104,Michael Porter Jr.,17,starters,-13,2-4,50.0,2,0,3,8-13,61.5,0-0,0.0,28,1,3,18,4,0,3
BKN,,False,4278067,Nic Claxton,33,starters,-11,0-0,0.0,3,0,1,3-5,60.0,0-0,0.0,23,2,5,6,3,0,1
BKN,,False,3907823,Terance Mann,14,starters,-24,3-5,60.0,0,0,3,8-11,72.7,2-3,66.7,23,3,2,21,6,0,0
BKN,,False,4432174,Cam Thomas,24,starters,-18,1-2,50.0,2,0,1,3-9,33.3,2-5,40.0,25,0,1,9,1,1,2
BKN,,False,5242502,Ben Saraf,77,starters,-9,2-5,40.0,5,0,1,2-8,25.0,0-0,0.0,25,0,2,6,1,1,2
BKN,,False,4431714,Jalen Wilson,22,bench,-14,1-4,25.0,2,0,1,3-8,37.5,2-2,100.0,23,0,1,9,1,1,2
BKN,,False,4432821,E.J. Liddell,9,bench,+2,1-2,50.0,0,0,1,2-3,66.7,1-1,100.0,5,1,0,6,2,0,0
BKN,,False,4712896,Noah Clowney,21,bench,-21,0-4,0.0,1,0,1,1-6,16.7,0-0,0.0,16,1,0,2,2,0,0
BKN,,False,4432194,Day'Ron Sharpe,20,bench,-10,1-2,50.0,2,0,7,6-7,85.7,4-5,80.0,22,5,4,17,12,0,0
BKN,,False,4397179,Tyrese Martin,13,bench,-10,3-8,37.5,2,0,2,4-10,40.0,0-0,0.0,23,2,2,11,4,0,0
BKN,,False,4432887,Tyson Etienne,10,bench,+2,0-1,0.0,0,0,0,0-1,0.0,0-0,0.0,5,0,0,0,0,0,0
BKN,,False,5279130,Nolan Traore,88,bench,-14,1-3,33.3,3,0,1,1-5,20.0,1-2,50.0,21,0,4,4,1,0,2
HOU,,False,3202,Kevin Durant,7,starters,+10,0-4,0.0,3,0,6,6-14,42.9,7-7,100.0,25,0,4,19,6,1,3
HOU,,False,4432639,Jabari Smith Jr.,10,starters,+19,1-3,33.3,0,0,3,4-7,57.1,2-2,100.0,24,1,0,11,4,2,0
HOU,,False,4871144,Alperen Sengun,28,starters,+25,2-2,100.0,6,0,4,7-11,63.6,5-5,100.0,30,2,0,21,6,1,3
HOU,,False,4065663,Josh Okogie,20,starters,+11,2-2,100.0,1,0,0,3-5,60.0,2-2,100.0,31,0,4,10,0,2,0
HOU,,False,4684740,Amen Thompson,1,starters,+33,0-1,0.0,8,0,4,5-10,50.0,2-3,66.7,25,0,3,12,4,1,0
HOU,,False,3209,Jeff Green,32,bench,-5,1-1,100.0,0,0,0,1-1,100.0,0-0,0.0,4,0,1,3,0,0,0
HOU,,False,3136777,Jae'Sean Tate,8,bench,-1,0-0,0.0,0,0,1,2-3,66.7,0-0,0.0,7,0,3,4,1,1,0
HOU,,False,4433192,Tari Eason,17,bench,+21,5-7,71.4,5,1,5,8-12,66.7,1-3,33.3,26,0,2,22,5,0,0
HOU,,False,2991235,Steven Adams,12,bench,+20,0-0,0.0,1,1,3,0-1,0.0,4-4,100.0,16,5,1,4,8,0,1
HOU,,False,3102529,Clint Capela,30,bench,0,0-0,0.0,0,2,1,4-4,100.0,0-0,0.0,14,0,3,8,1,0,0
HOU,,False,3922230,Aaron Holiday,0,bench,-1,1-2,50.0,0,0,0,2-3,66.7,0-0,0.0,7,0,0,5,0,0,0
HOU,,False,4576085,JD Davison,4,bench,-1,1-3,33.3,1,0,0,1-3,33.3,0-0,0.0,7,0,0,3,0,1,0
HOU,,False,4711272,Reed Sheppard,15,bench,+9,3-7,42.9,8,0,3,6-11,54.5,0-0,0.0,24,1,1,15,4,1,2
