team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
DET,,False,3157465,Duncan Robinson,55,starters,+4,4-9,3,0,2,5-10,0-0,31,1,1,14,3,1,2
DET,,False,4432810,Isaiah Stewart,28,starters,+6,0-0,3,0,7,4-7,5-5,26,2,2,13,9,0,2
DET,,False,4433621,Jalen Duren,0,starters,+4,0-0,3,1,4,8-12,8-11,29,4,4,24,8,2,2
DET,,False,4432166,Cade Cunningham,2,starters,+3,1-7,10,0,6,10-23,4-4,34,0,4,25,6,2,3
DET,,False,5107199,Daniss Jenkins,24,starters,+8,1-4,7,0,3,6-10,1-2,30,0,1,14,3,2,1
DET,,False,4278562,Paul Reed,7,bench,0,0-0,0,0,2,2-2,0-0,9,0,0,4,2,1,0
DET,,False,4683771,Ronald Holland II,5,bench,+13,0-1,1,0,1,1-2,0-0,19,0,1,2,1,1,0
DET,,False,2596112,Javonte Green,31,bench,+14,1-3,1,0,3,3-5,2-2,29,0,0,9,3,2,2
DET,,False,4684742,Ausar Thompson,9,bench,-10,0-0,0,3,2,3-5,0-0,24,0,3,6,2,1,0
DET,,False,4700852,Chaz Lanier,20,bench,-2,3-7,0,0,2,3-7,0-0,11,0,0,9,2,0,0
DET,,False,4397882,Tolu Smith,35,bench,,,,,,,,,,,,,,
DET,,False,4592187,Wendell Moore Jr.,,bench,,,,,,,,,,,,,,
DET,,False,5107818,Isaac Jones,3,bench,,,,,,,,,,,,,,
ATL,,False,4431680,Onyeka Okongwu,17,starters,-22,4-7,3,2,1,8-13,1-1,34,0,6,21,1,1,5
ATL,,False,4701230,Jalen Johnson,1,starters,-7,3-8,9,1,8,8-18,6-6,39,0,2,25,8,3,4
ATL,,False,4278039,Nickeil Alexander-Walker,7,starters,-19,1-9,3,0,3,9-20,5-6,37,0,4,24,3,0,0
ATL,,False,4578893,Vit Krejci,27,starters,+1,3-8,2,0,3,3-9,0-0,36,0,3,9,3,0,2
ATL,,False,4869342,Dyson Daniels,5,starters,+4,0-0,6,1,5,6-9,0-0,38,4,1,12,9,3,3
ATL,,False,4712863,Mouhamed Gueye,18,bench,+17,1-5,1,1,4,5-10,0-0,21,7,3,11,11,0,1
ATL,,False,4873201,Asa Newell,14,bench,-4,0-0,0,0,0,0-0,0-0,2,0,0,0,0,0,0
ATL,,False,3913174,Luke Kennard,3,bench,+4,1-2,5,0,0,1-2,0-0,17,0,3,3,0,1,1
ATL,,False,4279118,Keaton Wallace,2,bench,-5,2-4,2,0,0,2-4,1-2,13,0,1,7,0,1,1
ATL,,False,4433623,Caleb Houstan,33,bench,-9,0-1,0,0,0,0-2,0-0,3,0,1,0,0,0,0
ATL,,False,4592461,Jacob Toppin,0,bench,,,,,,,,,,,,,,
ATL,,False,5211175,Zaccharie Risacher,10,bench,,,,,,,,,,,,,,
