team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
TOR,,False,3913176,Brandon Ingram,3,starters,-21,0-3,0.0,5,0,3,5-11,45.5,4-4,100.0,32,0,3,14,3,0,0
TOR,,False,4395625,RJ Barrett,9,starters,-13,2-7,28.6,2,0,2,9-18,50.0,5-5,100.0,32,0,1,25,2,1,2
TOR,,False,4433134,Scottie Barnes,4,starters,-8,2-4,50.0,2,1,3,3-7,42.9,0-1,0.0,30,0,4,8,3,0,2
TOR,,False,3134908,Jakob Poeltl,19,starters,-9,0-0,0.0,1,1,2,1-6,16.7,0-0,0.0,24,0,3,2,2,0,4
TOR,,False,4395724,Immanuel Quickley,5,starters,-9,2-4,50.0,7,0,3,4-7,57.1,5-6,83.3,32,0,2,15,3,3,0
TOR,,False,4278580,Sandro Mamukelashvili,54,bench,-4,1-1,100.0,2,0,0,2-2,100.0,0-2,0.0,17,0,1,5,0,1,2
TOR,,False,5093267,Collin Murray-Boyles,12,bench,-17,3-5,60.0,1,1,2,7-13,53.8,2-4,50.0,24,1,2,19,3,3,2
TOR,,False,5107897,Jonathan Mogbo,2,bench,0,0-0,0.0,1,0,0,1-1,100.0,0-0,0.0,3,0,0,2,0,0,0
TOR,,False,4397018,Ochai Agbaji,30,bench,+5,0-0,0.0,2,0,1,2-4,50.0,0-0,0.0,12,0,0,4,1,1,0
TOR,,False,4432241,Jamal Shead,23,bench,-9,1-4,25.0,5,0,2,2-6,33.3,1-1,100.0,16,0,3,6,2,0,2
TOR,,False,4684272,Ja'Kobe Walter,14,bench,-10,1-2,50.0,1,1,1,1-2,50.0,0-0,0.0,10,0,3,3,1,0,1
TOR,,False,5106258,Gradey Dick,1,bench,+5,0-2,0.0,0,0,0,0-2,0.0,0-0,0.0,8,0,1,0,0,0,0
TOR,,False,4431893,Jamison Battle,77,bench,,,,,,,,,,,,,,,,,
TOR,,False,4023,Garrett Temple,17,bench,,,,,,,,,,,,,,,,,
SA,,False,6578,Harrison Barnes,40,starters,+12,4-5,80.0,5,0,0,6-7,85.7,2-2,100.0,32,0,2,18,0,1,3
SA,,False,4592479,Julian Champagnie,30,starters,+5,1-4,25.0,1,1,9,3-7,42.9,2-3,66.7,23,0,0,9,9,0,1
SA,,False,5104157,Victor Wembanyama,1,starters,+35,0-0,0.0,4,1,13,7-8,87.5,10-10,100.0,31,2,1,24,15,1,4
SA,,False,4395630,Devin Vassell,24,starters,+20,2-6,33.3,5,0,3,5-10,50.0,3-3,100.0,30,0,3,15,3,2,3
SA,,False,4845367,Stephon Castle,5,starters,+17,1-4,25.0,4,0,3,6-12,50.0,9-14,64.3,31,2,1,22,5,2,5
SA,,False,4395723,Keldon Johnson,3,bench,-2,2-3,66.7,0,0,3,4-6,66.7,0-0,0.0,24,2,1,10,5,1,1
SA,,False,4433618,Harrison Ingram,55,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0
SA,,False,4713010,David Jones Garcia,25,bench,0,0-0,0.0,0,0,0,1-2,50.0,0-0,0.0,2,0,0,2,0,0,0
SA,,False,5061568,Carter Bryant,11,bench,+7,1-1,100.0,0,1,0,1-3,33.3,0-0,0.0,11,0,1,3,0,0,2
SA,,False,5177362,Riley Minix,27,bench,0,0-0,0.0,1,0,0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0
SA,,False,6427,Bismack Biyombo,18,bench,-14,0-0,0.0,1,0,1,1-1,100.0,0-0,0.0,14,0,3,2,1,1,0
SA,,False,3134916,Jordan McLaughlin,0,bench,+4,1-2,50.0,2,0,0,1-2,50.0,2-2,100.0,10,0,2,5,0,2,0
SA,,False,5037871,Dylan Harper,2,bench,+6,1-2,50.0,6,0,5,4-9,44.4,2-2,100.0,27,1,3,11,6,1,1
