id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100264,1,12:00,Adem Bona vs. Jarrett Allen (Jaylon Tyson gains possession),5,CLE,0,0,4,615,,81.1
4018100267,1,11:49,Donovan Mitchell misses 26-foot three point jumper,5,CLE,0,0,7,92,,80.1
4018100268,1,11:41,Jaylon Tyson offensive rebound,5,CLE,0,0,8,156,,81
4018100269,1,11:41,Jaylon Tyson makes tip shot,5,CLE,2,0,9,94,True,82.7
40181002610,1,11:34,Tyrese Maxey bad pass (Donovan Mitchell steals),20,CLE,2,0,10,62,,84
40181002612,1,11:28,Darius Garland misses 24-foot three point shot,5,CLE,2,0,12,113,,82.9
40181002613,1,11:27,Cavaliers offensive team rebound,5,CLE,2,0,13,156,,83.9
40181002615,1,11:13,Evan Mobley misses two point shot,5,CLE,2,0,15,123,,82.8
40181002616,1,11:10,Jabari Walker defensive rebound,20,CLE,2,0,16,155,,82.5
40181002617,1,11:06,Tyrese Maxey makes 15-foot running pullup jump shot,20,CLE,2,2,17,146,True,80.7
40181002619,1,10:48,Darius Garland makes 23-foot three point jumper (Donovan Mitchell assists),5,CLE,5,2,19,92,True,83.7
40181002621,1,10:23,Tyrese Maxey bad pass (Jarrett Allen steals),20,CLE,5,2,21,62,,85
40181002623,1,10:17,Evan Mobley makes 1-foot dunk (Jaylon Tyson assists),5,CLE,7,2,23,116,True,86.1
40181002625,1,10:11,Tyrese Maxey back court turnover,20,CLE,7,2,25,72,,87.3
40181002626,1,9:57,Donovan Mitchell makes 24-foot three point jumper (Evan Mobley assists),5,CLE,10,2,26,92,True,89.5
40181002628,1,9:46,VJ Edgecombe makes 3-foot driving floating jump shot,20,CLE,10,4,28,144,True,88.4
40181002629,1,9:31,Jarrett Allen makes 1-foot two point shot,5,CLE,12,4,29,112,True,89.4
40181002630,1,9:15,Kelly Oubre Jr. misses 4-foot two point shot,20,CLE,12,4,30,114,,90
40181002631,1,9:13,Jarrett Allen defensive rebound,5,CLE,12,4,31,155,,90.2
40181002632,1,9:05,Evan Mobley bad pass (Jabari Walker steals),5,CLE,12,4,32,62,,89.3
40181002634,1,9:01,VJ Edgecombe misses 25-foot three point shot,20,CLE,12,4,34,113,,90
40181002635,1,8:57,Darius Garland defensive rebound,5,CLE,12,4,35,155,,90.2
40181002636,1,8:53,Donovan Mitchell makes two point shot,5,CLE,14,4,36,129,True,91.1
40181002637,1,8:39,Tyrese Maxey misses 22-foot three point jumper,20,CLE,14,4,37,92,,91.6
40181002638,1,8:37,Jabari Walker offensive rebound,20,CLE,14,4,38,156,,91
40181002639,1,8:34,VJ Edgecombe misses 24-foot three point jumper,20,CLE,14,4,39,92,,91.6
40181002640,1,8:30,VJ Edgecombe offensive rebound,20,CLE,14,4,40,156,,91
40181002641,1,8:29,Kelly Oubre Jr. misses 25-foot three point jumper,20,CLE,14,4,41,92,,91.6
40181002642,1,8:27,Cavaliers defensive team rebound,5,CLE,14,4,42,155,,91.8
40181002644,1,8:06,Jarrett Allen misses 23-foot three point jumper,5,CLE,14,4,44,92,,91.2
40181002645,1,8:01,Adem Bona defensive rebound,20,CLE,14,4,45,155,,90.9
40181002646,1,8:00,Adem Bona bad pass (Jarrett Allen steals),20,CLE,14,4,46,62,,91.8
40181002648,1,7:57,Donovan Mitchell makes 25-foot three point shot (Jarrett Allen assists),5,CLE,17,4,48,113,True,93.4
40181002650,1,7:57,76ers Full timeout,20,CLE,17,4,50,16,,93.4
40181002651,1,7:57,Quentin Grimes enters the game for Jabari Walker,20,CLE,17,4,51,584,,93.4
40181002652,1,7:57,Andre Drummond enters the game for Adem Bona,20,CLE,17,4,52,584,,93.4
40181002655,1,7:39,Evan Mobley shooting foul,5,CLE,17,4,55,44,,92.2
40181002657,1,7:39,Kelly Oubre Jr. makes free throw 1 of 2,20,CLE,17,5,57,98,True,92
40181002658,1,7:39,Kelly Oubre Jr. misses free throw 2 of 2,20,CLE,17,5,58,99,,93.3
40181002659,1,7:37,Jarrett Allen defensive rebound,5,CLE,17,5,59,155,,93.3
40181002660,1,7:25,Evan Mobley misses 5-foot two point shot,5,CLE,17,5,60,135,,92.7
40181002661,1,7:22,76ers defensive team rebound,20,CLE,17,5,61,155,,92.6
40181002663,1,7:22,Dean Wade enters the game for Jarrett Allen,5,CLE,17,5,63,584,,92.6
40181002664,1,7:22,Lonzo Ball enters the game for Donovan Mitchell,5,CLE,17,5,64,584,,92.6
40181002668,1,7:06,Kelly Oubre Jr. makes 25-foot three point jumper (Tyrese Maxey assists),20,CLE,17,8,68,92,True,90.9
40181002670,1,6:51,Evan Mobley makes 9-foot two point shot (Dean Wade assists),5,CLE,19,8,70,137,True,91.7
40181002673,1,6:44,VJ Edgecombe makes two point shot (Tyrese Maxey assists),20,CLE,19,10,73,128,True,90.8
40181002675,1,6:44,Evan Mobley defensive goaltending violation,5,CLE,19,10,75,9,,90.8
40181002676,1,6:44,Cavaliers Full timeout,5,CLE,19,10,76,16,,90.8
40181002678,1,6:44,Sam Merrill enters the game for Dean Wade,5,CLE,19,10,78,584,,90.8
40181002680,1,6:33,Sam Merrill makes 24-foot three point jumper (Darius Garland assists),5,CLE,22,10,80,92,True,92.5
40181002682,1,6:06,VJ Edgecombe misses 5-foot two point shot,20,CLE,22,10,82,130,,93
40181002683,1,6:05,Andre Drummond offensive rebound,20,CLE,22,10,83,156,,92.4
40181002684,1,6:05,shot clock turnover ,20,CLE,22,10,84,70,,93.2
40181002685,1,6:05,Larry Nance Jr. enters the game for Darius Garland,5,CLE,22,10,85,584,,93.2
40181002687,1,5:50,Sam Merrill misses 24-foot three point jumper,5,CLE,22,10,87,92,,92.6
40181002688,1,5:49,Evan Mobley offensive rebound,5,CLE,22,10,88,156,,93.2
40181002689,1,5:48,Andre Drummond blocks Evan Mobley 's 2-foot two point shot,5,CLE,22,10,89,125,,92.6
40181002691,1,5:45,Larry Nance Jr. offensive rebound,5,CLE,22,10,91,156,,93.2
40181002692,1,5:43,Lonzo Ball misses 25-foot three point jumper,5,CLE,22,10,92,92,,92.6
40181002693,1,5:40,Larry Nance Jr. offensive rebound,5,CLE,22,10,93,156,,93.2
40181002694,1,5:39,Jaylon Tyson misses 26-foot three point jumper,5,CLE,22,10,94,92,,92.6
40181002695,1,5:36,Tyrese Maxey defensive rebound,20,CLE,22,10,95,155,,92.4
40181002696,1,5:30,Tyrese Maxey bad pass (Lonzo Ball steals),20,CLE,22,10,96,62,,93.2
