team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
CHA,,False,4066383,Miles Bridges,0,starters,-4,3-9,33.3,7,0,7,6-18,33.3,3-3,100.0,35,2,2,18,9,0,1
CHA,,False,4433287,Brandon Miller,24,starters,-12,0-2,0.0,1,0,0,2-6,33.3,0-0,0.0,9,0,1,4,0,0,2
CHA,,False,4576060,Ryan Kalkbrenner,11,starters,+1,0-0,0.0,1,1,3,7-7,100.0,0-0,0.0,26,4,3,14,7,1,1
CHA,,False,4277811,Collin Sexton,8,starters,-19,3-5,60.0,7,0,2,7-13,53.8,4-6,66.7,30,0,4,21,2,1,1
CHA,,False,4432816,LaMelo Ball,1,starters,+12,4-11,36.4,8,1,8,8-18,44.4,7-8,87.5,34,2,5,27,10,3,4
CHA,,False,4433249,Moussa Diabate,14,bench,-4,0-0,0.0,0,1,2,2-2,100.0,2-7,28.6,17,0,2,6,2,1,0
CHA,,False,5211176,Tidjane Salaun,31,bench,0,1-2,50.0,1,0,4,1-2,50.0,0-0,0.0,13,1,1,3,5,0,0
CHA,,False,2488653,Mason Plumlee,22,bench,-1,0-0,0.0,1,0,0,0-0,0.0,0-0,0.0,5,0,0,0,0,0,0
CHA,,False,4432819,Tre Mann,23,bench,+4,0-5,0.0,2,0,4,1-7,14.3,2-2,100.0,22,1,4,4,5,0,3
CHA,,False,4602025,Sion James,4,bench,+3,2-2,100.0,1,0,1,4-5,80.0,0-0,0.0,19,1,0,10,2,0,1
CHA,,False,5061575,Kon Knueppel,7,bench,0,3-6,50.0,1,0,1,5-11,45.5,1-2,50.0,30,2,4,14,3,0,3
CHA,,False,2578239,Pat Connaughton,21,bench,,,,,,,,,,,,,,,,,
CHA,,False,5239590,Liam McNeeley,33,bench,,,,,,,,,,,,,,,,,
PHI,,False,4870562,Dominick Barlow,25,starters,+7,0-1,0.0,0,0,3,1-2,50.0,0-0,0.0,16,1,1,2,4,0,1
PHI,,False,3059318,Joel Embiid,21,starters,-2,3-6,50.0,4,0,2,7-11,63.6,3-5,60.0,20,0,0,20,2,2,4
PHI,,False,3133603,Kelly Oubre Jr.,9,starters,+18,2-3,66.7,1,0,1,7-10,70.0,3-3,100.0,37,0,3,19,1,2,0
PHI,,False,4431678,Tyrese Maxey,0,starters,+3,4-9,44.4,9,1,5,7-20,35.0,10-12,83.3,42,1,3,28,6,0,2
PHI,,False,5124612,VJ Edgecombe,77,starters,+9,1-3,33.3,8,1,5,6-15,40.0,2-2,100.0,40,1,4,15,6,3,2
PHI,,False,4432446,Jabari Walker,33,bench,-11,0-3,0.0,0,2,3,0-3,0.0,0-0,0.0,15,1,3,0,4,0,2
PHI,,False,4711297,Justin Edwards,11,bench,-5,3-5,60.0,0,0,1,3-5,60.0,0-0,0.0,12,0,4,9,1,0,2
PHI,,False,6585,Andre Drummond,1,bench,+12,0-1,0.0,2,0,7,3-6,50.0,1-3,33.3,16,6,2,7,13,2,0
PHI,,False,5105637,Adem Bona,30,bench,-6,0-0,0.0,1,1,0,0-1,0.0,1-2,50.0,12,0,1,1,0,1,0
PHI,,False,4397014,Quentin Grimes,5,bench,-5,5-8,62.5,4,0,2,7-14,50.0,5-5,100.0,30,1,4,24,3,0,2
PHI,,False,4433569,Johni Broome,22,bench,,,,,,,,,,,,,,,,,
PHI,,False,3012,Kyle Lowry,7,bench,,,,,,,,,,,,,,,,,
PHI,,False,3431,Eric Gordon,23,bench,,,,,,,,,,,,,,,,,
