team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
DEN,,False,3064290,Aaron Gordon,32,starters,+28,2-6,33.3,0,0,3,6-12,50.0,4-4,100.0,31,2,0,18,5,1,1
DEN,,False,3138196,Cameron Johnson,23,starters,-1,0-1,0.0,0,0,1,1-3,33.3,0-0,0.0,8,2,1,2,3,0,0
DEN,,False,3112335,Nikola Jokic,15,starters,+28,5-6,83.3,6,1,10,18-23,78.3,14-16,87.5,34,2,1,55,12,1,2
DEN,,False,3936299,Jamal Murray,27,starters,+11,1-5,20.0,4,0,4,5-16,31.3,4-4,100.0,33,1,0,15,5,4,3
DEN,,False,4431767,Christian Braun,0,starters,+8,0-0,0.0,4,0,2,2-2,100.0,2-2,100.0,16,2,1,6,4,0,1
DEN,,False,4395620,Hunter Tyson,5,bench,-4,0-1,0.0,0,0,1,0-2,0.0,0-0,0.0,3,0,0,0,1,1,0
DEN,,False,4431690,Zeke Nnaji,22,bench,-4,0-0,0.0,1,0,0,0-0,0.0,0-0,0.0,3,0,0,0,0,0,0
DEN,,False,4592427,Spencer Jones,21,bench,+15,1-1,100.0,1,0,0,1-1,100.0,0-0,0.0,15,0,5,3,0,1,0
DEN,,False,6477,Jonas Valanciunas,17,bench,-10,0-1,0.0,1,1,2,3-4,75.0,2-4,50.0,11,1,1,8,3,0,1
DEN,,False,2528210,Tim Hardaway Jr.,10,bench,+24,3-5,60.0,3,0,1,3-7,42.9,3-3,100.0,21,0,1,12,1,1,0
DEN,,False,4065670,Bruce Brown,11,bench,-4,0-1,0.0,0,0,4,1-4,25.0,0-0,0.0,28,0,2,2,4,0,0
DEN,,False,4398390,Jalen Pickett,24,bench,-4,1-1,100.0,1,0,1,1-1,100.0,0-0,0.0,3,0,1,3,1,0,2
DEN,,False,4432181,Julian Strawther,3,bench,-16,0-3,0.0,0,0,1,2-5,40.0,0-0,0.0,11,0,0,4,1,0,1
DEN,,False,4576087,Peyton Watson,8,bench,-1,0-3,0.0,1,1,1,1-4,25.0,0-2,0.0,22,1,1,2,2,0,0
LAC,,False,3908845,John Collins,20,starters,-22,0-1,0.0,0,2,3,1-6,16.7,0-0,0.0,21,1,3,2,4,0,2
LAC,,False,3936099,Derrick Jones Jr.,5,starters,-13,0-3,0.0,4,2,2,4-8,50.0,0-0,0.0,20,2,2,8,4,1,2
LAC,,False,4017837,Ivica Zubac,40,starters,-10,0-0,0.0,1,2,3,9-14,64.3,0-0,0.0,32,6,2,18,9,0,2
LAC,,False,3992,James Harden,1,starters,-24,1-6,16.7,5,0,8,6-15,40.0,10-10,100.0,30,0,0,23,8,0,2
LAC,,False,2991139,Kris Dunn,8,starters,-8,0-0,0.0,2,0,0,1-4,25.0,1-1,100.0,16,0,5,3,0,1,1
LAC,,False,3416,Nicolas Batum,33,bench,-4,2-3,66.7,3,0,2,2-3,66.7,0-0,0.0,22,0,3,6,2,1,0
LAC,,False,3448,Brook Lopez,11,bench,-2,2-4,50.0,1,1,1,4-7,57.1,0-0,0.0,16,0,4,10,1,0,1
LAC,,False,3037789,Bogdan Bogdanovic,10,bench,+10,3-5,60.0,6,0,0,4-8,50.0,0-0,0.0,20,0,5,11,0,0,2
LAC,,False,4396818,Jordan Miller,22,bench,+4,5-7,71.4,1,0,3,6-10,60.0,5-6,83.3,26,1,0,22,4,1,0
LAC,,False,4431752,Kobe Brown,24,bench,+5,0-1,0.0,1,0,2,1-2,50.0,0-0,0.0,7,0,0,2,2,0,1
LAC,,False,4702352,Kobe Sanders,4,bench,-11,3-7,42.9,3,0,0,3-7,42.9,0-0,0.0,25,1,6,9,1,0,1
LAC,,False,4845363,Cam Christie,12,bench,+5,0-0,0.0,1,0,1,0-0,0.0,2-2,100.0,6,0,0,2,1,0,0
LAC,,False,2779,Chris Paul,3,bench,,,,,,,,,,,,,,,,,
