team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
TOR,,False,3913176,Brandon Ingram,3,starters,-1,1-6,16.7,4,1,5,8-17,47.1,8-9,88.9,33,0,1,25,5,1,0
TOR,,False,4395625,RJ Barrett,9,starters,+7,0-7,0.0,6,0,1,6-21,28.6,1-1,100.0,29,3,2,13,4,0,1
TOR,,False,4433134,Scottie Barnes,4,starters,+10,0-1,0.0,5,1,9,6-9,66.7,3-3,100.0,31,2,5,15,11,1,2
TOR,,False,3134908,Jakob Poeltl,19,starters,+15,0-0,0.0,2,2,6,5-6,83.3,2-4,50.0,30,4,4,12,10,1,0
TOR,,False,4395724,Immanuel Quickley,5,starters,+20,3-8,37.5,5,0,6,10-17,58.8,1-2,50.0,32,2,2,24,8,2,1
TOR,,False,4431893,Jamison Battle,77,bench,0,1-1,100.0,1,0,3,1-2,50.0,0-0,0.0,13,0,0,3,3,0,0
TOR,,False,5093267,Collin Murray-Boyles,12,bench,-2,1-1,100.0,1,0,2,2-2,100.0,4-4,100.0,20,2,5,9,4,0,0
TOR,,False,5107897,Jonathan Mogbo,2,bench,-5,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,1,0,0,0,0,0,0
TOR,,False,4432241,Jamal Shead,23,bench,-4,1-2,50.0,5,0,1,2-4,50.0,1-2,50.0,18,0,0,6,1,0,2
TOR,,False,4684272,Ja'Kobe Walter,14,bench,+2,2-5,40.0,0,0,1,2-6,33.3,0-0,0.0,15,0,3,6,1,0,1
TOR,,False,5106258,Gradey Dick,1,bench,+8,0-4,0.0,2,0,3,3-7,42.9,0-0,0.0,20,0,1,6,3,0,1
TOR,,False,4023,Garrett Temple,17,bench,,,,,,,,,,,,,,,,,
BKN,,False,4278104,Michael Porter Jr.,17,starters,-2,1-6,16.7,3,1,5,5-14,35.7,10-10,100.0,36,1,3,21,6,0,3
BKN,,False,4712896,Noah Clowney,21,starters,-8,2-7,28.6,3,2,8,4-9,44.4,8-9,88.9,35,0,3,18,8,2,4
BKN,,False,4278067,Nic Claxton,33,starters,-1,0-0,0.0,4,2,4,8-14,57.1,5-5,100.0,35,4,3,21,8,2,2
BKN,,False,3907823,Terance Mann,14,starters,+1,1-1,100.0,4,0,2,3-8,37.5,2-2,100.0,32,1,3,9,3,0,1
BKN,,False,5175643,Egor Demin,8,starters,-4,4-8,50.0,5,0,4,5-11,45.5,2-2,100.0,28,0,2,16,4,1,1
BKN,,False,4431714,Jalen Wilson,22,bench,-11,3-5,60.0,0,0,1,3-7,42.9,0-0,0.0,16,0,1,9,1,0,0
BKN,,False,4433137,Ziaire Williams,1,bench,-18,0-7,0.0,0,0,2,0-8,0.0,2-2,100.0,17,0,2,2,2,0,0
BKN,,False,5107173,Danny Wolf,2,bench,+5,0-0,0.0,0,0,1,0-0,0.0,2-2,100.0,2,0,0,2,1,0,0
BKN,,False,4397179,Tyrese Martin,13,bench,-4,0-1,0.0,1,0,1,0-1,0.0,0-0,0.0,14,0,1,0,1,0,0
BKN,,False,4432887,Tyson Etienne,10,bench,+5,1-2,50.0,0,0,0,1-2,50.0,0-0,0.0,2,0,0,3,0,0,0
BKN,,False,5037873,Drake Powell,4,bench,-18,2-4,50.0,3,0,1,2-6,33.3,0-0,0.0,22,0,2,6,1,2,1
BKN,,False,5242502,Ben Saraf,77,bench,+5,0-0,0.0,1,0,0,1-1,100.0,0-0,0.0,2,1,0,2,1,0,0
