team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
MEM,,False,4277961,Jaren Jackson Jr.,8,starters,-4,2-7,3,0,4,8-20,0-0,33,2,2,18,6,0,3
MEM,,False,4903027,Cedric Coward,23,starters,+3,5-7,1,0,9,7-15,0-0,26,2,0,19,11,0,3
MEM,,False,5112087,Jaylen Wells,0,starters,-1,1-4,2,0,1,4-9,0-0,27,0,1,9,1,2,0
MEM,,False,4600663,Zach Edey,14,starters,+4,0-0,2,2,6,4-10,0-0,25,5,3,8,11,0,3
MEM,,False,4397227,Vince Williams Jr.,5,starters,+11,1-5,9,0,5,5-13,3-4,30,4,3,14,9,0,1
MEM,,False,4593125,Santi Aldama,7,bench,-2,0-2,2,1,4,4-10,2-2,26,2,0,10,6,1,1
MEM,,False,3146557,Jock Landale,31,bench,-17,0-2,2,1,3,2-9,0-3,18,4,3,4,7,1,2
MEM,,False,2581018,Kentavious Caldwell-Pope,3,bench,-16,0-3,3,0,2,2-6,0-0,19,1,1,4,3,1,0
MEM,,False,3134932,John Konchar,46,bench,-5,0-2,3,0,2,0-2,0-0,14,1,1,0,3,1,0
MEM,,False,4433083,Cam Spencer,24,bench,-23,3-7,3,0,2,6-10,0-0,24,0,1,15,2,0,1
MEM,,False,4595400,Olivier-Maxence Prosper,18,bench,,,,,,,,,,,,,,
MEM,,False,5105550,GG Jackson,45,bench,,,,,,,,,,,,,,
MEM,,False,4683934,Jahmai Mashack,21,bench,,,,,,,,,,,,,,
SA,,False,6578,Harrison Barnes,40,starters,+3,4-8,3,0,5,9-14,1-1,32,0,1,23,5,1,0
SA,,False,4592479,Julian Champagnie,30,starters,-7,2-5,0,0,0,3-6,1-1,24,1,0,9,1,0,1
SA,,False,3064560,Luke Kornet,7,starters,-4,0-0,3,0,2,0-1,0-0,25,2,1,0,4,1,0
SA,,False,4066259,De'Aaron Fox,4,starters,+7,3-8,3,1,1,10-20,3-4,33,0,3,26,1,2,2
SA,,False,4395630,Devin Vassell,24,starters,+11,2-4,5,2,3,3-11,2-2,35,0,3,10,3,2,1
SA,,False,2489663,Kelly Olynyk,8,bench,+15,1-4,3,0,5,3-6,3-4,19,0,4,10,5,2,1
SA,,False,4066317,Lindy Waters III,43,bench,-4,0-2,0,0,3,0-2,0-0,5,0,0,0,3,0,0
SA,,False,4395723,Keldon Johnson,3,bench,+11,1-5,1,0,7,8-15,1-1,30,0,1,18,7,2,2
SA,,False,4610139,Jeremy Sochan,10,bench,+10,2-3,2,0,6,3-6,0-0,22,0,3,8,6,0,2
SA,,False,4713010,David Jones Garcia,25,bench,+7,0-0,2,0,1,1-1,0-0,7,0,0,2,1,0,0
SA,,False,5061568,Carter Bryant,11,bench,+1,1-3,0,0,1,2-5,0-0,8,1,0,5,2,0,0
SA,,False,4433618,Harrison Ingram,55,bench,,,,,,,,,,,,,,
SA,,False,5177362,Riley Minix,27,bench,,,,,,,,,,,,,,
SA,,False,6427,Bismack Biyombo,18,bench,,,,,,,,,,,,,,
