team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
SAC,,False,3155942,Domantas Sabonis,11,starters,-7,0-1,5,0,10,7-14,3-4,36,3,3,17,13,3,3
SAC,,False,3468,Russell Westbrook,18,starters,-3,3-6,7,0,8,4-11,3-6,35,1,2,14,9,2,5
SAC,,False,3978,DeMar DeRozan,10,starters,-23,1-1,4,0,1,12-15,2-2,39,1,4,27,2,2,1
SAC,,False,3064440,Zach LaVine,8,starters,-7,1-4,3,0,2,3-7,1-1,25,0,2,8,2,1,2
SAC,,False,4702177,Keon Ellis,23,starters,-14,0-2,0,0,1,1-3,0-0,15,0,1,2,1,0,0
SAC,,False,4431679,Precious Achiuwa,9,bench,+3,0-2,0,0,1,0-2,1-2,5,0,0,1,1,0,0
SAC,,False,3914285,Drew Eubanks,19,bench,-6,0-0,0,2,1,1-2,0-0,12,0,0,2,1,0,0
SAC,,False,3032979,Dennis Schroder,17,bench,-5,5-8,5,0,6,8-13,1-1,35,0,3,22,6,1,0
SAC,,False,4066262,Malik Monk,0,bench,+3,2-7,1,0,2,5-17,4-4,28,0,1,16,2,1,1
SAC,,False,4702384,Nique Clifford,5,bench,-6,0-2,0,1,0,0-3,1-2,11,0,1,1,0,0,0
SAC,,False,2528588,Doug McDermott,7,bench,,,,,,,,,,,,,,
SAC,,False,3032978,Dario Saric,9,bench,,,,,,,,,,,,,,
SAC,,False,4898371,Maxime Raynaud,42,bench,,,,,,,,,,,,,,
SA,,False,6578,Harrison Barnes,40,starters,+16,3-6,3,0,2,7-11,3-4,30,0,0,20,2,2,0
SA,,False,3064560,Luke Kornet,7,starters,+13,0-0,1,3,7,5-5,3-4,28,4,2,13,11,0,2
SA,,False,4066259,De'Aaron Fox,4,starters,+20,4-8,11,0,2,11-20,2-2,35,0,1,28,2,1,2
SA,,False,4395630,Devin Vassell,24,starters,+12,0-4,7,0,3,6-14,4-4,34,0,1,16,3,2,1
SA,,False,4845367,Stephon Castle,5,starters,-3,1-2,5,0,0,1-4,1-2,16,0,2,4,0,1,3
SA,,False,2489663,Kelly Olynyk,8,bench,+1,1-1,8,0,4,2-5,0-0,18,2,2,5,6,0,2
SA,,False,4395723,Keldon Johnson,3,bench,+8,0-4,1,0,10,7-11,0-0,23,2,3,14,12,0,0
SA,,False,4592479,Julian Champagnie,30,bench,+10,3-7,0,0,2,4-9,1-1,26,0,1,12,2,1,1
SA,,False,4610139,Jeremy Sochan,10,bench,-4,2-3,2,0,4,4-5,1-1,22,1,4,11,5,0,2
SA,,False,5061568,Carter Bryant,11,bench,-7,0-3,0,0,2,0-3,0-0,7,0,1,0,2,0,1
SA,,False,6427,Bismack Biyombo,18,bench,-1,0-0,0,1,1,0-0,0-0,2,0,0,0,1,0,0
SA,,False,4066317,Lindy Waters III,43,bench,,,,,,,,,,,,,,
SA,,False,4433618,Harrison Ingram,55,bench,,,,,,,,,,,,,,
SA,,False,3134916,Jordan McLaughlin,0,bench,,,,,,,,,,,,,,
