team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
WSH,,False,6609,Khris Middleton,22,starters,-10,0-3,0.0,2,0,1,3-10,30.0,0-0,0.0,26,2,4,6,3,3,2
WSH,,False,5174563,Kyshawn George,18,starters,+3,1-5,20.0,6,1,3,5-10,50.0,3-4,75.0,29,1,5,14,4,0,3
WSH,,False,5160992,Alex Sarr,20,starters,-4,1-5,20.0,2,2,13,7-16,43.8,0-0,0.0,37,2,5,15,15,1,3
WSH,,False,2490149,CJ McCollum,3,starters,+9,5-10,50.0,4,0,5,14-25,56.0,9-11,81.8,43,1,3,42,6,1,4
WSH,,False,5238230,Tre Johnson,12,starters,-1,1-2,50.0,3,0,3,4-7,57.1,1-1,100.0,23,1,0,10,4,0,1
WSH,,False,4277848,Marvin Bagley III,35,bench,+3,1-1,100.0,1,3,1,4-6,66.7,0-0,0.0,16,1,1,9,2,3,3
WSH,,False,4280151,Corey Kispert,24,bench,+9,2-2,100.0,2,0,1,3-3,100.0,0-0,0.0,23,2,1,8,3,0,0
WSH,,False,4432907,Justin Champagnie,9,bench,-11,0-0,0.0,0,0,0,0-0,0.0,0-2,0.0,3,0,1,0,0,0,0
WSH,,False,5105592,Cam Whitmore,1,bench,+3,1-5,20.0,1,0,2,6-11,54.5,7-8,87.5,29,0,3,20,2,2,1
WSH,,False,4565201,Malaki Branham,8,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0
WSH,,False,4845374,Bub Carrington,7,bench,-11,3-5,60.0,5,0,6,4-7,57.1,0-0,0.0,35,1,5,11,7,0,3
WSH,,False,2581184,Anthony Gill,16,bench,,,,,,,,,,,,,,,,,
WSH,,False,4997537,Tristan Vukcevic,00,bench,,,,,,,,,,,,,,,,,
WSH,,False,5144126,Will Riley,27,bench,,,,,,,,,,,,,,,,,
WSH,,False,5170947,AJ Johnson,4,bench,,,,,,,,,,,,,,,,,
DET,,False,3157465,Duncan Robinson,55,starters,+1,3-9,33.3,2,0,3,5-11,45.5,0-0,0.0,38,0,1,13,3,1,0
DET,,False,4683771,Ronald Holland II,5,starters,-14,0-3,0.0,1,0,1,1-4,25.0,3-3,100.0,24,0,4,5,1,1,2
DET,,False,4433621,Jalen Duren,0,starters,-6,0-0,0.0,3,0,7,6-10,60.0,7-11,63.6,40,7,2,19,14,2,5
DET,,False,2596112,Javonte Green,31,starters,+10,1-5,20.0,3,2,7,4-11,36.4,2-2,100.0,38,4,0,11,11,1,2
DET,,False,4432166,Cade Cunningham,2,starters,+10,2-11,18.2,11,2,7,14-45,31.1,16-18,88.9,45,5,4,46,12,5,2
DET,,False,4278562,Paul Reed,7,bench,+8,0-0,0.0,0,1,5,4-5,80.0,0-2,0.0,13,4,3,8,9,1,0
DET,,False,4906923,Bobi Klintman,34,bench,-5,1-2,50.0,2,0,0,1-4,25.0,0-0,0.0,7,2,1,3,2,0,1
DET,,False,4700852,Chaz Lanier,20,bench,-2,2-5,40.0,2,0,1,3-7,42.9,0-0,0.0,27,2,0,8,3,1,0
DET,,False,5107199,Daniss Jenkins,24,bench,+8,4-6,66.7,3,0,4,9-17,52.9,2-2,100.0,34,4,3,24,8,4,2
DET,,False,4397882,Tolu Smith,35,bench,,,,,,,,,,,,,,,,,
DET,,False,4592187,Wendell Moore Jr.,,bench,,,,,,,,,,,,,,,,,
DET,,False,5107818,Isaac Jones,3,bench,,,,,,,,,,,,,,,,,
