team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
UTAH,,False,4066336,Lauri Markkanen,23,starters,-6,3-9,2,0,3,12-21,4-4,32,2,4,31,5,2,1
UTAH,,False,3102530,Jusuf Nurkic,30,starters,-13,0-1,6,0,8,4-5,2-2,29,2,4,10,10,2,6
UTAH,,False,3133602,Svi Mykhailiuk,10,starters,-5,3-5,1,0,3,5-7,0-0,25,0,2,13,3,0,1
UTAH,,False,4433627,Keyonte George,3,starters,-9,5-13,8,0,4,13-23,3-3,35,0,4,34,4,2,4
UTAH,,False,4873138,Ace Bailey,19,starters,+6,1-6,1,0,0,6-12,0-0,23,1,3,13,1,1,1
UTAH,,False,3449,Kevin Love,42,bench,-8,0-2,0,1,3,0-2,0-0,14,1,2,0,4,0,0
UTAH,,False,2993874,Kyle Anderson,2,bench,+3,0-0,5,0,2,2-5,1-2,20,1,2,5,3,2,0
UTAH,,False,4895758,Cody Williams,5,bench,-14,0-3,0,1,0,2-5,0-0,21,0,1,4,0,1,0
UTAH,,False,5105839,Brice Sensabaugh,28,bench,-16,1-6,3,0,0,1-6,0-0,17,1,5,3,1,2,1
UTAH,,False,4397449,Elijah Harkless,16,bench,+5,0-0,1,0,0,0-0,4-4,3,0,0,4,0,1,0
UTAH,,False,4683766,Isaiah Collier,8,bench,-13,0-0,6,0,2,3-6,3-3,21,0,3,9,2,0,4
UTAH,,False,4684806,Taylor Hendricks,0,bench,,,,,,,,,,,,,,
UTAH,,False,4896372,Walter Clayton Jr.,13,bench,,,,,,,,,,,,,,
LAL,,False,1966,LeBron James,23,starters,+1,2-3,12,0,2,4-7,1-4,30,1,0,11,3,1,1
LAL,,False,4066648,Rui Hachimura,28,starters,+14,0-2,1,0,2,3-8,0-0,26,2,1,6,4,0,0
LAL,,False,4278129,Deandre Ayton,5,starters,+10,0-0,1,1,10,10-13,0-2,30,4,2,20,14,1,1
LAL,,False,3945274,Luka Doncic,77,starters,+10,2-10,10,0,5,11-22,13-16,34,0,4,37,5,4,8
LAL,,False,4066457,Austin Reaves,15,starters,+10,1-4,1,0,4,7-11,11-12,33,1,3,26,5,1,4
LAL,,False,2960236,Maxi Kleber,14,bench,-5,0-0,0,0,0,0-0,0-0,3,0,0,0,0,0,0
LAL,,False,4592691,Jake LaRavia,12,bench,+12,2-5,2,0,4,6-10,2-3,26,0,1,16,4,1,0
LAL,,False,4897943,Dalton Knecht,4,bench,-7,0-0,0,0,0,0-0,0-0,4,0,0,0,0,0,0
LAL,,False,5060631,Adou Thiero,1,bench,-7,0-0,0,0,0,1-1,0-0,4,0,2,2,0,0,0
LAL,,False,4397077,Jaxson Hayes,11,bench,+13,0-0,0,0,1,3-3,2-3,15,2,1,8,3,1,0
LAL,,False,2990992,Marcus Smart,36,bench,+11,1-4,1,0,2,2-5,0-0,17,1,3,5,3,0,0
LAL,,False,3137259,Gabe Vincent,7,bench,+15,2-3,1,0,0,2-3,0-0,16,0,3,6,0,0,0
LAL,,False,4683774,Bronny James,9,bench,-7,1-1,2,0,0,1-1,0-0,4,0,1,3,0,0,3
LAL,,False,4278077,Jarred Vanderbilt,2,bench,,,,,,,,,,,,,,
