team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
POR,,False,4431736,Toumani Camara,33,starters,+8,3-6,50.0,5,1,2,4-8,50.0,2-2,100.0,38,1,2,13,3,2,4
POR,,False,4683021,Deni Avdija,8,starters,+16,4-8,50.0,2,0,1,12-18,66.7,4-5,80.0,35,0,5,32,1,1,0
POR,,False,5105565,Donovan Clingan,23,starters,+12,0-4,0.0,0,3,7,4-9,44.4,1-1,100.0,27,3,3,9,10,0,3
POR,,False,3995,Jrue Holiday,5,starters,-4,3-7,42.9,12,0,4,6-12,50.0,2-2,100.0,37,0,2,17,4,0,3
POR,,False,4914336,Shaedon Sharpe,17,starters,+20,2-7,28.6,3,0,5,13-18,72.2,7-7,100.0,30,0,2,35,5,2,1
POR,,False,2991070,Jerami Grant,9,bench,+4,0-0,0.0,1,0,1,1-3,33.3,0-0,0.0,7,1,0,2,2,0,0
POR,,False,4594326,Kris Murray,24,bench,-3,0-1,0.0,1,0,5,3-4,75.0,0-0,0.0,22,2,2,6,7,0,0
POR,,False,4066211,Robert Williams III,35,bench,-3,0-0,0.0,1,1,4,3-5,60.0,0-0,0.0,17,2,1,6,6,0,1
POR,,False,4066268,Duop Reath,26,bench,-1,1-2,50.0,0,0,1,1-2,50.0,0-0,0.0,4,0,0,3,1,0,0
POR,,False,5081727,Sidy Cissoko,91,bench,-9,0-1,0.0,1,0,0,1-2,50.0,0-0,0.0,17,0,2,2,0,0,1
POR,,False,5099752,Rayan Rupert,21,bench,0,0-1,0.0,0,0,0,0-2,0.0,0-0,0.0,6,0,3,0,0,0,0
POR,,False,5217746,Yang Hansen,16,bench,,,,,,,,,,,,,,,,,
POR,,False,6606,Damian Lillard,0,bench,,,,,,,,,,,,,,,,,
POR,,False,3907498,Matisse Thybulle,4,bench,,,,,,,,,,,,,,,,,
POR,,False,4683678,Scoot Henderson,00,bench,,,,,,,,,,,,,,,,,
NO,,False,3155535,Kevon Looney,55,starters,-7,0-1,0.0,1,0,1,0-1,0.0,0-0,0.0,8,1,3,0,2,1,1
NO,,False,4277813,Herbert Jones,2,starters,-5,2-5,40.0,3,0,1,4-9,44.4,1-2,50.0,34,0,2,11,1,1,1
NO,,False,4397688,Trey Murphy III,25,starters,-3,3-11,27.3,5,0,4,8-18,44.4,3-3,100.0,39,1,2,22,5,1,1
NO,,False,4397136,Saddiq Bey,41,starters,-4,3-8,37.5,5,0,2,8-16,50.0,6-7,85.7,35,4,3,25,6,0,1
NO,,False,5144091,Jeremiah Fears,0,starters,-3,1-2,50.0,4,0,1,4-11,36.4,6-6,100.0,26,2,3,15,3,2,2
NO,,False,4997538,Karlo Matkovic,17,bench,-3,1-2,50.0,1,1,3,2-4,50.0,0-0,0.0,14,0,1,5,3,0,0
NO,,False,4869780,Derik Queen,22,bench,0,0-1,0.0,4,0,4,12-18,66.7,2-3,66.7,38,3,3,26,7,0,1
NO,,False,5061589,Yves Missi,21,bench,-1,0-0,0.0,0,1,0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0
NO,,False,4277869,Jose Alvarado,15,bench,-5,1-5,20.0,3,0,0,2-7,28.6,0-0,0.0,22,1,2,5,1,1,3
NO,,False,4432185,Micah Peavy,14,bench,-11,0-0,0.0,2,0,2,1-2,50.0,0-0,0.0,12,3,1,2,5,0,0
NO,,False,4683750,Jordan Hawkins,24,bench,+2,2-4,50.0,0,0,2,2-5,40.0,0-0,0.0,9,0,0,6,2,0,0
NO,,False,3442,DeAndre Jordan,9,bench,,,,,,,,,,,,,,,,,
NO,,False,4576086,Bryce McGowens,11,bench,,,,,,,,,,,,,,,,,
