team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
DAL,,False,4278049,Daniel Gafford,21,starters,-2,0-0,0.0,0,2,5,4-5,80.0,0-0,0.0,19,0,1,8,5,0,2
DAL,,False,4278078,P.J. Washington,25,starters,+13,0-2,0.0,5,1,7,4-8,50.0,6-6,100.0,37,2,2,14,9,1,2
DAL,,False,5041939,Cooper Flagg,32,starters,-2,0-2,0.0,6,0,4,6-15,40.0,0-0,0.0,34,3,1,12,7,2,4
DAL,,False,3136776,D'Angelo Russell,5,starters,-18,0-6,0.0,1,0,0,3-10,30.0,0-2,0.0,17,2,0,6,2,0,0
DAL,,False,4432582,Max Christie,00,starters,+10,1-5,20.0,2,0,7,4-14,28.6,3-3,100.0,31,0,1,12,7,3,0
DAL,,False,2531367,Dwight Powell,7,bench,-1,0-0,0.0,1,0,0,1-2,50.0,0-0,0.0,6,1,1,2,1,2,0
DAL,,False,4278594,Naji Marshall,13,bench,+6,3-4,75.0,2,0,5,9-14,64.3,9-11,81.8,31,3,2,30,8,3,0
DAL,,False,4701208,Moussa Cisse,30,bench,+2,0-0,0.0,1,3,5,2-3,66.7,1-4,25.0,19,4,4,5,9,0,2
DAL,,False,4397040,Brandon Williams,10,bench,+24,1-4,25.0,6,0,2,6-16,37.5,1-2,50.0,26,0,2,14,2,4,1
DAL,,False,4433629,Ryan Nembhard,9,bench,-7,0-0,0.0,2,0,0,0-1,0.0,0-0,0.0,8,0,1,0,0,0,1
DAL,,False,4868423,Jaden Hardy,1,bench,+5,1-1,100.0,0,0,0,3-5,60.0,1-2,50.0,14,1,2,8,1,0,1
DAL,,False,3138160,Caleb Martin,16,bench,,,,,,,,,,,,,,,,,
WSH,,False,4432907,Justin Champagnie,9,starters,+11,0-0,0.0,0,0,4,0-0,0.0,0-0,0.0,12,1,4,0,5,1,0
WSH,,False,5174563,Kyshawn George,18,starters,-1,2-6,33.3,3,0,2,3-9,33.3,2-2,100.0,29,0,6,10,2,1,2
WSH,,False,5160992,Alex Sarr,20,starters,+1,0-3,0.0,5,3,2,6-16,37.5,5-6,83.3,31,4,2,17,6,2,2
WSH,,False,2490149,CJ McCollum,3,starters,-11,2-6,33.3,2,2,5,9-19,47.4,5-6,83.3,33,1,3,25,6,2,3
WSH,,False,5238230,Tre Johnson,12,starters,+1,1-6,16.7,0,0,8,4-13,30.8,0-0,0.0,26,1,0,9,9,1,3
WSH,,False,4277848,Marvin Bagley III,35,bench,-7,0-0,0.0,1,1,2,4-7,57.1,2-2,100.0,17,3,1,10,5,0,2
WSH,,False,4280151,Corey Kispert,24,bench,-4,1-2,50.0,2,1,1,1-3,33.3,1-2,50.0,24,0,1,4,1,0,0
WSH,,False,5105592,Cam Whitmore,1,bench,-9,3-6,50.0,0,0,3,7-13,53.8,2-2,100.0,29,0,1,19,3,0,0
WSH,,False,4565201,Malaki Branham,8,bench,0,0-1,0.0,2,0,2,1-2,50.0,0-0,0.0,10,2,2,2,4,0,1
WSH,,False,4606840,Jamir Watkins,5,bench,+3,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,1,0,0,0,0,0,0
WSH,,False,4845374,Bub Carrington,7,bench,-14,2-5,40.0,2,0,3,2-7,28.6,3-3,100.0,28,0,1,9,3,0,5
WSH,,False,2581184,Anthony Gill,16,bench,,,,,,,,,,,,,,,,,
WSH,,False,4997537,Tristan Vukcevic,00,bench,,,,,,,,,,,,,,,,,
WSH,,False,5144126,Will Riley,27,bench,,,,,,,,,,,,,,,,,
WSH,,False,5170947,AJ Johnson,4,bench,,,,,,,,,,,,,,,,,
