team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
GS,,False,6430,Jimmy Butler III,10,starters,+21,1-1,10,0,2,6-8,5-5,31,1,2,18,3,3,6
GS,,False,6589,Draymond Green,23,starters,+23,2-5,6,1,6,3-13,0-0,25,4,4,8,10,2,5
GS,,False,3975,Stephen Curry,30,starters,+18,1-6,3,0,4,2-11,4-5,28,1,3,9,5,0,4
GS,,False,4432171,Moses Moody,4,starters,+22,8-12,0,1,3,10-16,4-5,33,1,2,32,4,3,1
GS,,False,4897262,Will Richard,3,starters,+11,1-5,1,0,2,4-9,0-0,22,5,1,9,7,0,2
GS,,False,4431684,Trayce Jackson-Davis,32,bench,-4,0-0,1,0,0,1-1,0-0,3,1,2,2,1,0,0
GS,,False,4997536,Gui Santos,15,bench,-4,1-3,0,0,0,1-3,0-0,5,0,2,3,0,0,0
GS,,False,3213,Al Horford,20,bench,-1,2-5,6,0,1,2-5,0-0,20,1,0,6,2,2,1
GS,,False,4593016,Quinten Post,21,bench,-2,1-4,0,0,6,1-4,1-2,10,1,1,4,7,0,0
GS,,False,2990984,Buddy Hield,7,bench,+2,3-6,2,0,2,4-8,0-0,20,0,1,11,2,3,1
GS,,False,3134903,Gary Payton II,0,bench,+1,0-1,0,2,2,0-2,0-0,12,1,4,0,3,1,0
GS,,False,4592714,Pat Spencer,61,bench,-4,1-1,2,0,0,1-1,0-0,5,0,0,3,0,0,1
GS,,False,4709138,Brandin Podziemski,2,bench,+7,3-7,3,0,3,8-13,0-0,26,0,1,19,3,0,0
GS,,False,4433247,Jonathan Kuminga,1,bench,,,,,,,,,,,,,,
NO,,False,4277813,Herbert Jones,2,starters,-22,0-3,1,0,2,2-7,2-2,29,0,4,6,2,2,2
NO,,False,4397688,Trey Murphy III,25,starters,-10,2-6,2,0,7,6-13,6-6,31,1,3,20,8,3,5
NO,,False,4869780,Derik Queen,22,starters,-11,0-0,6,2,7,2-4,5-6,25,0,2,9,7,0,1
NO,,False,4397136,Saddiq Bey,41,starters,-15,2-5,1,0,4,4-10,1-2,29,3,1,11,7,2,2
NO,,False,5144091,Jeremiah Fears,0,starters,-14,0-0,1,1,3,7-14,3-4,25,2,2,17,5,0,4
NO,,False,4997538,Karlo Matkovic,17,bench,-3,0-1,3,0,1,2-3,0-0,20,1,1,4,2,2,1
NO,,False,5061589,Yves Missi,21,bench,-3,0-0,2,1,1,4-8,0-2,25,6,1,8,7,1,1
NO,,False,4277869,Jose Alvarado,15,bench,-1,3-8,3,0,1,6-12,3-3,25,0,0,18,1,0,4
NO,,False,4432185,Micah Peavy,14,bench,+2,0-0,1,0,1,0-0,0-0,4,0,0,0,1,0,0
NO,,False,4576086,Bryce McGowens,11,bench,-7,0-1,0,0,1,3-6,2-4,13,0,0,8,1,1,0
NO,,False,4683750,Jordan Hawkins,24,bench,-6,1-5,2,0,2,2-6,0-0,15,2,2,5,4,0,0
NO,,False,3155535,Kevon Looney,55,bench,,,,,,,,,,,,,,
NO,,False,4395628,Zion Williamson,1,bench,,,,,,,,,,,,,,
NO,,False,3442,DeAndre Jordan,9,bench,,,,,,,,,,,,,,
