team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
NO,,False,3155535,Kevon Looney,55,starters,-1,0-1,0.0,2,1,2,4-8,50.0,0-0,0.0,15,4,1,8,6,0,0
NO,,False,4277813,Herbert Jones,2,starters,+10,0-2,0.0,2,1,3,6-10,60.0,0-1,0.0,35,2,2,12,5,2,2
NO,,False,4397688,Trey Murphy III,25,starters,+1,1-6,16.7,5,1,6,3-12,25.0,4-4,100.0,38,3,2,11,9,2,3
NO,,False,4397136,Saddiq Bey,41,starters,-1,4-6,66.7,1,0,8,9-14,64.3,0-0,0.0,30,1,0,22,9,0,1
NO,,False,5144091,Jeremiah Fears,0,starters,-10,1-6,16.7,3,0,4,5-15,33.3,2-2,100.0,25,1,3,13,5,1,3
NO,,False,4997538,Karlo Matkovic,17,bench,+1,0-0,0.0,0,0,2,1-2,50.0,0-0,0.0,10,0,2,2,2,0,0
NO,,False,4869780,Derik Queen,22,bench,-3,0-0,0.0,2,0,6,3-8,37.5,5-7,71.4,26,1,3,11,7,3,3
NO,,False,4277869,Jose Alvarado,15,bench,+12,3-5,60.0,2,0,7,4-8,50.0,2-2,100.0,23,1,1,13,8,0,1
NO,,False,4432185,Micah Peavy,14,bench,+1,0-1,0.0,0,0,3,0-1,0.0,0-0,0.0,18,0,3,0,3,0,0
NO,,False,4683750,Jordan Hawkins,24,bench,0,1-4,25.0,1,0,1,4-13,30.8,0-0,0.0,20,1,1,9,2,2,0
NO,,False,3442,DeAndre Jordan,9,bench,,,,,,,,,,,,,,,,,
NO,,False,4576086,Bryce McGowens,11,bench,,,,,,,,,,,,,,,,,
DAL,,False,4278049,Daniel Gafford,21,starters,+8,0-0,0.0,0,2,4,6-8,75.0,3-3,100.0,25,4,3,15,8,2,2
DAL,,False,4278078,P.J. Washington,25,starters,-2,1-3,33.3,1,2,8,5-13,38.5,4-7,57.1,38,3,0,15,11,1,4
DAL,,False,5041939,Cooper Flagg,32,starters,+1,1-5,20.0,2,2,9,8-19,42.1,3-3,100.0,35,0,1,20,9,3,2
DAL,,False,3136776,D'Angelo Russell,5,starters,-11,2-4,50.0,3,1,0,3-10,30.0,1-1,100.0,21,0,3,9,0,0,2
DAL,,False,4432582,Max Christie,00,starters,-3,2-6,33.3,1,0,2,5-12,41.7,0-0,0.0,27,1,1,12,3,1,0
DAL,,False,2531367,Dwight Powell,7,bench,-1,0-0,0.0,0,0,0,0-1,0.0,0-0,0.0,10,1,2,0,1,0,0
DAL,,False,3138160,Caleb Martin,16,bench,-7,0-0,0.0,0,0,0,0-1,0.0,0-0,0.0,4,1,0,0,1,0,0
DAL,,False,4278594,Naji Marshall,13,bench,-10,0-2,0.0,5,0,5,2-5,40.0,3-4,75.0,26,0,3,7,5,1,1
DAL,,False,4701208,Moussa Cisse,30,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,4,0,0,0,0,0,0
DAL,,False,6475,Klay Thompson,31,bench,+4,3-6,50.0,3,0,4,4-7,57.1,0-0,0.0,21,0,0,11,4,1,3
DAL,,False,4397040,Brandon Williams,10,bench,+6,1-3,33.3,3,0,1,4-9,44.4,1-2,50.0,19,0,2,10,1,2,1
DAL,,False,4868423,Jaden Hardy,1,bench,+5,0-3,0.0,0,0,1,0-4,0.0,0-0,0.0,10,0,0,0,1,0,0
