id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100424,1,12:00,Donovan Clingan vs. Kel'el Ware (Andrew Wiggins gains possession),14,MIA,0,0,4,615,,60.5
4018100427,1,11:45,Andrew Wiggins misses 15-foot pullup jump shot,14,MIA,0,0,7,131,,59
4018100428,1,11:42,Shaedon Sharpe defensive rebound,22,MIA,0,0,8,155,,58.5
4018100429,1,11:35,Shaedon Sharpe bad pass (Norman Powell steals),22,MIA,0,0,9,62,,60.4
40181004211,1,11:29,Andrew Wiggins misses alley oop dunk shot,14,MIA,0,0,11,118,,58.9
40181004212,1,11:27,Deni Avdija defensive rebound,22,MIA,0,0,12,155,,58.5
40181004213,1,11:23,Toumani Camara misses running pullup jump shot,22,MIA,0,0,13,146,,59.9
40181004214,1,11:20,Davion Mitchell defensive rebound,14,MIA,0,0,14,155,,60.4
40181004215,1,11:15,Davion Mitchell misses two point shot,14,MIA,0,0,15,109,,58.9
40181004216,1,11:12,Deni Avdija defensive rebound,22,MIA,0,0,16,155,,58.4
40181004217,1,11:08,Deni Avdija makes 4-foot driving floating jump shot,22,MIA,0,2,17,144,True,55.5
40181004218,1,11:05,Norman Powell misses 25-foot three point pullup jump shot,14,MIA,0,2,18,131,,53.7
40181004219,1,11:03,Kel'el Ware offensive rebound,14,MIA,0,2,19,156,,55.5
40181004220,1,10:59,Kel'el Ware misses 5-foot two point shot,14,MIA,0,2,20,130,,53.7
40181004221,1,10:58,Kel'el Ware offensive rebound,14,MIA,0,2,21,156,,55.5
40181004222,1,10:46,Davion Mitchell makes 24-foot three point jumper (Norman Powell assists),14,MIA,3,2,22,92,True,60.5
40181004223,1,10:30,Deni Avdija makes driving layup,22,MIA,3,4,23,110,True,58.1
40181004224,1,10:18,Norman Powell misses 5-foot two point shot,14,MIA,3,4,24,133,,55.8
40181004225,1,10:15,Donovan Clingan defensive rebound,22,MIA,3,4,25,155,,55
40181004226,1,10:12,Shaedon Sharpe bad pass (Davion Mitchell steals),22,MIA,3,4,26,62,,58
40181004228,1,10:02,Pelle Larsson misses 24-foot three point jumper,14,MIA,3,4,28,92,,55.7
40181004229,1,10:02,Heat offensive team rebound,14,MIA,3,4,29,156,,58
40181004230,1,10:02,Donovan Clingan loose ball foul,22,MIA,3,4,30,43,,57.8
40181004232,1,9:56,Norman Powell misses 8-foot two point shot,14,MIA,3,4,32,130,,56
40181004233,1,9:54,Kel'el Ware offensive rebound,14,MIA,3,4,33,156,,57.9
40181004234,1,9:50,Kel'el Ware misses 6-foot hook shot,14,MIA,3,4,34,93,,56
40181004235,1,9:47,Toumani Camara defensive rebound,22,MIA,3,4,35,155,,55.3
40181004236,1,9:41,Shaedon Sharpe makes 26-foot three point jumper (Deni Avdija assists),22,MIA,3,7,36,92,True,50.3
40181004238,1,9:21,Pelle Larsson misses 26-foot three point jumper,14,POR,3,7,38,92,,51.9
40181004239,1,9:16,Toumani Camara defensive rebound,22,POR,3,7,39,155,,52.6
40181004240,1,9:09,Jrue Holiday misses 4-foot two point shot,22,POR,3,7,40,130,,50.6
40181004241,1,9:08,Donovan Clingan offensive rebound,22,POR,3,7,41,156,,52.6
40181004242,1,9:07,Shaedon Sharpe misses 25-foot three point jumper,22,POR,3,7,42,92,,50.6
40181004243,1,9:05,Davion Mitchell defensive rebound,14,MIA,3,7,43,155,,50.1
40181004244,1,8:48,Donovan Clingan blocks Norman Powell 's 3-foot driving layup,14,POR,3,7,44,110,,52
40181004246,1,8:45,Donovan Clingan defensive rebound,22,POR,3,7,46,155,,52.7
40181004247,1,8:38,Donovan Clingan makes 27-foot three point jumper (Shaedon Sharpe assists),22,POR,3,10,47,92,True,58.1
