id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100904,1,12:00,Nic Claxton vs. Alex Sarr (Kyshawn George gains possession),27,WSH,0,0,4,615,,64.1
4018100907,1,11:43,Kyshawn George makes driving layup,27,WSH,2,0,7,110,True,66.7
4018100908,1,11:24,Michael Porter Jr. makes 1-foot layup (Nic Claxton assists),17,WSH,2,2,8,141,True,64
40181009010,1,11:15,Alex Sarr makes dunk (Kyshawn George assists),27,WSH,4,2,10,151,True,66.6
40181009012,1,10:59,Noah Clowney makes 27-foot three point jumper (Egor Demin assists),17,WSH,4,5,12,92,True,61.8
40181009014,1,10:38,Khris Middleton misses 26-foot three point pullup jump shot,27,WSH,4,5,14,131,,59.5
40181009015,1,10:35,Michael Porter Jr. defensive rebound,17,WSH,4,5,15,155,,58.7
40181009016,1,10:24,Michael Porter Jr. makes 17-foot two point shot (Egor Demin assists),17,WSH,4,7,16,114,True,56.7
40181009017,1,10:10,Alex Sarr misses 26-foot three point jumper,27,WSH,4,7,17,92,,54.5
40181009018,1,10:06,Terance Mann defensive rebound,17,WSH,4,7,18,155,,53.8
40181009020,1,9:50,Bilal Coulibaly blocks Terance Mann 's 4-foot driving layup,17,WSH,4,7,20,110,,55.8
40181009022,1,9:47,Terance Mann offensive rebound,17,WSH,4,7,22,156,,53.7
40181009023,1,9:45,Terance Mann lost ball turnover (Bilal Coulibaly steals),17,WSH,4,7,23,63,,56.5
40181009025,1,9:39,Nic Claxton blocks Bilal Coulibaly 's 7-foot driving floating jump shot,27,WSH,4,7,25,144,,54.4
40181009027,1,9:37,Noah Clowney defensive rebound,17,WSH,4,7,27,155,,53.6
40181009028,1,9:28,Egor Demin misses 15-foot step back jumpshot,17,WSH,4,7,28,132,,55.7
40181009029,1,9:26,Khris Middleton defensive rebound,27,WSH,4,7,29,155,,56.4
40181009030,1,9:21,Nic Claxton personal foul,17,WSH,4,7,30,45,,56.4
40181009032,1,9:14,Kyshawn George misses 27-foot three point step back jumpshot,27,WSH,4,7,32,132,,54.2
40181009033,1,9:11,CJ McCollum offensive rebound,27,WSH,4,7,33,156,,56.3
40181009034,1,9:11,Noah Clowney shooting foul,17,WSH,4,7,34,44,,58.1
