team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
OKC,,False,4222252,Isaiah Hartenstein,55,starters,+16,0-1,0.0,2,0,7,7-13,53.8,0-1,0.0,29,3,0,14,10,2,2
OKC,,False,4433255,Chet Holmgren,7,starters,+16,6-8,75.0,1,1,8,8-12,66.7,9-10,90.0,27,3,3,31,11,3,3
OKC,,False,4278073,Shai Gilgeous-Alexander,2,starters,+16,2-6,33.3,5,1,4,12-17,70.6,4-4,100.0,29,1,2,30,5,1,2
OKC,,False,4397020,Luguentz Dort,5,starters,+12,1-4,25.0,1,0,1,2-7,28.6,0-0,0.0,27,1,1,5,2,2,0
OKC,,False,4683692,Cason Wallace,22,starters,+21,1-3,33.3,3,1,2,1-7,14.3,0-0,0.0,26,1,3,3,3,3,1
OKC,,False,4432823,Jaylin Williams,6,bench,+3,1-5,20.0,0,0,3,3-7,42.9,0-0,0.0,18,0,2,7,3,0,2
OKC,,False,4684208,Brooks Barnhizer,23,bench,-5,0-0,0.0,0,0,1,0-1,0.0,0-0,0.0,11,0,0,0,1,0,0
OKC,,False,4997526,Ousmane Dieng,13,bench,-6,0-0,0.0,0,0,2,0-1,0.0,0-0,0.0,5,0,1,0,2,0,1
OKC,,False,4592435,Branden Carlson,15,bench,-1,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,2,0,1,0,0,0,0
OKC,,False,4397183,Aaron Wiggins,21,bench,+14,1-4,25.0,2,0,1,4-11,36.4,0-0,0.0,27,4,3,9,5,0,1
OKC,,False,4706557,Chris Youngblood,3,bench,0,0-3,0.0,0,0,1,0-3,0.0,4-4,100.0,11,0,0,4,1,0,0
OKC,,False,4900671,Ajay Mitchell,25,bench,-1,2-3,66.7,7,0,5,6-14,42.9,0-0,0.0,29,2,3,14,7,2,0
ATL,,False,4431680,Onyeka Okongwu,17,starters,-22,1-5,20.0,4,1,11,5-12,41.7,0-0,0.0,35,1,4,11,12,1,0
ATL,,False,4712863,Mouhamed Gueye,18,starters,-16,2-6,33.3,2,2,4,4-10,40.0,1-3,33.3,23,2,4,11,6,0,1
ATL,,False,4277905,Trae Young,11,starters,-12,2-3,66.7,10,0,4,5-12,41.7,3-4,75.0,30,0,2,15,4,0,5
ATL,,False,4278039,Nickeil Alexander-Walker,7,starters,-18,3-6,50.0,2,1,2,6-10,60.0,2-2,100.0,30,1,0,17,3,2,2
ATL,,False,4869342,Dyson Daniels,5,starters,-12,1-1,100.0,1,1,3,2-6,33.3,3-4,75.0,27,1,2,8,4,1,2
ATL,,False,4592461,Jacob Toppin,0,bench,+6,0-0,0.0,0,0,0,1-2,50.0,0-0,0.0,5,0,1,2,0,0,0
ATL,,False,4873201,Asa Newell,14,bench,-2,3-5,60.0,1,0,3,4-9,44.4,1-2,50.0,25,7,5,12,10,0,2
ATL,,False,4592401,N'Faly Dante,12,bench,+7,0-0,0.0,0,0,2,0-3,0.0,1-1,100.0,9,2,0,1,4,1,0
ATL,,False,3913174,Luke Kennard,3,bench,-14,1-4,25.0,3,0,0,2-5,40.0,0-0,0.0,21,0,0,5,0,0,1
ATL,,False,4279118,Keaton Wallace,2,bench,+1,0-2,0.0,1,0,1,2-6,33.3,1-2,50.0,12,0,2,5,1,0,2
ATL,,False,4433623,Caleb Houstan,33,bench,+1,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0
ATL,,False,4578893,Vit Krejci,27,bench,-4,3-7,42.9,1,0,1,4-10,40.0,2-3,66.7,22,1,3,13,2,2,1
