team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
PHI,,False,4870562,Dominick Barlow,25,starters,+1,0-3,0.0,5,1,3,4-8,50.0,5-6,83.3,34,5,3,13,8,0,2
PHI,,False,3059318,Joel Embiid,21,starters,-16,0-4,0.0,2,1,5,1-9,11.1,2-2,100.0,20,1,2,4,6,0,0
PHI,,False,3133603,Kelly Oubre Jr.,9,starters,-8,2-6,33.3,1,1,4,2-6,33.3,4-4,100.0,34,0,1,10,4,0,2
PHI,,False,4431678,Tyrese Maxey,0,starters,+3,7-9,77.8,6,1,2,13-24,54.2,7-8,87.5,41,0,5,40,2,2,1
PHI,,False,5124612,VJ Edgecombe,77,starters,-2,5-13,38.5,3,0,6,13-26,50.0,3-6,50.0,42,1,1,34,7,1,2
PHI,,False,4432446,Jabari Walker,33,bench,+3,0-1,0.0,0,0,2,3-4,75.0,0-0,0.0,19,2,3,6,4,0,0
PHI,,False,4711297,Justin Edwards,11,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0
PHI,,False,6585,Andre Drummond,1,bench,+2,0-0,0.0,0,0,1,0-0,0.0,0-0,0.0,3,0,2,0,1,0,0
PHI,,False,5105637,Adem Bona,30,bench,+4,0-0,0.0,1,0,2,0-0,0.0,0-0,0.0,15,1,3,0,3,0,2
PHI,,False,4397014,Quentin Grimes,5,bench,+18,2-5,40.0,5,0,5,3-8,37.5,2-4,50.0,32,0,3,10,5,0,5
PHI,,False,4433569,Johni Broome,22,bench,,,,,,,,,,,,,,,,,
PHI,,False,3012,Kyle Lowry,7,bench,,,,,,,,,,,,,,,,,
PHI,,False,3431,Eric Gordon,23,bench,,,,,,,,,,,,,,,,,
BOS,,False,4065804,Sam Hauser,30,starters,+8,2-6,33.3,1,0,2,2-6,33.3,2-2,100.0,22,0,3,8,2,0,3
BOS,,False,4397424,Neemias Queta,88,starters,+2,0-0,0.0,0,0,6,7-8,87.5,3-4,75.0,25,2,6,17,8,0,2
BOS,,False,3078576,Derrick White,9,starters,-3,4-13,30.8,4,1,3,7-20,35.0,7-7,100.0,35,0,1,25,3,1,0
BOS,,False,3917376,Jaylen Brown,7,starters,0,2-4,50.0,4,0,6,9-18,50.0,5-6,83.3,36,0,4,25,6,0,2
BOS,,False,4066354,Payton Pritchard,11,starters,+6,1-7,14.3,2,0,3,6-14,42.9,3-4,75.0,37,2,3,16,5,2,2
BOS,,False,3948153,Chris Boucher,99,bench,-4,0-2,0.0,1,0,4,2-4,50.0,2-2,100.0,16,0,0,6,4,1,0
BOS,,False,4277964,Xavier Tillman,26,bench,0,0-3,0.0,1,1,4,2-8,25.0,0-0,0.0,16,3,4,4,7,2,0
BOS,,False,4687718,Josh Minott,8,bench,-6,0-0,0.0,2,0,0,1-1,100.0,0-0,0.0,14,2,4,2,2,0,0
BOS,,False,4277951,Luka Garza,52,bench,-3,0-2,0.0,0,1,1,0-2,0.0,0-0,0.0,6,0,1,0,1,0,2
BOS,,False,4351851,Anfernee Simons,4,bench,-5,2-6,33.3,1,1,3,5-10,50.0,1-1,100.0,32,1,2,13,4,1,0
BOS,,False,4593841,Baylor Scheierman,55,bench,,,,,,,,,,,,,,,,,
BOS,,False,4683689,Jordan Walsh,27,bench,,,,,,,,,,,,,,,,,
BOS,,False,4701992,Max Shulga,44,bench,,,,,,,,,,,,,,,,,
BOS,,False,5175647,Hugo Gonzalez,28,bench,,,,,,,,,,,,,,,,,
