id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100044,1,12:00,Adem Bona vs. Nic Claxton (Jabari Walker gains possession),20,PHI,0,0,4,615,,59
4018100047,1,11:44,Tyrese Maxey makes 25-foot three pointer,20,PHI,0,3,7,131,True,63.9
4018100048,1,11:18,Jabari Walker shooting foul,20,PHI,0,3,8,44,,60.4
40181000410,1,11:18,Cam Thomas makes free throw 1 of 2,17,PHI,1,3,10,98,True,59.8
40181000411,1,11:18,Cam Thomas makes free throw 2 of 2,17,PHI,2,3,11,99,True,61.5
40181000412,1,11:01,VJ Edgecombe misses 24-foot three point jumper,20,PHI,2,3,12,92,,59.7
40181000413,1,10:59,76ers offensive team rebound,20,PHI,2,3,13,156,,61.5
40181000415,1,10:49,Adem Bona misses layup,20,PHI,2,3,15,95,,59.7
40181000416,1,10:46,Adem Bona offensive rebound,20,PHI,2,3,16,156,,61.5
40181000417,1,10:45,Adem Bona makes tip shot,20,PHI,2,5,17,94,True,63.7
40181000418,1,10:35,Tyrese Maxey shooting foul,20,PHI,2,5,18,44,,60.3
40181000420,1,10:35,Terance Mann makes free throw 1 of 2,17,PHI,3,5,20,98,True,59.7
40181000421,1,10:35,Terance Mann makes free throw 2 of 2,17,PHI,4,5,21,99,True,61.4
40181000422,1,10:21,VJ Edgecombe lost ball turnover (Nic Claxton steals),20,PHI,4,5,22,63,,59.1
40181000424,1,10:18,Nic Claxton makes 3-foot dunk (Tyrese Martin assists),17,PHI,6,5,24,149,True,56.6
40181000426,1,9:59,Kelly Oubre Jr. makes 7-foot driving floating jump shot,20,PHI,6,7,26,144,True,59
40181000427,1,9:48,Michael Porter Jr. misses 27-foot three point pullup jump shot,17,PHI,6,7,27,131,,60.7
40181000428,1,9:45,Tyrese Maxey defensive rebound,20,PHI,6,7,28,155,,61.3
40181000429,1,9:39,Terance Mann shooting foul,17,PHI,6,7,29,44,,64.9
40181000431,1,9:39,Tyrese Maxey makes free throw 1 of 2,20,PHI,6,8,31,98,True,65.7
40181000432,1,9:39,Tyrese Maxey makes free throw 2 of 2,20,PHI,6,9,32,99,True,63.8
40181000433,1,9:25,Cam Thomas makes 13-foot two point shot,17,PHI,8,9,33,114,True,61.2
40181000434,1,9:13,Tyrese Maxey misses 26-foot three point jumper,20,PHI,8,9,34,92,,59.5
40181000435,1,9:10,Tyrese Martin defensive rebound,17,PHI,8,9,35,155,,58.9
40181000436,1,9:06,Cam Thomas makes 27-foot running pullup jump shot (Tyrese Martin assists),17,PHI,11,9,36,146,True,53.8
40181000438,1,8:47,Kelly Oubre Jr. misses 27-foot three point jumper,20,PHI,11,9,38,92,,51.7
40181000439,1,8:45,Michael Porter Jr. defensive rebound,17,PHI,11,9,39,155,,51
40181000440,1,8:35,Cam Thomas misses two point shot,17,PHI,11,9,40,145,,53
40181000441,1,8:33,Cam Thomas offensive rebound,17,PHI,11,9,41,156,,50.9
40181000442,1,8:31,Michael Porter Jr. misses 26-foot three point jumper,17,PHI,11,9,42,92,,53
40181000443,1,8:29,Nets offensive team rebound,17,PHI,11,9,43,156,,50.9
40181000446,1,8:24,Michael Porter Jr. makes 5-foot dunk (Tyrese Martin assists),17,BKN,13,9,46,151,True,51.7
40181000448,1,8:08,VJ Edgecombe misses driving dunk,20,BKN,13,9,48,115,,53.7
40181000449,1,8:06,Michael Porter Jr. defensive rebound,17,BKN,13,9,49,155,,54.3
40181000450,1,8:02,Terance Mann makes two point shot (Michael Porter Jr. assists),17,BKN,15,9,50,109,True,56.8
40181000452,1,7:41,Kelly Oubre Jr. makes 9-foot two point shot,20,BKN,15,11,52,137,True,54.5
40181000453,1,7:30,Nic Claxton lost ball turnover (Adem Bona steals),17,BKN,15,11,53,63,,51.9
40181000455,1,7:26,Kelly Oubre Jr. makes 2-foot dunk (Tyrese Maxey assists),20,PHI,15,13,55,116,True,50.6
40181000457,1,7:04,Nic Claxton makes 5-foot dunk (Michael Porter Jr. assists),17,BKN,17,13,57,96,True,52
40181000459,1,6:54,VJ Edgecombe makes driving layup,20,PHI,17,15,59,110,True,50.5
40181000460,1,6:44,Adem Bona personal foul,20,PHI,17,15,60,45,,50.7
40181000462,1,6:44,Nets Full timeout,17,PHI,17,15,62,16,,50.6
40181000463,1,6:44,Quentin Grimes enters the game for Adem Bona,20,PHI,17,15,63,584,,50.6
40181000464,1,6:44,Andre Drummond enters the game for VJ Edgecombe,20,PHI,17,15,64,584,,50.6
40181000467,1,6:29,Andre Drummond blocks Cam Thomas 's 16-foot pullup jump shot,17,PHI,17,15,67,131,,52.6
40181000469,1,6:29,Nets offensive team rebound,17,PHI,17,15,69,156,,50.5
40181000471,1,6:27,Nic Claxton misses 25-foot three point jumper,17,PHI,17,15,71,92,,52.6
40181000472,1,6:22,Andre Drummond defensive rebound,20,PHI,17,15,72,155,,53.2
40181000473,1,6:06,Kelly Oubre Jr. makes driving layup,20,PHI,17,17,73,110,True,55.8
40181000474,1,6:06,Nic Claxton defensive goaltending violation,17,PHI,17,17,74,9,,55.8
40181000475,1,5:48,Michael Porter Jr. out of bounds lost ball turnover,17,PHI,17,17,75,87,,58.3
40181000476,1,5:48,Ziaire Williams enters the game for Terance Mann,17,PHI,17,17,76,584,,58.3
40181000478,1,5:33,Kelly Oubre Jr. misses 26-foot three point jumper,20,PHI,17,17,78,92,,56.3
40181000479,1,5:29,Michael Porter Jr. defensive rebound,17,PHI,17,17,79,155,,55.7
40181000480,1,5:26,Tyrese Martin misses two point shot,17,PHI,17,17,80,109,,57.6
40181000481,1,5:24,Andre Drummond defensive rebound,20,PHI,17,17,81,155,,58.3
40181000482,1,5:18,Kelly Oubre Jr. makes layup (Quentin Grimes assists),20,PHI,17,19,82,142,True,60.8
40181000484,1,5:05,Cam Thomas misses driving layup,17,PHI,17,19,84,110,,62.8
40181000486,1,5:03,Andre Drummond defensive rebound,20,PHI,17,19,86,155,,63.5
40181000487,1,4:57,Tyrese Maxey misses 15-foot pullup jump shot,20,PHI,17,19,87,131,,61.5
40181000488,1,4:55,76ers offensive team rebound,20,PHI,17,19,88,156,,63.5
40181000489,1,4:55,Nic Claxton loose ball foul,17,PHI,17,19,89,43,,63.2
40181000491,1,4:55,Noah Clowney enters the game for Michael Porter Jr.,17,PHI,17,19,91,584,,63.2
40181000493,1,4:42,Kelly Oubre Jr. makes 7-foot driving floating jump shot,20,PHI,17,21,93,144,True,65.9
40181000494,1,4:33,Andre Drummond shooting foul,20,PHI,17,21,94,44,,62
40181000496,1,4:33,Nic Claxton makes free throw 1 of 2,17,PHI,18,21,96,98,True,61.4
40181000497,1,4:33,Egor Demin enters the game for Tyrese Martin,17,PHI,18,21,97,584,,61.4
40181000498,1,4:33,Drake Powell enters the game for Cam Thomas,17,PHI,18,21,98,584,,61.4
40181000499,1,4:33,Trendon Watford enters the game for Jabari Walker,20,PHI,18,21,99,584,,61.4
401810004103,1,4:33,Nic Claxton misses free throw 2 of 2,17,PHI,18,21,103,99,,65.9
401810004104,1,4:30,Noah Clowney offensive rebound,17,PHI,18,21,104,156,,63.3
401810004105,1,4:27,Noah Clowney misses 29-foot three point jumper,17,PHI,18,21,105,92,,65.2
401810004106,1,4:26,Nets offensive team rebound,17,PHI,18,21,106,156,,63.3
401810004108,1,4:24,Ziaire Williams misses 26-foot three point jumper,17,PHI,18,21,108,92,,65.2
401810004109,1,4:18,Trendon Watford defensive rebound,20,PHI,18,21,109,155,,65.9
401810004110,1,4:08,Quentin Grimes misses 26-foot three point jumper,20,PHI,18,21,110,92,,63.9
401810004111,1,4:04,Noah Clowney defensive rebound,17,PHI,18,21,111,155,,63.2
401810004112,1,4:00,Noah Clowney lost ball turnover (Kelly Oubre Jr. steals),17,PHI,18,21,112,63,,65.9
401810004114,1,3:58,Noah Clowney shooting foul,17,PHI,18,21,114,44,,69.3
401810004116,1,3:58,Kelly Oubre Jr. makes free throw 1 of 2,20,PHI,18,22,116,98,True,70.1
401810004117,1,3:58,Kelly Oubre Jr. makes free throw 2 of 2,20,PHI,18,23,117,99,True,68.2
401810004118,1,3:46,Nic Claxton makes driving layup,17,PHI,20,23,118,110,True,65.8
401810004119,1,3:30,Trendon Watford lost ball turnover (Drake Powell steals),20,PHI,20,23,119,63,,63.1
401810004121,1,3:23,Drake Powell makes two point shot,17,PHI,22,23,121,109,True,60.9
401810004122,1,3:11,Tyrese Maxey makes 4-foot two point shot (Quentin Grimes assists),20,PHI,22,25,122,130,True,63.1
401810004124,1,2:56,Egor Demin makes 28-foot three point jumper (Nic Claxton assists),17,PHI,25,25,124,92,True,57.9
401810004126,1,2:44,"Nic Claxton defensive 3-seconds (technical foul)
",17,PHI,25,25,126,29,,57.3
401810004127,1,2:44,76ers Full timeout,20,PHI,25,25,127,16,,57.9
401810004128,1,2:44,Tyrese Maxey makes technical free throw,20,PHI,25,26,128,103,True,60.8
401810004129,1,2:33,Kelly Oubre Jr. makes 22-foot three point jumper (Quentin Grimes assists),20,PHI,25,29,129,92,True,65.9
401810004131,1,2:17,Ziaire Williams makes 26-foot three point jumper (Drake Powell assists),17,PHI,28,29,131,92,True,60.8
401810004133,1,2:17,Trendon Watford shooting foul,20,PHI,28,29,133,44,,55.8
401810004135,1,2:17,VJ Edgecombe enters the game for Tyrese Maxey,20,PHI,28,29,135,584,,55.8
