id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100244,1,12:00,Mark Williams vs. Quinten Post (Grayson Allen gains possession),21,GS,0,0,4,615,,75.4
4018100247,1,11:44,Grayson Allen misses 25-foot three point jumper,21,GS,0,0,7,92,,76.3
4018100248,1,11:39,Royce O'Neale offensive rebound,21,GS,0,0,8,156,,75.2
4018100249,1,11:32,Ryan Dunn misses 25-foot three point jumper,21,GS,0,0,9,92,,76.3
40181002410,1,11:29,Jonathan Kuminga defensive rebound,9,GS,0,0,10,155,,76.6
40181002411,1,11:14,Jonathan Kuminga misses layup,9,GS,0,0,11,141,,75.4
40181002413,1,11:11,Mark Williams defensive rebound,21,GS,0,0,13,155,,75
40181002414,1,11:07,Stephen Curry shooting foul,9,GS,0,0,14,44,,71.8
40181002416,1,11:07,Devin Booker makes free throw 1 of 2,21,GS,0,1,16,98,True,71.3
40181002417,1,11:07,Devin Booker makes free throw 2 of 2,21,GS,0,2,17,99,True,72.8
40181002418,1,10:51,Jimmy Butler III misses driving layup,9,GS,0,2,18,110,,71.2
40181002419,1,10:48,Grayson Allen defensive rebound,21,GS,0,2,19,155,,70.6
40181002420,1,10:44,Devin Booker misses running pullup jump shot,21,GS,0,2,20,146,,72.1
40181002421,1,10:40,Devin Booker offensive rebound,21,GS,0,2,21,156,,70.6
40181002422,1,10:39,Devin Booker misses 25-foot three point jumper,21,GS,0,2,22,92,,72.1
40181002423,1,10:36,Draymond Green defensive rebound,9,GS,0,2,23,155,,72.6
40181002424,1,10:18,Draymond Green misses 25-foot three point jumper,9,GS,0,2,24,92,,70.9
40181002425,1,10:15,Mark Williams defensive rebound,21,GS,0,2,25,155,,70.3
40181002426,1,10:06,Grayson Allen makes 23-foot three point jumper (Mark Williams assists),21,GS,0,5,26,92,True,65.9
40181002428,1,9:56,Quinten Post makes 26-foot three point jumper (Jonathan Kuminga assists),9,GS,3,5,28,92,True,70.2
40181002431,1,9:32,Draymond Green blocks Mark Williams 's 4-foot layup,21,GS,3,5,31,141,,71.5
40181002433,1,9:30,Quinten Post defensive rebound,9,GS,3,5,33,155,,72
40181002434,1,9:28,Jimmy Butler III makes two point shot (Stephen Curry assists),9,GS,5,5,34,109,True,74.1
40181002436,1,9:14,Grayson Allen misses 10-foot two point shot,21,GS,5,5,36,130,,75.4
40181002438,1,9:11,Jimmy Butler III defensive rebound,9,GS,5,5,38,155,,75.8
40181002439,1,9:02,Quinten Post makes 25-foot three point jumper (Jimmy Butler III assists),9,GS,8,5,39,92,True,79.3
40181002441,1,8:43,Devin Booker misses 14-foot step back jumpshot,21,GS,8,5,41,132,,80.5
40181002442,1,8:41,Jonathan Kuminga defensive rebound,9,GS,8,5,42,155,,81
40181002443,1,8:35,Jonathan Kuminga lost ball turnover (Devin Booker steals),9,GS,8,5,43,63,,79.1
40181002445,1,8:30,Ryan Dunn misses two point shot,21,GS,8,5,45,109,,80.5
40181002446,1,8:27,Suns offensive team rebound,21,GS,8,5,46,156,,79.1
40181002447,1,8:27,Suns Full timeout,21,GS,8,5,47,16,,79.1
40181002448,1,8:27,(08:27) [Suns] COACH'S CHALLENGE (CALL OVERTURNED) [Suns] retain their timeout,21,GS,8,5,48,215,,79.1
40181002450,1,8:19,Quinten Post blocks Grayson Allen 's 4-foot driving floating jump shot,21,GS,8,5,50,144,,80.4
40181002452,1,8:19,Suns offensive team rebound,21,GS,8,5,52,156,,79
40181002454,1,8:18,Ryan Dunn misses 24-foot three point jumper,21,GS,8,5,54,92,,80.4
40181002455,1,8:14,Quinten Post defensive rebound,9,GS,8,5,55,155,,80.8
40181002456,1,8:07,Stephen Curry makes 28-foot running pullup jump shot,9,GS,11,5,56,146,True,83.9
40181002457,1,7:48,Royce O'Neale misses 26-foot three point jumper,21,GS,11,5,57,92,,84.9
40181002458,1,7:45,Quinten Post defensive rebound,9,GS,11,5,58,155,,85.3
40181002459,1,7:33,Jimmy Butler III misses 22-foot three point jumper,9,GS,11,5,59,92,,84.1
40181002460,1,7:31,Grayson Allen defensive rebound,21,GS,11,5,60,155,,83.7
40181002461,1,7:14,Devin Booker makes 15-foot two point shot,21,GS,11,7,61,121,True,82
