team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
POR,,False,2991070,Jerami Grant,9,starters,-7,4-9,2,0,3,7-20,8-10,39,2,4,26,5,0,1
POR,,False,4431736,Toumani Camara,33,starters,-4,1-7,3,0,6,5-13,0-0,41,4,4,11,10,1,2
POR,,False,4683021,Deni Avdija,8,starters,-11,2-7,7,2,4,10-20,7-7,39,2,6,29,6,0,4
POR,,False,5105565,Donovan Clingan,23,starters,-9,2-6,2,2,4,6-11,2-2,28,7,4,16,11,0,0
POR,,False,4914336,Shaedon Sharpe,17,starters,-3,3-9,6,0,2,12-32,9-11,39,2,5,36,4,1,3
POR,,False,4594326,Kris Murray,24,bench,-1,2-2,2,0,3,2-2,0-0,32,2,2,6,5,3,0
POR,,False,4066211,Robert Williams III,35,bench,+5,0-0,1,1,3,3-5,0-0,17,2,1,6,5,2,0
POR,,False,4433144,Caleb Love,2,bench,-1,0-4,2,0,2,1-6,0-0,14,0,1,2,2,1,0
POR,,False,5081727,Sidy Cissoko,91,bench,0,0-1,1,0,1,0-2,1-2,12,1,3,1,2,0,1
POR,,False,5099752,Rayan Rupert,21,bench,+6,0-2,0,0,3,0-2,0-0,5,0,2,0,3,0,0
POR,,False,4066268,Duop Reath,26,bench,,,,,,,,,,,,,,
POR,,False,3995,Jrue Holiday,5,bench,,,,,,,,,,,,,,
POR,,False,6606,Damian Lillard,0,bench,,,,,,,,,,,,,,
POR,,False,3907498,Matisse Thybulle,4,bench,,,,,,,,,,,,,,
POR,,False,4683678,Scoot Henderson,00,bench,,,,,,,,,,,,,,
DAL,,False,4278049,Daniel Gafford,21,starters,+11,0-0,2,3,3,6-8,8-10,31,3,4,20,6,1,0
DAL,,False,4278078,P.J. Washington,25,starters,+4,5-7,2,0,6,7-16,2-4,38,1,1,21,7,1,5
DAL,,False,5041939,Cooper Flagg,32,starters,+10,1-3,5,2,6,9-16,2-3,37,2,3,21,8,1,0
DAL,,False,4397040,Brandon Williams,10,starters,+4,0-1,6,0,2,5-10,5-6,31,1,1,15,3,1,1
DAL,,False,4432582,Max Christie,00,starters,-2,3-6,4,0,4,4-7,3-4,28,0,0,14,4,1,1
DAL,,False,3138160,Caleb Martin,16,bench,+4,0-0,1,0,1,0-0,0-0,5,0,2,0,1,0,0
DAL,,False,4278594,Naji Marshall,13,bench,-8,0-2,3,0,6,3-6,3-6,27,3,1,9,9,2,2
DAL,,False,4683688,Dereck Lively II,2,bench,-7,0-0,1,2,2,1-2,0-0,12,1,6,2,3,0,2
DAL,,False,4701208,Moussa Cisse,30,bench,-3,0-0,0,1,0,2-3,1-3,7,1,2,5,1,0,0
DAL,,False,6475,Klay Thompson,31,bench,+11,5-11,2,1,2,7-16,0-0,26,1,2,19,3,0,1
DAL,,False,3136776,D'Angelo Russell,5,bench,+1,1-4,7,0,2,4-11,3-4,22,0,0,12,2,0,2
DAL,,False,2531367,Dwight Powell,7,bench,,,,,,,,,,,,,,
DAL,,False,4696317,Miles Kelly,14,bench,,,,,,,,,,,,,,
DAL,,False,4868423,Jaden Hardy,1,bench,,,,,,,,,,,,,,
