team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
GS,,False,6430,Jimmy Butler III,10,starters,-1,0-1,4,0,6,10-16,13-15,38,1,0,33,7,3,3
GS,,False,6589,Draymond Green,23,starters,+9,2-5,6,2,6,5-8,0-0,31,0,4,12,6,0,3
GS,,False,3975,Stephen Curry,30,starters,-3,7-15,9,0,3,12-23,3-5,34,0,2,34,3,3,5
GS,,False,4432171,Moses Moody,4,starters,-3,1-4,2,0,3,2-6,1-2,30,1,3,6,4,2,3
GS,,False,4897262,Will Richard,3,starters,-4,1-1,2,0,0,2-2,1-2,15,0,3,6,0,1,1
GS,,False,3213,Al Horford,20,bench,-11,1-4,1,1,6,2-6,4-4,27,0,2,9,6,2,2
GS,,False,4593016,Quinten Post,21,bench,0,0-3,1,0,1,1-4,0-0,12,2,0,2,3,0,0
GS,,False,2990984,Buddy Hield,7,bench,-5,0-1,0,0,0,1-3,0-0,15,0,0,2,0,0,1
GS,,False,3134903,Gary Payton II,0,bench,-15,0-0,1,0,0,2-3,0-0,10,1,2,4,1,0,0
GS,,False,4709138,Brandin Podziemski,2,bench,-7,1-2,0,0,5,2-7,0-0,27,1,2,5,6,0,0
GS,,False,4431684,Trayce Jackson-Davis,32,bench,,,,,,,,,,,,,,
GS,,False,4433247,Jonathan Kuminga,1,bench,,,,,,,,,,,,,,
GS,,False,4997536,Gui Santos,15,bench,,,,,,,,,,,,,,
GS,,False,4592714,Pat Spencer,61,bench,,,,,,,,,,,,,,
ORL,,False,4566434,Franz Wagner,22,starters,+5,0-3,3,1,7,7-17,4-4,36,1,4,18,8,1,1
ORL,,False,4702382,Tristan da Silva,23,starters,+6,3-7,2,0,2,6-13,0-0,29,2,0,15,4,1,2
ORL,,False,4277847,Wendell Carter Jr.,34,starters,-1,1-3,2,0,8,5-7,6-6,35,4,3,17,12,1,1
ORL,,False,4066320,Desmond Bane,3,starters,-5,2-6,5,0,5,7-16,7-7,39,1,4,23,6,5,3
ORL,,False,4432165,Jalen Suggs,4,starters,+8,0-7,8,1,5,4-11,5-5,32,0,4,13,5,2,3
ORL,,False,4065654,Jonathan Isaac,1,bench,+3,0-1,0,0,1,0-2,0-0,7,1,1,0,2,0,1
ORL,,False,4278572,Jamal Cain,8,bench,-3,0-0,0,0,0,0-0,0-0,0,0,0,0,0,0,0
ORL,,False,4348700,Goga Bitadze,35,bench,+8,0-0,3,1,1,3-3,0-0,14,1,1,6,2,1,1
ORL,,False,3135046,Tyus Jones,2,bench,+1,2-2,3,0,0,3-3,0-0,15,0,0,8,0,1,1
ORL,,False,4712849,Anthony Black,0,bench,+18,0-3,2,0,4,8-13,5-7,33,0,3,21,4,2,1
ORL,,False,5105806,Jett Howard,13,bench,,,,,,,,,,,,,,
ORL,,False,5239561,Jase Richardson,11,bench,,,,,,,,,,,,,,
