team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
DEN,,False,3064290,Aaron Gordon,32,starters,-1,10-11,90.9,2,1,8,17-21,81.0,6-6,100.0,39,0,1,50,8,0,2
DEN,,False,3138196,Cameron Johnson,23,starters,-17,1-6,16.7,2,0,3,2-8,25.0,0-0,0.0,32,0,3,5,3,1,1
DEN,,False,3112335,Nikola Jokic,15,starters,-10,2-13,15.4,10,1,12,8-23,34.8,3-4,75.0,41,1,3,21,13,1,2
DEN,,False,3936299,Jamal Murray,27,starters,-13,1-4,25.0,10,0,2,11-20,55.0,2-2,100.0,40,1,2,25,3,3,3
DEN,,False,4431767,Christian Braun,0,starters,-9,0-1,0.0,2,0,2,3-7,42.9,0-0,0.0,38,2,5,6,4,0,2
DEN,,False,4592427,Spencer Jones,21,bench,+5,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,6,0,0,0,0,1,1
DEN,,False,6477,Jonas Valanciunas,17,bench,+4,0-0,0.0,2,1,3,4-5,80.0,0-0,0.0,12,0,1,8,3,0,0
DEN,,False,2528210,Tim Hardaway Jr.,10,bench,+5,2-5,40.0,0,0,1,4-8,50.0,0-0,0.0,22,1,1,10,2,1,0
DEN,,False,4065670,Bruce Brown,11,bench,+6,0-0,0.0,3,0,4,2-3,66.7,0-0,0.0,19,1,4,4,5,1,0
DEN,,False,4576087,Peyton Watson,8,bench,0,0-0,0.0,1,1,1,0-0,0.0,2-2,100.0,16,1,2,2,2,0,2
DEN,,False,4395620,Hunter Tyson,5,bench,,,,,,,,,,,,,,,,,
DEN,,False,4431690,Zeke Nnaji,22,bench,,,,,,,,,,,,,,,,,
DEN,,False,4433607,DaRon Holmes II,14,bench,,,,,,,,,,,,,,,,,
DEN,,False,4398390,Jalen Pickett,24,bench,,,,,,,,,,,,,,,,,
DEN,,False,4432181,Julian Strawther,3,bench,,,,,,,,,,,,,,,,,
GS,,False,6430,Jimmy Butler III,10,starters,+8,2-4,50.0,6,0,2,6-16,37.5,7-8,87.5,39,3,1,21,5,3,0
GS,,False,6589,Draymond Green,23,starters,+11,2-5,40.0,8,1,8,5-8,62.5,1-2,50.0,34,0,2,13,8,0,1
GS,,False,4433247,Jonathan Kuminga,1,starters,+8,1-4,25.0,3,0,4,6-11,54.5,1-3,33.3,36,1,3,14,5,0,1
GS,,False,3975,Stephen Curry,30,starters,+15,6-12,50.0,7,1,6,14-25,56.0,8-8,100.0,37,0,1,42,6,3,2
GS,,False,4709138,Brandin Podziemski,2,starters,-1,2-6,33.3,1,0,2,4-9,44.4,1-2,50.0,34,1,3,11,3,1,1
GS,,False,3213,Al Horford,20,bench,+6,3-4,75.0,2,1,2,5-7,71.4,0-0,0.0,29,1,2,13,3,1,2
GS,,False,4593016,Quinten Post,21,bench,-3,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,4,0,0,0,0,0,0
GS,,False,2990984,Buddy Hield,7,bench,-5,1-7,14.3,2,0,2,5-13,38.5,0-0,0.0,23,0,1,11,2,1,1
GS,,False,3134903,Gary Payton II,0,bench,-6,0-1,0.0,1,0,3,3-5,60.0,0-0,0.0,12,3,2,6,6,1,0
GS,,False,4897262,Will Richard,3,bench,-3,1-4,25.0,3,0,4,2-5,40.0,1-2,50.0,17,1,1,6,5,1,0
GS,,False,4431684,Trayce Jackson-Davis,32,bench,,,,,,,,,,,,,,,,,
GS,,False,4997536,Gui Santos,15,bench,,,,,,,,,,,,,,,,,
GS,,False,4592714,Pat Spencer,61,bench,,,,,,,,,,,,,,,,,
