team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
ATL,,False,4701230,Jalen Johnson,1,starters,+13,0-3,0.0,8,1,12,9-16,56.3,4-4,100.0,33,1,2,22,13,2,1
ATL,,False,5211175,Zaccharie Risacher,10,starters,+6,3-7,42.9,1,1,0,5-12,41.7,0-0,0.0,23,1,4,13,1,1,1
ATL,,False,3102531,Kristaps Porzingis,8,starters,0,1-3,33.3,1,1,4,6-12,50.0,2-3,66.7,23,4,1,15,8,0,3
ATL,,False,4278039,Nickeil Alexander-Walker,7,starters,+17,1-5,20.0,3,0,2,8-14,57.1,4-5,80.0,32,1,1,21,3,2,3
ATL,,False,4869342,Dyson Daniels,5,starters,+13,0-0,0.0,6,0,7,8-13,61.5,2-2,100.0,38,2,2,18,9,3,1
ATL,,False,4431680,Onyeka Okongwu,17,bench,+15,2-4,50.0,2,2,7,5-8,62.5,2-4,50.0,26,2,4,14,9,0,1
ATL,,False,4592461,Jacob Toppin,0,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,1,0,0,0,0,0,0
ATL,,False,4712863,Mouhamed Gueye,18,bench,+14,0-2,0.0,0,0,6,3-5,60.0,0-0,0.0,16,0,4,6,6,0,0
ATL,,False,4873201,Asa Newell,14,bench,0,0-1,0.0,0,0,0,0-1,0.0,0-0,0.0,1,0,0,0,0,0,0
ATL,,False,4592401,N'Faly Dante,12,bench,0,0-0,0.0,0,0,0,1-1,100.0,0-0,0.0,1,0,1,2,0,1,0
ATL,,False,3913174,Luke Kennard,3,bench,+18,0-2,0.0,2,0,2,2-7,28.6,2-2,100.0,27,1,2,6,3,0,0
ATL,,False,4279118,Keaton Wallace,2,bench,+4,3-3,100.0,7,0,3,4-5,80.0,0-0,0.0,17,0,2,11,3,1,0
ATL,,False,4433623,Caleb Houstan,33,bench,0,0-0,0.0,0,0,0,0-0,0.0,0-0,0.0,1,0,0,0,0,0,0
ATL,,False,4578893,Vit Krejci,27,bench,,,,,,,,,,,,,,,,,
IND,,False,3149673,Pascal Siakam,43,starters,-15,2-6,33.3,5,0,5,5-15,33.3,6-10,60.0,30,0,2,18,5,0,2
IND,,False,4432170,Isaiah Jackson,22,starters,+8,0-0,0.0,2,0,6,4-7,57.1,1-2,50.0,27,5,3,9,11,0,0
IND,,False,5106060,Jarace Walker,5,starters,-8,4-6,66.7,3,0,2,6-13,46.2,1-2,50.0,28,1,2,17,3,0,1
IND,,False,4396909,Aaron Nesmith,23,starters,-17,2-8,25.0,1,0,2,3-11,27.3,4-5,80.0,25,0,1,12,2,1,0
IND,,False,4592829,Quenton Jackson,29,starters,+6,2-4,50.0,4,1,3,4-8,50.0,5-6,83.3,22,1,0,15,4,1,3
IND,,False,4065673,Tony Bradley,13,bench,-2,0-0,0.0,0,0,0,1-1,100.0,0-0,0.0,5,3,1,2,3,0,0
IND,,False,4065731,Jay Huff,32,bench,-18,0-4,0.0,2,2,1,2-8,25.0,4-4,100.0,22,4,1,8,5,0,1
IND,,False,4397071,Mac McClung,3,bench,-4,1-6,16.7,0,0,2,5-12,41.7,1-1,100.0,19,0,2,12,2,3,2
IND,,False,4431941,RayJ Dennis,10,bench,-26,2-7,28.6,5,0,4,3-14,21.4,0-0,0.0,26,1,3,8,5,1,2
IND,,False,4433076,Ben Sheppard,26,bench,-23,0-5,0.0,1,0,5,2-9,22.2,0-0,0.0,29,2,1,4,7,0,0
IND,,False,4703421,Taelon Peter,4,bench,-1,0-1,0.0,0,0,1,0-1,0.0,3-3,100.0,8,1,0,3,2,0,1
