team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
BOS,,False,4397424,Neemias Queta,88,starters,+5,0-0,2,3,5,3-5,0-0,23,2,5,6,7,0,0
BOS,,False,3078576,Derrick White,9,starters,+15,3-10,4,2,5,6-15,0-0,33,0,3,15,5,2,4
BOS,,False,3917376,Jaylen Brown,7,starters,+2,3-7,4,0,3,9-19,8-10,32,1,2,29,4,1,8
BOS,,False,4066354,Payton Pritchard,11,starters,+11,5-12,5,0,8,6-16,5-5,35,2,1,22,10,0,3
BOS,,False,4683689,Jordan Walsh,27,starters,-12,0-0,0,0,1,2-2,0-0,11,0,4,4,1,0,0
BOS,,False,4065804,Sam Hauser,30,bench,+22,2-5,3,0,6,3-7,0-0,22,1,0,8,7,2,0
BOS,,False,4277964,Xavier Tillman,26,bench,-5,0-0,1,0,0,0-0,0-0,5,0,0,0,0,0,0
BOS,,False,4687718,Josh Minott,8,bench,+15,3-3,0,0,2,3-4,1-2,19,2,1,10,4,0,0
BOS,,False,4277951,Luka Garza,52,bench,+14,0-0,0,0,3,1-1,3-4,20,2,4,5,5,1,1
BOS,,False,4351851,Anfernee Simons,4,bench,0,2-3,5,0,4,3-4,3-5,26,0,2,11,4,0,3
BOS,,False,4593841,Baylor Scheierman,55,bench,+3,1-2,1,0,2,1-2,0-0,13,0,2,3,2,0,0
BOS,,False,3948153,Chris Boucher,99,bench,,,,,,,,,,,,,,
BOS,,False,4397251,Ron Harper Jr.,13,bench,,,,,,,,,,,,,,
BOS,,False,5175647,Hugo Gonzalez,28,bench,,,,,,,,,,,,,,
BKN,,False,4278104,Michael Porter Jr.,17,starters,-9,4-8,2,0,4,8-16,5-5,34,2,1,25,6,3,1
BKN,,False,4712896,Noah Clowney,21,starters,-14,3-4,0,1,1,4-8,2-4,23,0,3,13,1,1,0
BKN,,False,4278067,Nic Claxton,33,starters,-10,0-0,3,1,6,1-9,5-8,30,5,3,7,11,0,3
BKN,,False,3907823,Terance Mann,14,starters,-8,0-2,7,0,3,1-4,1-2,27,1,3,3,4,0,1
BKN,,False,5175643,Egor Demin,8,starters,-6,4-7,4,0,2,4-10,0-0,23,1,1,12,3,1,4
BKN,,False,4431714,Jalen Wilson,22,bench,-3,0-3,0,0,1,0-3,0-0,12,0,1,0,1,0,0
BKN,,False,4433137,Ziaire Williams,1,bench,-4,2-7,3,0,4,4-11,2-2,27,0,2,12,4,1,1
BKN,,False,5107173,Danny Wolf,2,bench,-2,0-0,0,0,0,0-0,0-0,2,0,0,0,0,0,0
BKN,,False,4432194,Day'Ron Sharpe,20,bench,-4,0-2,2,0,4,7-10,2-3,18,3,3,16,7,3,1
BKN,,False,4397179,Tyrese Martin,13,bench,-6,1-3,2,0,1,3-6,1-2,18,0,0,8,1,2,0
BKN,,False,5037873,Drake Powell,4,bench,-2,0-2,1,0,1,1-5,1-1,24,0,5,3,1,1,2
BKN,,False,5279130,Nolan Traore,88,bench,-2,0-0,1,0,0,0-0,0-0,2,0,0,0,0,0,0
