team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
MIA,,False,3059319,Andrew Wiggins,22,starters,-1,3-4,75.0,5,1,4,9-13,69.2,1-2,50.0,32,0,4,22,4,2,0
MIA,,False,4066261,Bam Adebayo,13,starters,+4,0-2,0.0,0,0,1,1-5,20.0,0-0,0.0,8,0,1,2,1,0,0
MIA,,False,2595516,Norman Powell,24,starters,-5,4-8,50.0,0,0,2,5-15,33.3,9-9,100.0,31,0,0,23,2,1,3
MIA,,False,4278053,Davion Mitchell,45,starters,-1,1-2,50.0,9,0,3,4-6,66.7,1-2,50.0,31,0,3,10,3,0,3
MIA,,False,4601025,Pelle Larsson,9,starters,-8,0-3,0.0,3,0,3,1-4,25.0,4-4,100.0,24,0,1,6,3,0,1
MIA,,False,3899664,Simone Fontecchio,0,bench,-2,1-2,50.0,2,1,0,2-7,28.6,0-0,0.0,16,2,1,5,2,1,1
MIA,,False,4431786,Keshad Johnson,16,bench,-1,0-3,0.0,0,0,2,0-4,0.0,0-0,0.0,9,0,2,0,2,1,1
MIA,,False,4432848,Jaime Jaquez Jr.,11,bench,-5,1-5,20.0,2,0,3,9-14,64.3,2-2,100.0,26,0,2,21,3,1,1
MIA,,False,4997528,Nikola Jovic,5,bench,-8,1-4,25.0,3,0,3,1-6,16.7,2-2,100.0,20,0,2,5,3,0,3
MIA,,False,5105623,Kel'el Ware,7,bench,-14,2-4,50.0,0,1,11,4-6,66.7,3-4,75.0,27,2,4,13,13,4,1
MIA,,False,4066993,Dru Smith,12,bench,-9,1-4,25.0,2,1,1,2-6,33.3,0-0,0.0,17,1,0,5,2,3,0
MIA,,False,5214640,Kasparas Jakucionis,25,bench,,,,,,,,,,,,,,,,,
DEN,,False,3064290,Aaron Gordon,32,starters,+8,1-5,20.0,1,0,5,9-16,56.3,5-6,83.3,31,1,1,24,6,1,3
DEN,,False,3138196,Cameron Johnson,23,starters,+8,2-5,40.0,1,0,1,3-10,30.0,1-2,50.0,23,1,3,9,2,0,0
DEN,,False,3112335,Nikola Jokic,15,starters,+18,2-5,40.0,16,0,10,12-18,66.7,7-8,87.5,37,5,1,33,15,3,3
DEN,,False,3936299,Jamal Murray,27,starters,+6,1-8,12.5,3,1,6,4-15,26.7,5-5,100.0,34,2,2,14,8,2,2
DEN,,False,4431767,Christian Braun,0,starters,+14,0-3,0.0,7,1,4,5-14,35.7,1-1,100.0,35,4,2,11,8,2,0
DEN,,False,6477,Jonas Valanciunas,17,bench,-8,0-1,0.0,0,0,3,1-5,20.0,4-4,100.0,11,3,1,6,6,0,2
DEN,,False,2528210,Tim Hardaway Jr.,10,bench,-1,4-9,44.4,0,0,2,7-12,58.3,0-0,0.0,24,1,2,18,3,0,1
DEN,,False,4065670,Bruce Brown,11,bench,+3,1-3,33.3,2,0,1,2-7,28.6,0-0,0.0,28,2,3,5,3,2,3
DEN,,False,4576087,Peyton Watson,8,bench,+2,0-1,0.0,3,2,8,0-4,0.0,2-2,100.0,18,2,1,2,10,0,2
DEN,,False,4395620,Hunter Tyson,5,bench,,,,,,,,,,,,,,,,,
DEN,,False,4431690,Zeke Nnaji,22,bench,,,,,,,,,,,,,,,,,
DEN,,False,4592427,Spencer Jones,21,bench,,,,,,,,,,,,,,,,,
DEN,,False,4398390,Jalen Pickett,24,bench,,,,,,,,,,,,,,,,,
DEN,,False,4432181,Julian Strawther,3,bench,,,,,,,,,,,,,,,,,
