team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
BKN,,False,4278104,Michael Porter Jr.,17,starters,+17,3-8,7,0,9,11-18,9-10,34,0,2,34,9,0,2
BKN,,False,4712896,Noah Clowney,21,starters,+16,4-6,1,1,4,4-6,0-4,30,0,2,12,4,1,1
BKN,,False,4278067,Nic Claxton,33,starters,+14,0-0,7,4,7,5-7,7-9,30,1,2,17,8,0,2
BKN,,False,3907823,Terance Mann,14,starters,+10,2-5,3,0,5,2-8,4-4,29,2,2,10,7,0,2
BKN,,False,5175643,Egor Demin,8,starters,-3,1-3,5,0,0,2-5,0-0,20,1,2,5,1,1,1
BKN,,False,4431714,Jalen Wilson,22,bench,0,1-1,0,0,0,1-1,0-0,2,0,0,3,0,0,0
BKN,,False,4432821,E.J. Liddell,9,bench,0,0-2,0,0,0,0-2,0-0,2,0,1,0,0,0,0
BKN,,False,4433137,Ziaire Williams,1,bench,+13,2-6,0,1,4,3-7,5-5,30,0,3,13,4,0,1
BKN,,False,4432194,Day'Ron Sharpe,20,bench,+9,0-0,3,0,4,2-4,2-2,16,1,2,6,5,0,2
BKN,,False,4397179,Tyrese Martin,13,bench,+26,3-6,4,2,0,8-12,1-1,26,2,1,20,2,1,2
BKN,,False,4432887,Tyson Etienne,10,bench,0,1-3,0,0,0,1-3,0-0,2,0,0,3,0,0,0
BKN,,False,5037873,Drake Powell,4,bench,+13,0-1,2,0,4,3-6,0-0,19,0,1,6,4,1,1
WSH,,False,6609,Khris Middleton,22,starters,+3,1-3,2,0,5,4-7,5-5,27,0,2,14,5,1,1
WSH,,False,5174563,Kyshawn George,18,starters,-15,5-10,5,0,6,9-16,6-7,32,0,6,29,6,0,4
WSH,,False,5160992,Alex Sarr,20,starters,-2,1-3,1,0,2,4-12,0-0,23,1,6,9,3,0,0
WSH,,False,2490149,CJ McCollum,3,starters,0,3-7,3,0,1,6-12,2-2,32,1,3,17,2,2,1
WSH,,False,5104155,Bilal Coulibaly,0,starters,-1,0-0,4,2,3,2-6,2-2,28,0,1,6,3,2,0
WSH,,False,4277848,Marvin Bagley III,35,bench,-6,0-0,1,0,3,1-3,2-3,17,0,1,4,3,0,1
WSH,,False,4280151,Corey Kispert,24,bench,-8,0-2,0,0,2,2-4,0-0,15,0,1,4,2,1,0
WSH,,False,4432907,Justin Champagnie,9,bench,-15,0-1,0,0,0,1-3,2-2,7,0,0,4,0,0,0
WSH,,False,4997537,Tristan Vukcevic,00,bench,-8,0-0,0,1,2,1-1,0-0,7,0,0,2,2,0,1
WSH,,False,5105592,Cam Whitmore,1,bench,-13,1-1,1,0,1,2-5,1-1,13,1,1,6,2,0,1
WSH,,False,4845374,Bub Carrington,7,bench,-25,1-3,3,0,4,2-5,0-0,20,0,1,5,4,1,0
WSH,,False,5170947,AJ Johnson,4,bench,0,0-0,0,0,1,0-1,0-0,3,0,0,0,1,0,0
WSH,,False,5238230,Tre Johnson,12,bench,-25,0-4,1,0,0,3-9,0-0,17,0,3,6,0,0,1
WSH,,False,2581184,Anthony Gill,16,bench,,,,,,,,,,,,,,
WSH,,False,4565201,Malaki Branham,8,bench,,,,,,,,,,,,,,
