Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Nikola Jokic,C,DEN,12000,64.67,16,30,72.86,47.48,1,92.0,19.5,61.29,122,199,2,0,65.4,vs MIA,-9.5,-395,241.5,125.5
Anthony Davis,PF,DAL,10300,0.0,18,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,42.9,vs NOP,-7.5,-298,227.5,117.5
Cade Cunningham,PG,DET,10200,51.64,12,30,62.73,41.64,1,89.0,19.4,52.94,88,165,4,0,48.6,vs UTA,-9.5,-455,232.5,121.0
Tyrese Maxey,PG,PHI,10000,51.43,3,30,61.96,27.73,1,88.0,1.6,47.45,804,121,-1,0,59.1,@CLE,10.5,320,235.5,112.5
Pascal Siakam,PF,IND,9500,45.95,2,30,55.46,33.54,1,88.0,26.5,51.43,55,156,-1,0,49.0,vs BKN,-6.5,-270,232.5,119.5
Alperen Sengun,C,HOU,9400,48.55,15,30,56.49,37.79,1,89.0,9.9,44.95,142,136,3,0,49.8,@MEM,-7.5,-298,232.5,120.0
Donovan Mitchell,SG,CLE,9200,46.14,21,30,60.1,29.03,1,87.0,6.5,40.8,208,115,6,0,43.0,vs PHI,-10.5,-410,235.5,123.0
Evan Mobley,PF,CLE,9100,41.65,9,30,49.11,28.74,1,88.0,5.6,44.42,220,114,2,0,44.4,vs PHI,-10.5,-410,235.5,123.0
Julius Randle,PF,MIN,9000,44.85,27,30,54.0,31.66,1,89.0,8.9,38.24,139,118,2,0,47.4,@NYK,3.5,140,227.5,112.0
Ja Morant,PG,MEM,9000,40.54,26,30,47.54,27.96,1,88.0,6.7,41.4,174,110,1,0,36.8,vs HOU,7.5,240,232.5,112.5
Karl-Anthony Towns,PF,NYK,8900,45.48,10,30,53.5,34.32,1,88.0,6.5,45.64,198,126,-2,0,45.8,vs MIN,-3.5,-166,227.5,115.5
Zion Williamson,PF,NOP,8900,0.0,7,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,41.2,@DAL,7.5,240,227.5,110.0
Anthony Edwards,SG,MIN,8900,43.22,19,30,60.35,31.93,1,89.0,8.1,36.91,154,114,0,0,35.5,@NYK,3.5,140,227.5,112.0
Jalen Brunson,PG,NYK,8800,49.27,28,30,55.53,33.01,1,90.0,7.8,40.87,164,126,3,0,44.2,vs MIN,-3.5,-166,227.5,115.5
Bam Adebayo,PF/C,MIA,8600,42.62,12,30,51.84,35.38,1,88.0,3.8,42.02,309,117,1,0,42.5,@DEN,9.5,310,241.5,116.0
Tyler Herro,PG,MIA,8600,0.0,25,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@DEN,9.5,310,241.5,116.0
Kevin Durant,SF,HOU,8500,42.33,15,30,51.6,28.72,1,90.0,11.1,41.95,104,119,0,0,40.6,@MEM,-7.5,-298,232.5,120.0
Jaylen Brown,SF,BOS,8400,42.26,27,30,48.76,29.8,1,88.0,14.9,42.27,75,123,8,0,40.1,vs WAS,-11.5,-600,232.5,122.0
Jaren Jackson Jr.,PF,MEM,8200,33.58,14,30,38.04,22.34,1,87.0,3.5,32.78,245,86,0,0,30.3,vs HOU,7.5,240,232.5,112.5
Lauri Markkanen,SF,UTA,8100,38.86,4,30,50.66,20.37,1,88.0,1.1,39.5,523,95,3,0,46.6,@DET,9.5,350,232.5,111.5
Darius Garland,PG,CLE,8000,31.02,10,30,43.47,24.85,1,89.0,1.4,22.91,390,76,1,0,0.0,vs PHI,-10.5,-410,235.5,123.0
