Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,C,DEN,11500,58.7,1,30,73.68,47.94,1,92.0,14.1,58.75,156,181,2,0,61.4,@MIN,-6.5,-230,229.5,118.0,1.5844131097560976,0.9336890243902439,0.0,56.875,36.5,0.375,0.00652173913043475,1.008765243902439,0.84375,0.12347560975609756,0.1226230454112188,2.0,0.2,2.5,1.0
Victor Wembanyama,C,SAS,11000,65.14,20,30,66.85,45.87,1,89.0,22.0,58.32,95,195,10,0,70.7,vs TOR,-4.5,-175,232.5,118.5,2.1247106481481484,1.1210648148148148,0.0,69.16666666666667,32.666666666666664,6.75,0.09698017731352797,1.5821759259259258,0.16109625668449198,0.40185185185185185,0.15398372689991577,2.3333333333333335,0.25945378151260506,4.333333333333333,0.0
Shai Gilgeous-Alexander,PG,OKC,10500,51.83,17,30,66.96,40.38,1,92.0,7.9,52.54,228,150,4,0,60.7,@DAL,-8.5,-375,225.5,117.0,1.5257221271161112,1.1895111545881905,0.0,60.666666666666664,40.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,PF/C,DAL,10000,52.73,11,30,65.39,28.98,1,90.0,20.1,50.39,84,151,-5,0,52.2,vs OKC,8.5,295,225.5,108.5,1.4481947055137845,0.8506109022556391,0.0,50.666666666666664,35.0,3.9166666666666665,0.07553386281416213,1.2458803258145363,0.21049783549783543,0.28218984962406013,0.2021939136143177,1.3333333333333333,0.14358974358974355,4.333333333333333,0.6666666666666666
Cade Cunningham,PG,DET,9800,48.0,4,30,60.19,44.06,1,89.0,13.6,50.32,114,153,5,0,44.3,vs CLE,1.5,110,231.5,115.0,1.1909780106374535,1.0198327644148077,0.0,43.75,37.0,5.5,0.1265116166075885,1.0275065491783757,0.34697855750487333,0.29902622317482996,0.20902797339671508,4.0,0.5151515151515151,4.666666666666667,0.3333333333333333
Zion Williamson,PF,NOP,9600,0.0,6,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,54.9,vs BOS,4.5,164,231.5,113.5,1.5516994266994266,1.0438165438165439,0.0,54.125,35.0,4.75,0.08786695681856965,1.1887796887796886,0.0,0.4586404586404586,0.11358314659120555,3.0,0.375,4.0,0.0
Alperen Sengun,PF/C,HOU,9500,53.53,2,30,56.22,35.78,1,89.0,3.2,46.14,463,132,10,0,56.0,vs BKN,-16.5,-1350,224.5,120.5,1.2479189044038668,0.8654672395273898,0.0,55.25,43.5,5.25,0.09184862677837144,0.9546186895810956,0.20629370629370625,0.29484425349086996,0.18265129523124304,2.5,0.35,4.5,0.0
Donovan Mitchell,PG/SG,CLE,9400,44.37,22,30,61.67,31.14,1,87.0,2.7,44.75,525,115,3,0,44.3,@DET,-1.5,-130,231.5,116.5,1.2714646464646464,1.1039682539682538,0.0,44.25,34.666666666666664,2.6666666666666665,0.05907720316322463,0.9916305916305918,0.5149572649572649,0.38249158249158244,0.18197689774821627,2.6666666666666665,0.30833333333333335,4.666666666666667,0.0
Tyrese Maxey,PG,PHI,9300,42.61,18,30,58.74,27.39,1,88.0,1.1,46.11,686,111,-2,0,56.3,vs ORL,6.5,195,228.5,111.0,1.3568524970963995,1.0374564459930313,0.0,56.25,41.5,3.0,0.05499046408137315,0.93931475029036,0.29230769230769227,0.32549361207897787,0.18937365472729434,3.0,0.6373626373626373,3.5,0.0
Trae Young,PG,ATL,9200,42.92,24,30,58.02,38.54,1,90.0,5.1,44.32,262,126,3,0,36.2,@CHI,-2.5,-142,243.5,123.0,1.0928104575163398,0.9313725490196078,0.0,35.666666666666664,32.666666666666664,7.416666666666667,0.2110883216055031,0.8758169934640523,0.33207070707070707,0.3607843137254902,0.19721843285590435,3.0,0.3442460317460317,4.0,0.0
