Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Victor Wembanyama,C,SAS,11800,63.09,22,30,68.44,46.31,1,89.0,16.8,60.57,135,188,8,0,67.1,@PHX,-5.5,-225,227.5,116.5,1.9497457437275987,1.0590905017921146,0.0,65.55,33.8,5.15,0.07667341666206508,1.4794668458781364,0.1538006111535523,0.37353046594982076,0.17177495922408031,2.2,0.22688439011968425,4.4,0.2
LaMelo Ball,PG,CHA,9900,0.0,30,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,52.6,vs UTA,1.5,105,232.5,115.5,1.3893058738646975,1.013712757830405,0.0,45.6,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Maxey,PG,PHI,9800,52.24,6,30,62.41,27.9,1,88.0,25.1,49.94,64,153,7,0,61.0,@BKN,-4.5,-198,232.5,118.5,1.3989420672736708,1.0926789954553318,0.0,60.35,43.2,3.55,0.059737522782681206,0.9903708296546906,0.3885897435897435,0.34625620876269547,0.2015442452356068,2.6,0.47018569665628485,3.4,0.6
Devin Booker,PG,PHX,9500,43.01,4,30,55.11,31.36,1,89.0,7.3,46.06,188,122,0,0,47.0,vs SAS,5.5,185,227.5,111.0,1.286875586875587,1.1101535101535103,0.0,47.85,36.8,3.85,0.0810638261844128,0.9793370293370293,0.4419444444444444,0.3324294324294324,0.15357508955728205,2.8,0.225,3.0,0.2
Ja Morant,PG,MEM,9400,0.0,21,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,36.2,@TOR,4.5,154,238.5,117.0,1.190972222222222,0.976191348973607,0.0,34.35,28.6,0.95,0.01862745098039214,0.9928491908330617,0.4508430458430458,0.3055494460736396,0.19520319030784233,2.0,0.08888888888888888,3.8,0.4
Evan Mobley,PF,CLE,9200,44.14,10,30,50.64,29.08,1,88.0,27.4,47.83,48,145,-3,0,45.3,vs ATL,-6.5,-245,230.5,118.5,1.335294117647059,0.7999346405228758,0.0,44.8,33.6,4.95,0.1116738989702114,1.035751633986928,0.4435897435897436,0.22006535947712416,0.27816259562787643,3.0,0.27904761904761904,3.8,0.6
Trae Young,PG,ATL,9100,0.0,8,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,34.1,@CLE,6.5,200,230.5,112.0,1.2441316526610644,1.0168067226890756,0.0,33.5,27.8,4.45,0.12665299296330185,1.0053221288515406,0.3117424242424242,0.37277310924369744,0.20124945402100117,2.6,0.22321428571428567,3.4,0.0
Donovan Mitchell,SG,CLE,8900,42.14,8,30,59.2,28.64,1,87.0,12.5,41.19,102,118,-1,0,40.5,vs ATL,-6.5,-245,230.5,118.5,1.223223615464995,1.1020361247947454,0.0,40.5,33.0,4.1,0.10286147090455729,0.9531680101507687,0.40897435897435896,0.3592363288052943,0.3316097082666143,2.4,0.23205882352941173,4.4,0.0
Josh Giddey,PG,CHI,8800,48.58,16,30,64.71,38.61,1,86.0,9.8,46.18,143,136,8,0,47.6,@NYK,7.5,230,234.5,113.5,1.4161901658851852,1.0228507707482886,0.0,46.4,32.6,3.0,0.06934515534961086,1.0564193357673688,0.2545454545454545,0.24672112643323346,0.17373737426983876,2.4,0.3166233766233766,4.4,1.0
Jalen Brunson,PG,NYK,8700,47.02,27,30,55.33,32.98,1,90.0,7.4,43.41,171,126,7,0,46.1,vs CHI,-7.5,-285,234.5,121.0,1.3230252100840336,1.1078991596638654,0.0,46.1,34.8,4.7,0.10505268231605772,1.0467226890756303,0.4094372294372294,0.4026890756302521,0.16544684551043437,2.8,0.24214285714285713,3.2,1.0
Karl-Anthony Towns,PF,NYK,8600,43.81,23,30,50.16,34.15,1,88.0,10.9,45.84,110,129,3,0,41.2,vs CHI,-7.5,-285,234.5,121.0,1.201080272773821,0.7155818554205652,0.0,40.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,PF,ATL,8500,41.31,21,30,53.84,28.32,1,87.0,10.1,42.63,116,116,3,0,42.0,@CLE,6.5,200,230.5,112.0,1.3277250838242218,0.8876736912512774,0.0,41.65,31.0,2.95,0.07042278243024663,0.9186303064751341,0.30095238095238097,0.2490722639429536,0.11354347713494724,1.8,0.24079365079365078,2.8,1.0
Nikola Vucevic,C,CHI,8200,36.74,2,30,52.38,30.46,1,89.0,8.0,40.71,133,110,1,0,44.5,@NYK,7.5,230,234.5,113.5,1.337943476510839,0.8022597895463172,0.0,43.6,32.4,2.4,0.054944246721960945,0.9182623195905929,0.3626984126984127,0.09938473923293657,0.45197153721186184,2.8,0.46333333333333326,2.0,1.0
Jaren Jackson Jr.,PF,MEM,8200,33.65,8,30,39.26,21.58,1,87.0,13.7,41.34,68,103,2,0,29.0,@TOR,4.5,154,238.5,117.0,0.987653119868637,0.7438924466338259,0.0,27.0,27.8,1.55,0.05312998712998711,0.8185693760262727,0.2828571428571428,0.18764490968801312,0.2301497991702041,1.6,0.20238095238095238,5.6,0.0
Lauri Markkanen,SF,UTA,8100,44.14,18,30,49.56,19.35,1,87.0,21.7,41.27,50,119,15,0,49.9,@CHA,-1.5,-125,232.5,117.0,1.301725905673274,0.9806751727804359,0.0,49.55,37.4,3.9,0.07651257986896783,1.00535657325131,0.562655971479501,0.2580785296574771,0.14011872988336876,2.2,0.2580952380952381,3.8,0.4
Scottie Barnes,PF,TOR,8100,40.89,13,30,51.58,25.14,1,89.0,3.3,42.21,331,106,6,0,40.6,vs MEM,-4.5,-185,238.5,121.5,1.1340652321534672,0.7923155929038281,0.0,38.4,33.6,3.85,0.08912725238077314,0.8965334012392837,0.2713636363636364,0.15157541804600627,0.14863011502607448,1.8,0.2452380952380952,5.0,0.0
Darius Garland,PG,CLE,8000,0.0,9,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs ATL,-6.5,-245,230.5,118.5,,,,,,,,,,,,,,,
Miles Bridges,PF,CHA,7800,40.13,9,30,43.46,23.51,1,88.0,27.6,42.71,36,128,7,0,36.6,vs UTA,1.5,105,232.5,115.5,1.096152696475277,0.7303314877508426,0.0,36.85,33.4,3.6,0.12034761758384423,0.8094773114127953,0.5238095238095238,0.11257207773336801,0.39049256620524003,1.6,0.11666666666666665,3.4,0.2
Coby White,SG,CHI,7600,0.0,5,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@NYK,7.5,230,234.5,113.5,,,,,,,,,,,,,,,
