Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Bobby Portis,PF/C,MIL,6200,29.38,27,30,47.31,18.48,2,84.0,0.6,26.27,319,70,7,0,30.1,vs WAS,-10.5,-440,227.5,119.0
Tobias Harris,PF,DET,6200,28.4,14,30,37.15,18.66,1,85.0,3.0,28.26,194,72,4,0,28.4,@CHI,-3.5,-155,236.5,120.0
Kel'el Ware,C,MIA,6100,23.1,6,30,35.05,13.57,2,81.0,1.7,23.11,248,55,-2,0,23.0,@ORL,8.5,275,216.5,104.0
Donovan Clingan,C,POR,6100,27.71,1,30,40.69,19.47,1,84.0,5.5,28.76,108,74,1,0,22.1,vs MIN,5.5,170,222.5,108.5
Keyonte George,PG/SG,UTA,6100,31.84,11,30,39.51,21.74,1,86.0,6.4,29.75,96,82,-1,0,31.6,vs LAC,10.5,370,225.5,107.5
Kyle Kuzma,SF/PF,MIL,6100,21.49,11,30,31.0,10.84,2,84.0,1.7,20.5,223,50,1,0,25.7,vs WAS,-10.5,-440,227.5,119.0
Khris Middleton,SF,WAS,6000,29.21,29,30,33.66,15.22,1,87.0,1.7,28.65,275,70,1,0,24.8,@MIL,10.5,340,227.5,108.5
Naz Reid,PF/C,MIN,6000,24.05,24,30,28.35,15.93,2,85.0,1.7,26.66,237,63,3,0,27.9,@POR,-5.5,-205,222.5,114.0
Kelly Oubre Jr.,SG/SF,PHI,6000,24.29,2,30,40.46,22.45,1,86.0,1.7,24.6,268,68,-3,0,29.7,@BOS,4.5,150,229.5,112.5
Jalen Suggs,PG,ORL,6000,24.45,27,30,42.41,16.21,1,83.0,0.8,22.85,269,59,1,0,31.2,vs MIA,-8.5,-345,216.5,112.5
OG Anunoby,SF/PF,NYK,6000,30.98,25,30,41.1,19.74,1,86.0,13.0,29.88,47,85,3,0,32.2,vs CLE,1.5,102,229.5,114.0
Zach Edey,C,MEM,6000,0.0,23,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,24.8,vs NOP,-3.5,-175,236.5,120.0
Bradley Beal,PG/SG,LAC,6000,23.87,30,30,41.68,17.44,1,85.0,1.7,25.32,273,63,6,0,30.0,@UTA,-10.5,-485,225.5,118.0
Dennis Schroder,PG,SAC,6000,26.47,7,30,33.26,16.99,1,84.0,1.1,26.84,260,66,-3,0,26.4,@PHX,3.5,142,228.5,112.5
Toumani Camara,PF,POR,5900,28.68,27,30,38.12,20.63,1,86.0,5.8,27.0,95,75,2,0,26.4,vs MIN,5.5,170,222.5,108.5
Grayson Allen,PG/SG,PHX,5900,26.91,14,30,27.94,8.44,1,83.0,1.7,28.07,245,59,1,0,20.5,vs SAC,-3.5,-170,228.5,116.0
Yves Missi,C,NOP,5900,25.7,16,30,33.83,18.2,1,83.0,5.0,26.45,102,68,3,0,24.9,@MEM,3.5,145,236.5,116.5
Ace Bailey,SG/SF,UTA,5900,15.44,1,30,16.984,0.0,2,0.0,1.1,16.67,145,16,-1,0,0.0,vs LAC,10.5,370,225.5,107.5
