Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Victor Wembanyama,C,SAS,11300,56.46,10,30,62.89,42.86,1,89.0,7.8,55.79,254,158,0,0,54.3,@NOP,-4.5,-175,234.5,119.5,2.2916666666666665,1.3666666666666667,0.0,68.75,30.0,9.75,0.1418181818181818,1.6666666666666667,0.125,0.5666666666666667,0.1364443618879342,3.0,0.1176470588235294,4.0,0.0
Cade Cunningham,PG,DET,10000,53.21,26,30,62.18,43.64,1,89.0,6.1,47.65,267,145,4,0,51.1,@HOU,6.5,205,227.5,110.5,1.4044117647058822,1.0588235294117647,0.0,47.75,34.0,4.5,0.094240837696335,1.2647058823529411,0.2631578947368421,0.3235294117647059,0.1514682033080243,4.0,0.5454545454545454,4.0,1.0
Anthony Davis,PF/C,DAL,9800,49.4,27,30,65.96,28.79,1,90.0,32.6,51.72,50,164,9,0,51.6,vs WAS,-9.5,-455,228.5,119.0,1.4609375,0.71875,0.0,46.75,32.0,1.5,0.0320855614973262,1.28125,0.1428571428571428,0.21875,0.1797665180295637,1.0,0.0,3.0,1.0
Trae Young,PG,ATL,9600,42.17,13,30,58.69,40.87,1,90.0,4.3,43.69,323,126,0,0,48.3,@ORL,5.5,185,235.5,115.0,0.9485294117647058,0.8529411764705882,0.0,32.25,34.0,6.0,0.1860465116279069,0.8823529411764706,0.4545454545454545,0.4705882352941176,0.2546744460810348,4.0,0.4375,3.0,0.0
Alperen Sengun,PF/C,HOU,9400,44.24,22,30,56.21,35.73,1,89.0,9.9,44.33,138,129,7,0,43.5,vs DET,-6.5,-250,227.5,117.0,1.423469387755102,1.020408163265306,0.0,69.75,49.0,7.25,0.1039426523297491,1.0408163265306123,0.2307692307692307,0.3265306122448979,0.1686544504409989,4.0,0.5,5.0,0.0
Zion Williamson,PF,NOP,9300,46.44,21,30,57.1,35.37,1,89.0,22.2,48.68,64,151,-1,0,44.9,vs SAS,4.5,145,234.5,115.0,1.643939393939394,1.0606060606060606,0.0,54.25,33.0,2.25,0.0414746543778801,1.2424242424242424,0.0,0.4848484848484848,0.1447160670613773,2.0,0.3125,4.0,0.0
Kevin Durant,SG/SF,HOU,9200,43.02,29,30,54.79,30.83,1,90.0,10.7,41.97,120,122,5,0,44.4,vs DET,-6.5,-250,227.5,117.0,0.7819148936170213,0.6382978723404256,0.0,36.75,47.0,1.0,0.0272108843537414,0.7446808510638298,0.5,0.2127659574468085,0.0912643814928989,1.0,0.3,3.0,1.0
Donovan Mitchell,PG/SG,CLE,9100,44.7,18,30,63.49,32.76,1,87.0,20.9,45.86,67,139,-2,0,41.6,@BKN,-11.5,-650,230.5,121.0,1.2916666666666667,1.0833333333333333,0.0,46.5,36.0,1.5,0.032258064516129,1.0,0.5833333333333334,0.4444444444444444,0.1596099196698268,3.0,0.125,6.0,0.0
Ja Morant,PG,MEM,8900,44.26,23,30,54.09,33.47,1,88.0,9.9,42.74,127,124,1,0,41.0,vs MIA,-3.5,-155,232.5,118.0,1.5603448275862069,1.3793103448275863,0.0,45.25,29.0,0.0,0.0,1.1724137931034482,0.4444444444444444,0.6551724137931034,0.1009074116960009,4.0,0.3684210526315789,4.0,1.0
Tyler Herro,PG,MIA,8800,0.0,12,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,40.9,@MEM,3.5,130,232.5,114.5,,,,,,,,,,,,,,,
Karl-Anthony Towns,PF/C,NYK,8700,41.33,24,30,47.95,33.89,1,88.0,11.6,43.02,99,124,-2,0,47.7,vs BOS,-4.5,-185,231.5,118.0,1.1209677419354838,0.7741935483870968,0.0,34.75,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
