Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Kyle Lowry,PG,PHI,3200,2.74,26,30,19.22,2.19,2,80.0,2.3,2.58,34,7,8,0,0.0,vs CHA,-4.5,-192,236.5,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Strawther,SG/SF,DEN,3200,5.77,2,30,12.93,2.01,2,72.0,2.0,1.52,32,8,5,0,0.0,vs PHX,-12.5,-800,233.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Green,SF,CHA,3200,0.0,27,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@PHI,4.5,160,236.5,116.0,,,,,,,,,,,,,,,
Olivier-Maxence Prosper,PF,MEM,3200,14.44,7,30,20.07,5.4,2,61.0,2.6,11.0,56,25,3,0,14.6,vs IND,-2.5,-135,240.5,121.5,0.9240196078431372,0.6862745098039216,0.0,14.625,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigel Hayes-Davis,PF,PHX,3200,11.66,15,30,14.95,1.96,2,80.0,2.3,12.92,55,24,0,0,2.5,@DEN,12.5,550,233.5,110.5,0.5059523809523809,0.16666666666666666,0.0,9.25,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ousmane Dieng,PF,OKC,3200,5.0,19,30,11.5,0.0,2,57.99999999999999,1.2,8.1,39,11,1,0,1.3,@ATL,-8.5,-325,237.5,123.0,0.04166666666666665,0.0,0.0,0.625,7.5,0.0,0.0,0.1333333333333333,0.5,0.0,0.0,0.0,0.0,2.5,0.0
KJ Simpson,PG,CHA,3100,0.0,28,30,0.0,0.0,4,0.0,0.6,0.0,0,0,0,0,0.0,@PHI,4.5,160,236.5,116.0,,,,,,,,,,,,,,,
John Konchar,SF,MEM,3100,4.22,7,30,17.96,3.6,2,69.0,1.2,4.16,41,10,0,0,7.5,vs IND,-2.5,-135,240.5,121.5,0.9375,0.375,0.0,7.5,8.0,0.75,0.07317073170731705,0.4375,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Eric Gordon,SG/SF,PHI,3100,4.58,21,30,25.07,3.67,2,79.0,2.3,2.35,43,10,8,0,0.0,vs CHA,-4.5,-192,236.5,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouhamed Gueye,C,ATL,3100,13.86,25,30,27.2,6.73,1,66.0,38.5,28.04,6,56,2,0,15.5,vs OKC,8.5,260,237.5,114.5,0.6833333333333333,0.31666666666666665,0.0,15.5,17.5,1.375,0.5129310344827586,0.5,0.25,0.0333333333333333,0.5,1.0,0.0,3.0,0.5
