Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Isaiah Hartenstein,1.4230769230769231,0.9615384615384616,0.0,37.0,26.0,0.0,0.0,0.6923076923076923,0.0,0.38461538461538464,0.11499411569093788,4,0.5,4.0,1
Isaiah Joe,1.3958333333333333,0.875,0.0,33.5,24.0,7.25,0.21641791044776118,0.5833333333333334,0.75,0.3333333333333333,0.05468179664454101,2,0.375,5.0,0
Jahmir Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Jaime Jaquez Jr.,0.7205882352941176,0.38235294117647056,0.0,24.5,34.0,2.0,0.08163265306122448,0.29411764705882354,0.0,0.11764705882352941,0.06726275048121048,4,0.75,4.0,0
Jase Richardson,1.5,1.0,0.0,3.0,2.0,3.5,1.1666666666666667,1.0,0.0,1.0,1.0,4,1.0,1.0,1
Jaylin Williams,1.4204545454545454,0.5,0.0,31.25,22.0,7.25,0.232,0.5454545454545454,0.8,0.13636363636363635,0.2006018054162486,4,0.6666666666666666,4.0,0
Jericho Sims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Jett Howard,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1
Jimmy Butler III,1.1756756756756757,0.7567567567567568,0.0,43.5,37.0,6.0,0.13793103448275862,0.7837837837837838,0.1,0.40540540540540543,0.22431867436392836,2,0.2,4.0,0
Jonathan Isaac,1.0166666666666666,0.2,0.0,15.25,15.0,0.0,0.0,0.4666666666666667,1.0,0.06666666666666667,0.0,4,1.0,4.0,0
Jonathan Kuminga,1.1911764705882353,0.9705882352941176,0.0,40.5,34.0,2.0,0.04938271604938271,0.6764705882352942,0.5,0.4411764705882353,0.19387645498866274,2,0.2,2.0,1
Jordan McLaughlin,1.3181818181818181,0.7272727272727273,0.0,14.5,11.0,0.0,0.0,0.5454545454545454,0.5,0.18181818181818182,1.0,1,0.0,2.0,0
Julian Champagnie,0.5403225806451613,0.16129032258064516,0.0,16.75,31.0,0.0,0.0,0.25806451612903225,0.8,0.03225806451612903,0.0,1,0.0,4.0,0
Justin Champagnie,0.3125,0.0,0.0,1.25,4.0,0.0,0.0,0.25,1.0,0.0,0.0,0,0.0,2.0,1
Kel'el Ware,0.7976190476190477,0.19047619047619047,0.0,16.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Keldon Johnson,0.7282608695652174,0.5217391304347826,0.0,16.75,23.0,0.0,0.0,0.43478260869565216,0.3333333333333333,0.2608695652173913,0.10083461653003872,1,0.0,4.0,0
Keshad Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Khris Middleton,0.4625,0.5,0.0,9.25,20.0,0.0,0.0,0.6,0.3333333333333333,0.15,0.05730659025787966,1,0.3333333333333333,3.0,1
Kon Knueppel,0.32407407407407407,0.37037037037037035,0.0,8.75,27.0,5.0,0.5714285714285714,0.4074074074074074,0.75,0.07407407407407407,1.0,1,0.5,4.0,1
Kyle Kuzma,0.7361111111111112,0.5,0.0,26.5,36.0,0.0,0.0,0.4444444444444444,0.42857142857142855,0.1388888888888889,0.11190127399099141,3,0.2,2.0,1
Kyshawn George,0.9919354838709677,0.7419354838709677,0.0,30.75,31.0,1.25,0.04065040650406504,0.5806451612903226,0.5,0.16129032258064516,0.21584648274801185,1,0.0,2.0,1
LaMelo Ball,1.3402777777777777,0.9166666666666666,0.0,48.25,36.0,0.0,0.0,0.7222222222222222,0.6666666666666666,0.2222222222222222,0.10718312178147599,2,0.0,4.0,1
Liam McNeeley,1.2678571428571428,0.7142857142857143,0.0,17.75,14.0,5.5,0.30985915492957744,0.5,0.5,0.2857142857142857,0.08152910034088681,4,0.75,3.0,1
Luguentz Dort,0.7884615384615384,0.3076923076923077,0.0,20.5,26.0,0.0,0.0,0.2692307692307692,1.0,0.11538461538461539,0.947867298578201,1,0.0,3.0,1
Mark Sears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Marvin Bagley III,0.921875,0.6875,0.0,14.75,16.0,0.0,0.0,0.5625,0.0,0.25,0.11092251778512753,3,0.0,2.0,0
