LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1477208,Victor Wembanyama,C,SAS,11900,0,0,0,19,30,0,0,4,0,0,0,0,0,0,0,58.1,vs ATL,1373356,-1.5,-115,233.5,117.5,
1477209,Giannis Antetokounmpo,PF,MIL,11800,0,0,0,18,30,0,0,4,0,0,0,0,0,0,0,58.6,vs PHI,739957,2.5,105,223.5,110.5,
1477210,Tyrese Maxey,PG,PHI,10300,53.54,86.25,0,28,30,63.4,38.32,1,88,17.3,47.13,98,153,4,0,54.9,@MIL,1186160,-2.5,-125,223.5,113.0,
1477211,James Harden,PG,LAC,10000,54.13,53.25,0,16,30,64.06,34.1,1,88,27,49.02,62,164,6,0,51,@ORL,395388,5.5,185,218.5,106.5,
1477212,Jalen Johnson,PF,ATL,9800,48.31,54,0,19,30,61.75,26.97,1,87,10.7,44.75,142,124,4,0,47.9,@SAS,1230356,1.5,-105,233.5,116.0,
1477213,De'Aaron Fox,PG,SAS,9300,37.85,51.75,0,14,30,47.3,24.98,1,89,13.8,42.82,86,114,4,0,38.8,vs ATL,957489,-1.5,-115,233.5,117.5,
1477214,Paolo Banchero,PF,ORL,9200,0,0,0,8,30,0,0,4,0,0,0,0,0,0,0,41.7,vs LAC,1323993,-5.5,-225,218.5,112.0,
1477215,Trae Young,PG,ATL,9000,0,0,0,5,30,0,0,4,0,0,0,0,0,0,0,34.1,@SAS,1060978,1.5,-105,233.5,116.0,
1477216,Kawhi Leonard,SF,LAC,8900,0,0,0,10,30,0,0,4,0,0,0,0,0,0,0,43.5,@ORL,512591,5.5,185,218.5,106.5,
1477217,Franz Wagner,SF,ORL,8800,39.05,33.5,0,1,30,46.07,32.81,1,90,12.2,41.3,91,121,0,0,39.5,vs LAC,1178131,-5.5,-225,218.5,112.0,
1477218,Domantas Sabonis,C,SAC,8600,0,0,0,7,30,0,0,4,0,0,0,0,0,0,0,41,@MEM,850111,3.5,130,234.5,115.5,
1477219,Ja Morant,PG,MEM,8200,0,0,0,4,30,0,0,4,0,0,0,0,0,0,0,34.8,vs SAC,1065906,-3.5,-155,234.5,119.0,
1477220,Jaren Jackson Jr.,PF,MEM,8100,0,0,0,10,30,0,0,4,0,0,0,0,0,0,0,29.9,vs SAC,1078662,-3.5,-155,234.5,119.0,
1477221,Russell Westbrook,PG,SAC,7900,37.95,24.75,0,26,30,48.88,18.43,1,85,7.4,37.05,132,93,1,0,35,@MEM,329830,3.5,130,234.5,115.5,
1477222,Stephon Castle,SG,SAS,7900,0,0,0,26,30,0,0,4,0,0,0,0,0,0,0,39.2,vs ATL,1461118,-1.5,-115,233.5,117.5,
1477223,Onyeka Okongwu,C,ATL,7600,30.4,31.75,0,6,30,46.99,23.16,2,87,8.3,29.38,98,84,0,0,33.7,@SAS,1185367,1.5,-105,233.5,116.0,
1477224,Joel Embiid,C,PHI,7600,0,0,0,3,30,0,0,4,0,0,0,0,0,0,0,35.6,@MIL,794508,-2.5,-125,223.5,113.0,
1477225,Desmond Bane,SG,ORL,7500,36.75,33.75,0,17,30,40.55,21.67,1,87,29.9,37.9,29,117,6,0,30.8,vs LAC,944263,-5.5,-225,218.5,112.0,
1477226,Ryan Rollins,PG,MIL,7500,38.77,63.5,0,6,30,43.12,21.13,1,72,31.6,37.55,28,110,7,0,33.8,vs PHI,1232221,2.5,105,223.5,110.5,
1477227,Ivica Zubac,C,LAC,7400,36.62,38.75,0,8,30,42.54,27.21,1,87,8.3,36.78,103,102,1,0,35.7,@ORL,920093,5.5,185,218.5,106.5,
1477228,Dyson Daniels,PG,ATL,7300,31.49,26.5,0,20,30,40.63,20.21,1,86,12.8,32.6,60,88,8,0,29.9,@SAS,1357745,1.5,-105,233.5,116.0,
1477229,DeMar DeRozan,SF,SAC,7300,32.88,12,0,17,30,42.39,21.76,1,88,11.1,31.73,70,90,3,0,30.9,@MEM,457594,3.5,130,234.5,115.5,
1477230,Kyle Kuzma,SF,MIL,6900,26.97,31.25,0,9,30,35.28,8.82,1,84,10,30.21,64,67,10,0,24.1,vs PHI,844476,2.5,105,223.5,110.5,
1477231,Zach LaVine,SG,SAC,6900,28.96,34,0,10,30,41.37,21.16,1,87,7.5,30.68,93,81,0,0,31,@MEM,743777,3.5,130,234.5,115.5,
1477232,Kristaps Porzingis,C,ATL,6900,33.99,28.25,0,13,30,36.82,12.58,1,86,7.3,31.47,97,78,1,0,34.5,@SAS,877869,1.5,-105,233.5,116.0,
1477233,Paul George,SF/PF,PHI,6900,25.03,36.25,0,29,30,40.76,20.96,1,87,2.2,23.93,281,67,3,0,26.3,@MIL,469218,-2.5,-125,223.5,113.0,
1477234,Nickeil Alexander-Walker,SG,ATL,6800,30.17,59.5,0,21,30,37.35,20.59,1,80,5.3,28.04,123,75,8,0,30.6,@SAS,1067668,1.5,-105,233.5,116.0,
1477235,Myles Turner,C,MIL,6700,34.64,31,0,24,30,36.82,19.99,1,86,12,35.75,60,94,8,0,29.5,vs PHI,843762,2.5,105,223.5,110.5,
1477236,Devin Vassell,PG/SF,SAS,6600,30.3,30.75,0,5,30,32.27,16.82,1,86,8.1,32.59,78,80,1,0,25.3,vs ATL,1132051,-1.5,-115,233.5,117.5,
1477237,Bobby Portis,PF/C,MIL,6500,26,31.5,0,9,30,28.6,14.56,1,84,9,30.62,62,71,6,0,19.2,vs PHI,750703,2.5,105,223.5,110.5,
