LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1477626,Nikola Jokic,C,DEN,13200,65.06,67.5,0,3,30,80.16,55.02,1,92,3.9,62.7,704,182,3,0,69.8,@HOU,830650,3.5,130,234.5,115.5,
1477627,Alperen Sengun,C,HOU,9700,46.91,29.25,0,5,30,59.99,43.26,1,89,5.4,48.69,280,138,9,0,51.9,vs DEN,1323508,-3.5,-155,234.5,119.0,
1477628,Josh Giddey,PG,CHI,9500,46.22,46.75,0,16,30,65.84,40.72,1,88,35.4,50.75,44,175,2,0,51.4,vs MIA,1323503,-2.5,-135,250.5,126.5,
1477629,Anthony Davis,PF,DAL,9500,0,0,0,11,30,0,0,4,0,0,0,0,0,0,0,42.9,vs NOP,603096,-3.5,-155,233.5,118.5,
1477630,Devin Booker,PG,PHX,9400,42.48,34.25,0,28,30,53.88,34.49,1,88,7,45.58,191,123,1,0,45.1,vs MIN,845564,4.5,154,230.5,113.0,
1477631,Donovan Mitchell,PG/SG,CLE,9300,45.06,52.25,0,1,30,59.69,33.84,1,86,27.3,46.62,52,149,0,0,48.1,vs IND,879707,-13.5,-900,241.5,127.5,
1477632,Anthony Edwards,SG,MIN,9200,44.2,63.25,0,6,30,53.81,26.38,1,89,6.2,45.04,212,116,-1,0,39.8,@PHX,1175367,-4.5,-185,230.5,117.5,
1477633,Pascal Siakam,PF,IND,9100,39.94,45.25,0,26,30,54.28,31.31,1,88,10.9,43.12,115,119,5,0,44,@CLE,853408,13.5,600,241.5,114.0,
1477634,Jaylen Brown,SF,BOS,9000,43.38,45,0,21,30,51.64,31.96,1,88,9,43.51,139,122,10,0,42.2,vs BKN,883436,-13.5,-900,221.5,117.5,
1477635,Julius Randle,PF,MIN,8600,45.75,29.75,0,1,30,53.42,38.61,1,88,4.1,41.03,294,123,1,0,46.7,@PHX,786412,-4.5,-185,230.5,117.5,
1477636,Scottie Barnes,PF,TOR,8500,42.29,38.75,0,29,30,56.64,32.48,1,89,17.2,43.91,71,131,8,0,43.5,vs WAS,1251666,-14.5,-1000,239.5,127.0,
1477637,Jamal Murray,PG,DEN,8500,41.24,48.5,0,12,30,50.38,31,1,87,12.3,39.46,91,117,2,0,41.6,@HOU,891352,3.5,130,234.5,115.5,
1477638,Zion Williamson,PF,NOP,8500,38.9,34.25,0,22,30,55.7,31.08,1,88,5.2,42.45,224,111,9,0,39.6,@DAL,1132025,3.5,130,233.5,115.0,
1477639,Kevin Durant,SF,HOU,8400,37.93,30.25,0,18,30,46.03,29.19,1,89,13.7,41.38,77,117,10,0,38.6,vs DEN,329525,-3.5,-155,234.5,119.0,
1477640,Tyler Herro,PG/SG,MIA,8300,0,0,0,8,30,0,0,4,0,0,0,0,0,0,0,0,@CHI,1134176,2.5,114,250.5,124.0,
1477641,Michael Porter Jr.,SF,BKN,8100,39.56,47,0,7,30,50.24,22.98,1,88,6.8,40.09,155,103,8,0,41.4,@BOS,1061724,13.5,600,221.5,104.0,
1477642,Bam Adebayo,C,MIA,8000,41.85,40.75,0,29,30,51.97,28.94,1,87,14.8,42.35,74,121,7,0,37.9,@CHI,957486,2.5,114,250.5,124.0,
1477643,Nikola Vucevic,C,CHI,8000,40.87,15,0,20,30,47.98,25.4,1,87,11.5,40.32,90,111,3,0,37.6,vs MIA,457598,-2.5,-135,250.5,126.5,
1477644,Evan Mobley,PF,CLE,7900,41.37,52,0,12,30,49.62,32.32,1,87,29.6,45.01,36,144,1,0,40.7,vs IND,1231862,-13.5,-900,241.5,127.5,
1477645,Jalen Green,SG,PHX,7900,0,0,0,10,30,0,0,4,0,0,0,0,0,0,0,24,vs MIN,1271706,4.5,154,230.5,113.0,
1477646,Amen Thompson,PG,HOU,7900,35.4,36.75,0,14,30,46.52,27.73,1,86,3.3,39.04,290,98,3,0,36,vs DEN,1429337,-3.5,-155,234.5,119.0,
1477647,Derrick White,PG,BOS,7500,40.04,15.25,0,4,30,43.44,25.53,1,89,2.2,37.59,413,100,10,0,35.7,vs BKN,796009,-13.5,-900,221.5,117.5,
1477648,Coby White,SG,CHI,7400,0,0,0,28,30,0,0,4,0,0,0,0,0,0,0,43.9,vs MIA,1138387,-2.5,-135,250.5,126.5,
1477649,Brandon Ingram,SG,TOR,7400,37.16,47,0,18,30,43.51,26.14,1,86,3.3,38.54,267,98,8,0,36.3,vs WAS,887665,-14.5,-1000,239.5,127.0,
1477650,Norman Powell,SG,MIA,7300,35.87,31.5,0,3,30,44.33,24.33,1,87,9.9,36.06,86,99,5,0,37.4,@CHI,609861,2.5,114,250.5,124.0,
1477651,Trey Murphy III,SG,NOP,7200,36.5,37.25,0,9,30,48.67,20.99,1,88,6.4,37.04,138,95,0,0,37.2,@DAL,1134570,3.5,130,233.5,115.0,
1477652,Cam Thomas,PG,BKN,7200,0,0,0,3,30,0,0,4,0,0,0,0,0,0,0,28.3,@BOS,1232020,13.5,600,221.5,104.0,
