LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1466544,Devin Booker,PG,PHX,11600,48.25,0,0,18,30,56.3,32.27,1,89,48.3,44.9,36,176,0,0,47.7,vs LAC,845564,-3.5,-148,224.5,114.0,
1466545,Kawhi Leonard,SF,LAC,11000,0,0,0,6,30,0,0,4,0,0,0,0,0,0,0,43.5,@PHX,512591,3.5,124,224.5,110.5,
1466546,James Harden,PG,LAC,10600,0,0,0,7,30,0,0,4,0,0,0,0,0,0,0,46,@PHX,395388,3.5,124,224.5,110.5,
1466547,Jalen Green,SG,PHX,9400,18.29,0,0,12,30,43.52,13.42,1,86,27.7,22.64,29,65,0,0,0,vs LAC,1271706,-3.5,-148,224.5,114.0,
1466548,Ivica Zubac,C,LAC,8600,38.19,0,0,19,30,44.04,26.71,1,87,66.3,41.46,16,165,4,0,31.5,@PHX,920093,3.5,124,224.5,110.5,
1466549,Mark Williams,C,PHX,8200,38.2,0,0,30,30,44.09,22.38,1,84,68.8,30.67,14,142,3,0,30.7,vs LAC,1230361,-3.5,-148,224.5,114.0,
1466550,Dillon Brooks,SF,PHX,8000,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,34,vs LAC,854601,-3.5,-148,224.5,114.0,
1466551,John Collins,PF/C,LAC,7600,23.53,0,0,10,30,39.94,21.09,2,88,59.7,29.75,12,112,0,0,22.4,@PHX,880468,3.5,124,224.5,110.5,
1466552,Bradley Beal,SG,LAC,7400,28.23,0,0,11,30,32.25,11.5,1,85,24,22.61,26,72,1,0,12.3,@PHX,606912,3.5,124,224.5,110.5,
1466553,Ryan Dunn,PF,PHX,6400,24.17,0,0,6,30,34.31,12.09,1,77,22.9,22.56,23,64,4,0,24.4,vs LAC,1406029,-3.5,-148,224.5,114.0,
1466554,Royce O'Neale,SF/PF,PHX,6200,25.7,0,0,1,30,33.95,11.36,1,83,18.1,22.22,28,64,2,0,28.6,vs LAC,604479,-3.5,-148,224.5,114.0,
1466555,Grayson Allen,SG/SF,PHX,5800,14.47,0,0,7,30,36.68,11.57,2,84,59,28.99,8,80,2,0,32.2,vs LAC,842296,-3.5,-148,224.5,114.0,
1466556,Chris Paul,PG,LAC,5600,12.28,0,0,7,30,31.3,8.51,2,85,9.1,20.38,39,42,-2,0,12.4,@PHX,229598,3.5,124,224.5,110.5,
1466557,Kris Dunn,PG/SG,LAC,5000,23.8,0,0,11,30,24.29,8.96,1,81,36.9,24.5,10,71,3,0,16.5,@PHX,698968,3.5,124,224.5,110.5,
1466558,Brook Lopez,C,LAC,4200,10.66,0,0,29,30,27.32,4.65,2,84,5.2,15.6,43,30,0,0,14.3,@PHX,330047,3.5,124,224.5,110.5,
1466559,Derrick Jones Jr.,PF,LAC,3600,20.31,0,0,27,30,24.13,8.93,1,80,28.4,23.13,9,61,4,0,20,@PHX,892925,3.5,124,224.5,110.5,
1466560,Collin Gillespie,PG,PHX,3400,21.42,0,0,19,30,35.53,16.5,2,75,39.5,22.28,7,73,1,0,28.3,vs LAC,1070352,-3.5,-148,224.5,114.0,
1466561,Oso Ighodaro,C,PHX,2800,9.88,0,0,16,30,19.33,9.76,2,70,2.3,11.7,50,27,-4,0,11.5,vs LAC,1232477,-3.5,-148,224.5,114.0,
1466562,Nick Richards,C,PHX,2600,9.56,0,0,2,30,20.75,5.22,2,78,2.6,4.4,35,18,-1,0,9.5,vs LAC,1067853,-3.5,-148,224.5,114.0,
1466563,Nicolas Batum,SF/PF,LAC,2200,13.86,0,0,27,30,22.51,7.06,1,76,10.6,17.63,11,38,0,0,9.6,@PHX,456451,3.5,124,224.5,110.5,
1466564,Nigel Hayes-Davis,SF/PF,PHX,1800,0,0,0,15,30,0,0,2,0,2.4,2.56,0,0,0,0,5.4,vs LAC,742123,-3.5,-148,224.5,114.0,
1466565,Bogdan Bogdanovic,SG/SF,LAC,1000,18.96,0,0,10,30,26.11,6.01,2,85,53.1,23.13,1,68,4,0,12.5,@PHX,830648,3.5,124,224.5,110.5,
1466566,Cam Christie,SG/SF,LAC,1000,5.37,0,0,10,30,7.76,1.02,2,36,1.8,5.6,9,8,1,0,6,@PHX,1460155,3.5,124,224.5,110.5,
1466567,Yanic Konan Niederhauser,C,LAC,1000,5.98,0,0,29,30,7.18,4.7,2,55.00000000000001,1.2,1.48,7,10,1,0,5.9,@PHX,1405278,3.5,124,224.5,110.5,
1466568,Kobe Brown,SF/PF,LAC,1000,4.46,0,0,6,30,9.3,0,2,41,2.1,4.86,9,7,-1,0,3.6,@PHX,1176611,3.5,124,224.5,110.5,
1466569,Jahmyl Telfort,PF,LAC,1000,0,0,0,6,30,0,0,2,0,0.3,1.93,0,0,0,0,0.6,@PHX,1232447,3.5,124,224.5,110.5,
1466570,Jordan Goodwin,PG/SG,PHX,1000,13.51,0,0,7,30,18.72,3.19,2,72,5.3,14.9,9,29,4,0,12.5,vs LAC,1062104,-3.5,-148,224.5,114.0,
1466571,CJ Huntley,PF/C,PHX,1000,0,0,0,15,30,0,0,2,0,0,0,0,0,0,0,0,vs LAC,1231292,-3.5,-148,224.5,114.0,
1466572,Isaiah Livers,SG,PHX,1000,4.45,0,0,16,30,15.04,1.86,2,71,1.5,3.05,11,8,-2,0,5.1,vs LAC,1067672,-3.5,-148,224.5,114.0,
1466573,Rasheer Fleming,SF/PF,PHX,1000,3.42,0,0,16,30,6.18,1.57,2,13,0.6,0.37,5,3,-3,0,3.9,vs LAC,1405622,-3.5,-148,224.5,114.0,
1466574,Khaman Maluach,C,PHX,1000,3.96,0,0,2,30,7.44,1.56,2,37,1.2,0.43,6,4,-2,0,4.5,vs LAC,1465506,-3.5,-148,224.5,114.0,
1466575,Koby Brea,SG,PHX,1000,3.31,0,0,7,30,5.5,2.65,2,0,0.6,0,4,6,-1,0,5.5,vs LAC,1243633,-3.5,-148,224.5,114.0,
1466576,Jordan Miller,SG,LAC,1000,0,0,0,6,30,0,0,4,0,0,0,0,0,0,0,0,@PHX,1134092,3.5,124,224.5,110.5,
1466577,Kobe Sanders,SF,LAC,1000,0,0,0,10,30,0,0,4,0,0,0,0,0,0,0,4.1,@PHX,1231938,3.5,124,224.5,110.5,
