LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1455496,Nikola Jokic,C,DEN,11500,62.4,60.75,0,26,30,74.2,46.61,1,91,39,59.96,58,224,5,0,66.6,@GSW,830650,1.5,-105,233.5,116.0,
1455497,Shai Gilgeous-Alexander,PG,OKC,10500,51.86,78.5,0,23,30,63.77,40.26,1,92,33,52.91,54,185,3,0,53.1,@IND,1067856,-7.5,-305,231.5,119.5,
1455498,Stephen Curry,PG,GSW,9000,42.86,70,0,30,30,56.52,27.79,1,89,18.7,42.04,68,126,6,0,43.2,vs DEN,338365,-1.5,-115,233.5,117.5,
1455499,Pascal Siakam,PF,IND,8200,41.16,61.25,0,21,30,48.07,31.18,1,88,23.8,39.25,44,130,1,0,37.3,vs OKC,853408,7.5,245,231.5,112.0,
1455500,Jalen Williams,SF,OKC,8000,0,0,0,3,30,0,0,4,0,0,0,0,0,0,0,40,@IND,1182404,-7.5,-305,231.5,119.5,
1455501,Chet Holmgren,PF/C,OKC,7500,36.23,37,0,3,30,40.64,22.58,1,85,26,38.22,33,113,2,0,33.7,@IND,1343009,-7.5,-305,231.5,119.5,
1455502,Jimmy Butler,SF/PF,GSW,7400,42.34,43.25,0,14,30,55.53,28.32,1,85,34.2,37.6,29,134,6,0,36.6,vs DEN,458730,-1.5,-115,233.5,117.5,
1455503,Jamal Murray,PG,DEN,7000,34.79,50.25,0,7,30,50.32,25.77,1,88,42.9,36.74,20,131,4,0,39.3,@GSW,891352,1.5,-105,233.5,116.0,
1455504,Andrew Nembhard,PG/SG,IND,6400,27.41,10.25,0,1,30,32.79,16.15,1,84,20.1,31.02,29,82,-1,0,24.8,vs OKC,1134158,7.5,245,231.5,112.0,
1455505,Isaiah Hartenstein,C,OKC,6200,30.75,24.5,0,3,30,33.81953400000001,14.51,1,86,27.6,33.57,22,94,2,0,31,@IND,1057004,-7.5,-305,231.5,119.5,
1455506,Draymond Green,PF/C,GSW,6100,29.85,37.5,0,24,30,34.93,19.41,1,85,29.4,29.51,20,94,1,0,29,vs DEN,468895,-1.5,-115,233.5,117.5,
1455507,Bennedict Mathurin,SG/SF,IND,6000,30.6,52.25,0,19,30,31.15,4.13,1,80,49.7,31.37,11,89,2,0,25.2,vs OKC,1239596,7.5,245,231.5,112.0,
1455508,Cameron Johnson,SF/PF,DEN,5900,31.25,13.75,0,8,30,42.15,25.85,1,88,28.3,28.41,21,103,6,0,32.6,@GSW,843005,1.5,-105,233.5,116.0,
1455509,Brandin Podziemski,PG/SG,GSW,5900,28.39,18.75,0,6,30,37.5,13.35,1,82,25,28.57,22,80,6,0,25.8,vs DEN,1324108,-1.5,-115,233.5,117.5,
1455510,Jonathan Kuminga,PF,GSW,5800,28.47,24.75,0,14,30,34.08,8.98,1,84,31.9,30.48,17,82,8,0,26,vs DEN,1271708,-1.5,-115,233.5,117.5,
1455511,Aaron Gordon,PF,DEN,5700,28.44,69,0,19,30,41.57,23.93,1,86,19.1,28.04,29,89,1,0,28.1,@GSW,748788,1.5,-105,233.5,116.0,
1455512,Aaron Nesmith,SF/PF,IND,5600,25.42,13.75,0,1,30,31.46,15.66,1,83,24.5,27.31,19,78,-1,0,23,vs OKC,1134264,7.5,245,231.5,112.0,
1455513,Isaiah Jackson,C,IND,5500,25.46,0.25,0,24,30,28.00925925925926,7.02,1,67,14.4,22.92,29,53,0,0,19.4,vs OKC,1245934,7.5,245,231.5,112.0,
1455514,Christian Braun,SG/SF,DEN,5300,26.86,13,0,23,30,39.09,17.75,1,82,22.8,25.92,21,79,0,0,29,@GSW,1174878,1.5,-105,233.5,116.0,
1455515,Obi Toppin,PF,IND,5200,23.53,34.25,0,13,30,28.55,10.79,2,82,14.4,22.77,27,59,1,0,19.7,vs OKC,1076274,7.5,245,231.5,112.0,
1455516,Buddy Hield,SF,GSW,5100,21.02,18.5,0,21,30,34.86,8.2,2,80,7.8,19.99,50,48,2,0,20.7,vs DEN,697086,-1.5,-115,233.5,117.5,
1455517,T.J. McConnell,PG,IND,5000,0,0,0,30,30,0,0,4,0,0,0,0,0,0,0,20.9,vs OKC,551787,7.5,245,231.5,112.0,
1455518,Al Horford,C,GSW,4700,15.79,24.25,0,5,30,31.69,12.63,2,86,5.4,18.33,57,46,1,0,23.3,vs DEN,280587,-1.5,-115,233.5,117.5,
1455519,Jonas Valanciunas,C,DEN,4600,17.3,16.75,0,7,30,27.31,6.01,2,83,4.5,16.9,63,38,1,0,24.7,@GSW,599780,1.5,-105,233.5,116.0,
1455520,Cason Wallace,PG/SG,OKC,4500,0,0,0,19,30,0,0,4,0,0,0,0,0,0,0,19.6,@IND,1408195,-7.5,-305,231.5,119.5,
1455521,Alex Caruso,PG/SF,OKC,4400,0,0,0,3,30,0,0,4,0,0,0,0,0,0,0,19.7,@IND,697644,-7.5,-305,231.5,119.5,
1455522,Luguentz Dort,SG,OKC,4300,24.67,21,0,25,30,27.31,10.82,1,82,47,24.77,7,81,5,0,20.9,@IND,1134693,-7.5,-305,231.5,119.5,
1455523,Aaron Wiggins,SF/PF,OKC,4200,26.64,38.25,0,25,30,29.304000000000002,2.67,1,77,53.2,26.42,7,76,3,0,19.6,@IND,1133788,-7.5,-305,231.5,119.5,
1455524,Tim Hardaway Jr.,SG/SF,DEN,4100,10.45,15.5,0,18,30,31.8,8.36,2,80,9.1,10.11,24,28,6,0,18.3,@GSW,551771,1.5,-105,233.5,116.0,
1455525,Bruce Brown,PG/SG,DEN,4000,14.56,16.75,0,18,30,31.97,8.5,2,83,14.3,14.53,17,39,4,0,18.4,@GSW,941834,1.5,-105,233.5,116.0,
1455526,Moses Moody,SG/SF,GSW,4000,0,0,0,21,30,0,0,4,0,0,0,0,0,0,0,17.2,vs DEN,1231366,-1.5,-115,233.5,117.5,
1455527,Peyton Watson,PF,DEN,3900,12.5,7,0,1,30,17.22,7.34,2,80,3,13.39,56,31,-4,0,17.3,@GSW,1326502,1.5,-105,233.5,116.0,
1455528,Ajay Mitchell,PG,OKC,3800,21.01,37.25,0,5,30,23.111000000000004,1.3,2,71,43.6,20.35,6,52,2,0,11.3,@IND,1340238,-7.5,-305,231.5,119.5,
1455529,Julian Strawther,SG/SF,DEN,3700,7,0,0,18,30,12.93,2.01,2,72,2.8,2.79,30,10,-1,0,14.6,@GSW,1241584,1.5,-105,233.5,116.0,
1455530,Gary Payton II,SG/SF,GSW,3600,11.88,17,0,21,30,21.3,5.64,2,78,11.3,12.35,15,30,-3,0,14,vs DEN,846407,-1.5,-115,233.5,117.5,
1455531,Isaiah Joe,SG/SF,OKC,3500,0,0,0,19,30,0,0,4,0,0,0,0,0,0,0,16.4,@IND,1134010,-7.5,-305,231.5,119.5,
1455532,Jay Huff,C,IND,3400,14.96,13.25,0,4,30,22.97,0,2,66,6.4,16.81,29,28,2,0,12.6,vs OKC,942843,7.5,245,231.5,112.0,
1455533,Trayce Jackson-Davis,C,GSW,3300,3.35,0,0,5,30,16.01,0.34,2,75,0,1.08,0,0,0,0,16,vs DEN,1187569,-1.5,-115,233.5,117.5,
1455534,Ben Sheppard,SG/SF,IND,3200,10.13,36.5,0,24,30,12.82,3.24,2,74,8,12.54,14,24,-1,0,11.4,vs OKC,1175324,7.5,245,231.5,112.0,
1455535,Jaylin Williams,C,OKC,3200,16,10,0,2,30,17.6,1.05,2,75,20.3,17.99,8,37,-2,0,16.3,@IND,1231367,-7.5,-305,231.5,119.5,
1455536,DaRon Holmes II,C,DEN,3200,0,0,0,7,30,0,0,2,0,0,0,0,0,0,0,0,@GSW,1334228,1.5,-105,233.5,116.0,
1455537,Will Richard,PG,GSW,3200,7.27,19.25,0,21,30,10.25,5.82,2,40,8,10.9,11,18,-3,0,0,vs DEN,1323578,-1.5,-115,233.5,117.5,
1455538,Johnny Furphy,SG/SF,IND,3100,8,0,0,24,30,16.92,0,2,52,5.2,10.27,21,15,-2,0,4.8,vs OKC,1475759,7.5,245,231.5,112.0,
1455539,Quinten Post,C,GSW,3100,6.44,0,0,5,30,18.82,0.96,2,70,1.2,10.43,55,15,-1,0,15.1,vs DEN,1193672,-1.5,-115,233.5,117.5,
1455540,Ousmane Dieng,PF,OKC,3100,7,1.25,0,11,30,12.54,0,2,57.99999999999999,2.2,9.59,41,13,-3,0,8,@IND,1375876,-7.5,-305,231.5,119.5,
1455541,Zeke Nnaji,PF/C,DEN,3100,2.19,0,0,1,30,14.56,0.54,2,65,0,0,0,0,-4,0,7.7,@GSW,1193676,1.5,-105,233.5,116.0,
1455542,Jalen Pickett,PG,DEN,3100,3.16,0,0,21,30,24.78,0,2,60,2.8,4.63,36,6,-6,0,9.5,@GSW,1136567,1.5,-105,233.5,116.0,
1455543,Tyrese Haliburton,PG,IND,3000,0,0,0,30,30,0,0,4,0,0,0,0,0,0,0,42.2,vs OKC,1132825,7.5,245,231.5,112.0,
1455544,Taelon Peter,PG/SG,IND,3000,0,6.5,0,24,30,0,0,2,0,0.9,2.05,0,0,0,0,0,vs OKC,1243726,7.5,245,231.5,112.0,
1455545,RayJ Dennis,PG,IND,3000,0,0,0,30,30,0,0,2,0,0,0.71,0,0,0,0,7.7,vs OKC,1194704,7.5,245,231.5,112.0,
1455546,Jarace Walker,PF,IND,3000,6.11,25.5,0,13,30,21.14,0,2,64,17.9,13.04,7,19,0,0,13.2,vs OKC,1402709,7.5,245,231.5,112.0,
1455547,Kam Jones,PG,IND,3000,0,0,0,24,30,0,0,4,0,0,0,0,0,0,0,0,vs OKC,1324173,7.5,245,231.5,112.0,
1455548,Quenton Jackson,PG,IND,3000,0,0,0,24,30,0,0,4,0,0,0,0,0,0,0,12.4,vs OKC,1195699,7.5,245,231.5,112.0,
1455549,James Wiseman,C,IND,3000,4,0,0,4,30,34.29,3.2,2,77,0.9,3.25,62,9,-2,0,7.3,vs OKC,1175120,7.5,245,231.5,112.0,
1455550,Tony Bradley,C,IND,3000,3.32,4,0,4,30,19.14,0,2,51,0.3,4.42,40,6,-4,0,7.9,vs OKC,950065,7.5,245,231.5,112.0,
1455551,De'Anthony Melton,PG/SG,GSW,3000,0,0,0,2,30,0,0,4,0,0,0,0,0,0,0,22.3,vs DEN,946801,-1.5,-115,233.5,117.5,
1455552,Alex Toohey,SF,GSW,3000,0,0,0,18,30,0,0,4,0,0,0,0,0,0,0,0,vs DEN,1427204,-1.5,-115,233.5,117.5,
1455553,Gui Santos,PF,GSW,3000,3.49,0,0,19,30,13.71,0,2,66,1.2,4.12,32,6,-1,0,10.4,vs DEN,1391940,-1.5,-115,233.5,117.5,
1455554,Pat Spencer,PG,GSW,3000,0,0,0,2,30,0,0,2,0,0,0,0,0,0,0,6.8,vs DEN,1176145,-1.5,-115,233.5,117.5,
1455555,Jackson Rowe,PF,GSW,3000,0,0,0,19,30,0,0,4,0,0,0,0,0,0,0,8.5,vs DEN,953401,-1.5,-115,233.5,117.5,
1455556,Branden Carlson,C,OKC,3000,3.54,0,0,2,30,23.57,0,2,60,0.3,2.65,45,5,4,0,8.3,@IND,1177008,-7.5,-305,231.5,119.5,
1455557,Brooks Barnhizer,PF,OKC,3000,8,5.75,0,3,30,8.8,0,2,0,3.1,12.83,29,11,0,0,0,@IND,1324660,-7.5,-305,231.5,119.5,
1455558,Chris Youngblood,PG,OKC,3000,2,3.5,0,19,30,2.2,0,2,0,3.4,7.49,10,5,2,0,0,@IND,1234814,-7.5,-305,231.5,119.5,
