Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
SF/PF,Ziaire Williams (1231313),Ziaire Williams,1231313,SF/PF/UTIL,3900,BKN vs BOS,BKN,18.95,9.45,24.49,100,0,0,0
PG/SG,Keaton Wallace (1063166),Keaton Wallace,1063166,PG/SG/UTIL,3900,ATL vs DET,ATL,10.64,0.88,31.02,100,0,0,0
SF/PF,Jett Howard (1408232),Jett Howard,1408232,SF/PF/UTIL,3900,ORL vs GSW,ORL,5.98,1.19,12.71,100,0,0,0
SG/SF,Wendell Moore Jr. (1174855),Wendell Moore Jr.,1174855,SG/SF/UTIL,3900,DET @ATL,DET,5.84,5.28,19.94,100,0,0,0
PG/SG,Tyrese Martin (1134107),Tyrese Martin,1134107,PG/SG/UTIL,3800,BKN vs BOS,BKN,16.18,8.05,25.83,100,0,0,0
C,Kelly Olynyk (514882),Kelly Olynyk,514882,C/UTIL,3800,SAS vs MEM,SAS,18.35,11.7,31.52,100,0,0,0
C,Goga Bitadze (1172132),Goga Bitadze,1172132,C/UTIL,3800,ORL vs GSW,ORL,16.06,8.58,22.99,100,0,0,0
SG/SF,John Konchar (852907),John Konchar,852907,SG/SF/UTIL,3800,MEM @SAS,MEM,5.44,2.98,16.27,100,0,0,0
C,Day'Ron Sharpe (1243725),Day'Ron Sharpe,1243725,C/UTIL,3700,BKN vs BOS,BKN,17.93,10.69,26.59,100,0,0,0
PF/C,Jonathan Isaac (940823),Jonathan Isaac,940823,PF/C/UTIL,3700,ORL vs GSW,ORL,8.56,2.65,13.85,100,0,0,0
SG/SF,Drake Powell (1542179),Drake Powell,1542179,SG/SF/UTIL,3600,BKN vs BOS,BKN,13.3,6.85,20.58,100,0,0,0
PG,Tyus Jones (842297),Tyus Jones,842297,PG/UTIL,3600,ORL vs GSW,ORL,9.32,1.7,15.12,100,0,0,0
SF/PF,Sam Hauser (922378),Sam Hauser,922378,SF/PF/UTIL,3500,BOS @BKN,BOS,12.12,7.33,21.01,100,0,0,0
PG/SG,Gary Payton II (846407),Gary Payton II,846407,PG/SG/UTIL,3400,GSW @ORL,GSW,12.07,2.93,14.38,100,0,0,0
SG/SF,Baylor Scheierman (1177129),Baylor Scheierman,1177129,SG/SF/UTIL,3400,BOS @BKN,BOS,5.26,0.0,16.74,100,0,0,0
C,Luka Garza (1061057),Luka Garza,1061057,C/UTIL,3300,BOS @BKN,BOS,15.44,4.06,22.75,100,0,0,0
SF/PF,Jalen Wilson (1174884),Jalen Wilson,1174884,SF/PF/UTIL,3100,BKN vs BOS,BKN,7.85,5.06,25.75,100,0,0,0
PF,Asa Newell (1524332),Asa Newell,1524332,PF/UTIL,3100,ATL vs DET,ATL,6.21,0.0,22.99,100,0,0,0
C,Trayce Jackson-Davis (1187569),Trayce Jackson-Davis,1187569,C/UTIL,3000,GSW @ORL,GSW,5.34,2.34,17.97,100,0,0,0
