Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,C,DEN,12000,64.5,9,30,73.42,47.36,1,92.0,14.8,60.15,161,190,0,0,62.7,vs SAC,-11.5,-550,237.5,124.5,1.7130284356656307,0.9986793849598727,0.0,58.8,34.8,0.55,0.00846950151297976,1.0203229143777925,0.42750000000000005,0.1791414236536188,0.32087709512060336,1.8,0.20115384615384616,2.4,1.0
Giannis Antetokounmpo,PF,MIL,11800,68.45,21,30,79.14,57.43,1,91.0,23.0,58.13,106,216,2,0,66.1,@IND,-6.5,-225,235.5,121.0,2.0051094829877725,1.3709917153996103,0.0,64.85,32.6,6.1,0.09445372120484354,1.5233308966861598,0.05576923076923076,0.45257730816941344,0.17440928333017186,3.4,0.38577212261422783,2.8,0.8
Anthony Davis,PF,DAL,10300,0.0,6,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,42.9,@HOU,12.5,490,226.5,107.0,1.3980521616541355,0.8396898496240601,0.0,41.65,30.0,3.0,0.05937437174255132,1.1888815789473683,0.15963203463203463,0.2610432330827067,0.16674981165355246,1.4,0.13615384615384613,3.4,0.6
Cade Cunningham,PG,DET,10000,53.99,21,30,62.34,40.91,1,89.0,12.0,52.32,141,156,9,0,47.8,@MEM,-3.5,-180,235.5,119.5,1.2971920789978868,0.9834009774118668,0.0,46.95,35.8,4.2,0.08475111011759379,0.9681863421427849,0.3902874902874903,0.2894121400473487,0.21617324495763843,3.4,0.3380952380952381,4.4,0.2
Pascal Siakam,PF,IND,9500,44.98,14,30,54.14,33.23,1,88.0,3.8,46.29,364,121,6,0,47.6,vs MIL,6.5,185,235.5,114.5,1.301947331947332,0.9127001495422548,0.0,44.25,33.6,2.0,0.03241615853658536,1.1107699602436445,0.3283446816341553,0.26377211219316476,0.15262130987351086,2.2,0.11153846153846154,3.8,0.0
Ja Morant,PG,MEM,9400,39.24,20,30,48.9,28.1,1,89.0,10.5,40.63,115,113,-4,0,36.2,vs DET,3.5,150,235.5,116.0,0.9909722222222221,0.7852822580645162,0.0,29.95,24.2,0.95,0.01862745098039214,0.7655764635603345,0.3708430458430458,0.241913082437276,0.14648593509086894,1.8,0.08888888888888888,3.2,0.2
Alperen Sengun,C,HOU,9300,51.06,19,30,56.27,37.66,1,89.0,8.3,46.0,172,138,2,0,49.6,vs DAL,-12.5,-675,226.5,119.5,1.3391675617615468,0.8989979557187902,0.0,49.0,36.6,2.65,0.048153842770901914,0.9407722070152339,0.1625174825174825,0.2626688841920469,0.15552172566199335,2.4,0.1907936507936508,4.4,0.2
Anthony Edwards,SG,MIN,9000,0.0,28,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,35.5,@BKN,-10.5,-425,226.5,118.5,1.6474969474969476,1.3106227106227106,0.0,35.5,25.666666666666668,1.0,0.020171890798786632,1.4188034188034189,0.42424242424242425,0.27863247863247864,0.1419871412407739,2.0,0.08683473389355739,1.3333333333333333,1.0
Domantas Sabonis,C,SAC,8900,43.31,11,30,53.34,37.53,1,92.0,0.5,42.44,619,121,-1,0,40.6,@DEN,11.5,410,237.5,113.0,1.1435655514385352,0.6215907958649894,0.0,39.1,34.4,4.6,0.12194882607406758,0.889841356333292,0.29952380952380947,0.11575336280981438,0.14642267275702686,2.8,0.5722222222222222,2.8,0.8
Jalen Brunson,PG,NYK,8800,45.93,12,30,55.83,34.17,1,90.0,10.0,44.16,128,130,-2,0,46.2,vs WAS,-13.5,-675,234.5,124.0,1.409330357142857,1.1564285714285714,0.0,48.45,34.4,4.3,0.0907516891915352,1.0426785714285713,0.39515151515151514,0.3960714285714286,0.14779097069974925,2.4,0.24928571428571425,3.0,1.0
Julius Randle,PF,MIN,8700,39.86,2,30,52.48,30.06,1,89.0,1.6,42.25,586,108,1,0,46.3,@BKN,-10.5,-425,226.5,118.5,1.3691067612942613,1.0625091575091576,0.0,46.7,34.4,2.15,0.04649913560636214,0.9862530525030525,0.3630952380952381,0.33242826617826615,0.16108091687148401,3.2,0.2588675213675214,3.4,0.6
Kevin Durant,SF,HOU,8600,40.85,19,30,52.82,29.15,1,90.0,0.8,41.66,582,108,0,0,40.9,vs DAL,-12.5,-675,226.5,119.5,1.1920766724170981,0.9101820969906076,0.0,40.85,35.2,2.35,0.048381909190380795,0.9797469810235768,0.3227272727272727,0.3472378761740464,0.19567772870905462,2.4,0.19,3.0,0.6
Karl-Anthony Towns,PF,NYK,8500,44.55,28,30,50.94,34.25,1,88.0,26.0,48.67,47,151,7,0,43.0,vs WAS,-13.5,-675,234.5,124.0,1.2588311688311689,0.7051875901875903,0.0,43.2,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
