Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,C,DEN,12000,61.9,17,30,73.86,47.7,1,92.0,19.3,60.79,122,195,2,0,63.6,@POR,-5.5,-238,239.5,122.5,1.752772031068525,1.025376258226868,0.0,59.125,34.25,0.6875,0.0105868768912247,1.0321603997289972,0.484375,0.16987272551296942,0.3632734905654695,1.5,0.1576923076923077,2.5,1.0
Luka Doncic,PG,LAL,11500,54.59,24,30,67.92,42.95,1,91.0,19.6,55.11,104,174,6,0,77.9,@MEM,-1.5,-125,238.5,120.0,2.0211672473867592,1.5278745644599303,0.0,76.375,38.0,8.0,0.1051551583729801,1.4320557491289199,0.5804195804195804,0.5930313588850175,0.25761422943262247,1.5,0.12200435729847489,2.5,1.0
Austin Reaves,SG,LAL,10000,46.32,5,30,58.96,26.85,1,88.0,5.3,41.93,278,114,3,0,60.3,@MEM,-1.5,-125,238.5,120.0,1.5502110764610766,1.2520940170940171,0.0,59.4,38.2,4.35,0.06918862615055091,1.044000924000924,0.42095238095238097,0.43298567798567794,0.1963074664798358,2.4,0.21119769119769122,3.2,1.0
Tyrese Maxey,PG,PHI,9800,48.41,2,30,60.47,27.62,1,88.0,5.9,44.88,255,120,2,0,59.7,vs BOS,1.5,-105,234.5,116.5,1.3822003113648158,1.1101669261373466,0.0,59.3125,43.0,3.75,0.06401298874966935,1.010690809795636,0.3294871794871795,0.37032026095336934,0.1915605947669733,3.0,0.5650048480930834,3.5,0.5
Ja Morant,PG,MEM,9600,41.19,17,30,49.47,30.5,1,88.0,7.2,42.4,177,115,3,0,39.2,vs LAL,1.5,105,238.5,118.5,1.3659444135459151,1.1488276114875116,0.0,39.15,28.2,0.95,0.01862745098039214,1.111202917195687,0.43064102564102563,0.41077747721935703,0.16740402139328828,2.6,0.16257309941520467,3.8,0.4
LeBron James,PF,LAL,9500,0.0,21,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@MEM,-1.5,-125,238.5,120.0,,,,,,,,,,,,,,,
Devin Booker,PG,PHX,9400,47.18,10,30,52.64,30.64,1,89.0,21.7,49.72,65,147,6,0,44.1,vs UTA,-3.5,-155,238.5,121.0,1.200657638157638,1.0964782964782966,0.0,43.8,36.2,3.85,0.08425673084073207,1.022072072072072,0.4219444444444444,0.35892515892515886,0.16558733531289507,2.4,0.21642857142857141,2.8,0.4
Pascal Siakam,PF,IND,9300,47.2,30,30,55.17,32.61,1,88.0,12.6,48.6,111,136,2,0,52.8,vs ATL,2.5,114,232.5,115.0,1.421089467964468,0.9256638631638632,0.0,51.625,36.0,4.875,0.0802691521456271,1.20758127008127,0.2800986842105263,0.3022231147231147,0.13083546248066083,2.0,0.22275641025641024,4.25,0.25
Zion Williamson,PF,NOP,9200,40.98,6,30,58.01,33.46,1,89.0,10.2,41.96,127,121,-4,0,42.1,@LAC,10.5,400,223.5,106.5,1.2460047460047459,0.9010059010059009,0.0,41.583333333333336,32.0,3.8333333333333335,0.09898201161642017,0.9976479976479977,0.0,0.36986286986286987,0.10116183243323719,2.3333333333333335,0.3833333333333333,3.6666666666666665,0.0
Trae Young,PG,ATL,9100,0.0,6,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,34.1,@IND,-2.5,-135,232.5,117.5,1.2441316526610644,1.0168067226890756,0.0,33.5,27.8,4.45,0.12665299296330185,1.0053221288515406,0.3117424242424242,0.37277310924369744,0.20124945402100117,2.6,0.22321428571428567,3.4,0.0
Josh Giddey,PG,CHI,9000,46.5,16,30,63.53,38.16,1,86.0,6.5,42.8,212,126,5,0,43.6,vs NYK,4.5,164,233.5,114.5,1.3623429705143764,1.0088266213300974,0.0,42.5,31.25,3.375,0.08063305709023941,1.090261011814474,0.20707070707070707,0.2360329869889102,0.1663178573626994,2.75,0.373051948051948,4.25,1.0
Donovan Mitchell,SG,CLE,8900,0.0,17,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,40.5,vs TOR,-4.5,-192,236.5,120.5,1.223223615464995,1.1020361247947454,0.0,40.5,33.0,4.1,0.10286147090455729,0.9531680101507687,0.40897435897435896,0.3592363288052943,0.3316097082666143,2.4,0.23205882352941173,4.4,0.0
Evan Mobley,PF,CLE,8700,49.91,7,30,54.89807208729062,28.92,1,88.0,31.4,50.91,43,160,3,0,44.2,vs TOR,-4.5,-192,236.5,120.5,1.3019607843137255,0.7610457516339869,0.0,43.6,33.6,4.6,0.10729481400289116,1.024640522875817,0.42692307692307685,0.20895424836601303,0.29074165942358504,2.6,0.23333333333333334,3.8,0.6
James Harden,PG,LAC,8700,42.36,7,30,60.98,36.83,1,88.0,5.7,42.98,223,121,1,0,42.2,vs NOP,-10.5,-535,223.5,117.0,1.3178626118096968,1.0581086336530983,0.0,41.4375,31.75,0.5,0.0099009900990099,0.8808254472387866,0.5520833333333333,0.33044829206637283,0.13573802003812757,1.0,0.04166666666666665,1.5,1.0
Jaylen Brown,SF,BOS,8600,47.0,14,30,49.52,29.29,1,88.0,7.6,41.46,156,119,4,0,40.8,@PHI,-1.5,-115,234.5,118.0,1.2602132936507937,1.0491269841269841,0.0,40.8,32.4,2.8,0.06619444967271051,1.0246626984126983,0.2803463203463203,0.3167857142857143,0.14429959877572954,2.2,0.29444444444444445,3.4,0.6
Jalen Brunson,PG,NYK,8600,45.67,25,30,55.55,33.2,1,90.0,6.2,42.55,199,123,8,0,47.0,@CHI,-4.5,-198,233.5,119.0,1.3502100840336135,1.1134453781512605,0.0,47.0,34.75,5.0,0.11072761760095454,1.065546218487395,0.4451298701298701,0.43193277310924366,0.16069721770536477,2.75,0.2276785714285714,2.75,1.0
