Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Giannis Antetokounmpo,PF,MIL,12100,0.0,1,30,0.0,0.0,4,0.0,12.2,0.0,0,0,0,0,68.3,vs GSW,7.5,250,228.5,110.5,2.070839978734716,1.4403021442495128,0.0,67.125,32.75,7.0,0.10685638917421587,1.5682261208576997,0.06971153846153845,0.46415913521176677,0.19476300862300266,3.25,0.38606130711393866,2.75,0.75
Victor Wembanyama,C,SAS,11700,60.16,12,30,66.8,45.77,1,89.0,17.1,56.49,126,180,3,0,66.1,vs MIA,-5.5,-238,228.5,117.0,2.002807179659498,1.0988631272401435,0.0,64.5625,32.25,5.6875,0.08505040392110655,1.4930835573476704,0.12082219251336898,0.398163082437276,0.15565172209355735,2.5,0.21542366946778713,4.25,0.25
Shai Gilgeous-Alexander,PG,OKC,10800,56.54,12,30,66.52,39.17,1,92.0,27.5,55.45,70,185,2,0,55.8,vs WAS,-15.5,-1200,231.5,123.5,1.4593618476982382,1.1137066927529142,0.0,55.75,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMelo Ball,PG,CHA,9900,50.88,20,30,59.02,30.79,1,87.0,9.5,49.5,166,134,6,0,56.4,vs ORL,3.5,136,239.5,118.0,1.46218487394958,1.0910364145658262,0.0,46.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,PG,GSW,9000,45.2,22,30,58.29,28.55,1,88.0,9.1,41.64,144,118,3,0,45.6,@MIL,-7.5,-310,228.5,118.0,1.4927311205436207,1.124447043197043,0.0,45.55,30.4,1.7,0.040610606124663495,0.9548338723338723,0.7066666666666668,0.25906598906598904,0.22050336983435415,3.0,0.23214285714285712,3.0,0.6
Paolo Banchero,PF,ORL,8800,44.47,3,30,58.18,33.76,1,89.0,36.1,44.56,36,158,-4,0,42.6,@CHA,-3.5,-162,239.5,121.5,1.1559899749373432,0.79843776106934,0.0,41.65,36.0,4.15,0.0843937797751349,1.1416624895572265,0.29648351648351645,0.34434419381787795,0.19152367877576038,2.8,0.2509523809523809,2.4,0.8
Tyler Herro,PG,MIA,8600,0.0,14,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@SAS,5.5,195,228.5,111.5,,,,,,,,,,,,,,,
Bam Adebayo,PF,MIA,8500,39.37,18,30,51.85,34.8,1,88.0,8.3,41.94,136,118,5,0,37.8,@SAS,5.5,195,228.5,111.5,1.1572520455550641,0.83921752911691,0.0,37.0,32.5,3.4375,0.09677282377919316,1.0168233082706768,0.39365079365079364,0.1892525431225121,0.23281784332564556,2.25,0.25,4.0,0.25
Jalen Williams,SF,OKC,8000,0.0,18,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs WAS,-15.5,-1200,231.5,123.5,,,,,,,,,,,,,,,
Chet Holmgren,PF,OKC,7900,0.0,25,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,44.3,vs WAS,-15.5,-1200,231.5,123.5,1.3254484953703705,0.8435051638176639,0.0,43.1875,34.25,4.6875,0.10663717022023211,1.0028044871794872,0.5041666666666667,0.23991720085470084,0.1645500962855027,2.75,0.32222222222222224,4.0,1.0
