Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Wendell Carter Jr.,C,ORL,5400,28.49,21,30,35.59,17.35,1,84.0,5.4,27.73,92,71,4,0,26.1,@WAS,-8.5,-375,234.5,121.5,0.9488642912362076,0.5532728933867455,0.0,26.35,27.6,2.85,0.10231349739340265,0.7526980111040833,0.2019047619047619,0.11140628294328483,0.2527121690265834,2.2,0.3580952380952381,2.4,0.8
Naz Reid,PF/C,MIN,5300,26.87,25,30,28.83,15.42,2,85.0,14.8,27.37,30,74,6,0,23.8,@CHA,-4.5,-192,235.5,120.0,1.0057411067193676,0.5678641487337139,0.0,23.5,23.0,2.7,0.08651887146229016,0.8753198653198654,0.5888888888888888,0.12790660225442832,0.1415607616498509,1.0,0.05714285714285714,3.4,0.0
Khris Middleton,SF,WAS,5300,23.76,23,30,33.52,13.23,1,87.0,5.7,24.54,76,61,-1,0,23.3,vs ORL,8.5,295,234.5,113.0,0.8553960418984057,0.6032072673340749,0.0,24.4375,27.5,1.9375,0.05624174722509773,0.6923989618094178,0.39166666666666666,0.11731553578049683,0.4333745104785174,2.25,0.4583333333333333,2.25,1.0
Obi Toppin,PF/C,IND,5200,0.0,2,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,26.3,vs GSW,10.5,380,230.5,110.0,0.7359799208144795,0.48484162895927607,0.0,19.75,20.75,2.0,0.07067330650112558,0.6546097285067873,0.525,0.15574095022624432,0.08009631307372815,2.0,0.16964285714285712,3.0,0.0
RayJ Dennis,PG,IND,5200,23.37,11,30,25.85,0.0,2,62.0,8.9,25.17,44,43,2,0,26.1,vs GSW,10.5,380,230.5,110.0,0.7595970695970696,0.5240089540089541,0.0,21.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabari Smith Jr.,PF,HOU,5100,26.67,17,30,34.08,13.39,1,84.0,28.3,28.31,16,81,2,0,29.6,@BOS,-5.5,-198,226.5,116.0,0.83390507518797,0.5009398496240601,0.0,29.625,36.0,1.5625,0.0541228755228464,0.5764724310776942,0.5689484126984127,0.11837406015037591,0.3670214546263951,2.0,0.0,2.75,0.75
Kon Knueppel,SG/SF,CHA,5100,24.61,30,30,32.26,13.34,1,64.0,6.0,22.18,67,52,2,0,22.8,vs MIN,4.5,160,235.5,115.5,0.737175925925926,0.6048148148148148,0.0,20.0,27.25,1.25,0.06761177753544165,0.547037037037037,0.7410714285714286,0.03685185185185182,0.25,1.75,0.375,4.0,0.5
Neemias Queta,C,BOS,5000,24.36,3,30,26.73,6.58,1,63.0,10.3,23.76,36,49,4,0,25.3,vs HOU,5.5,164,226.5,110.5,1.0675653294074345,0.39319101950680896,0.0,24.85,23.0,1.8,0.08919092401851018,0.7842473316157527,0.05,0.08881118881118878,0.4335257045502585,1.6,0.13333333333333333,3.8,0.8
T.J. McConnell,PG,IND,5000,0.0,11,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,10.5,380,230.5,110.0,,,,,,,,,,,,,,,
Ben Sheppard,PG/SG,IND,5000,15.97,11,30,20.48,3.7,2,73.0,0.6,18.2,137,33,0,0,20.9,vs GSW,10.5,380,230.5,110.0,0.6957470159151194,0.35841865605658707,0.0,20.9,29.8,1.4,0.08361498731424426,0.60272391688771,0.635,0.0664679487179487,0.054139681160519856,1.6,0.26666666666666666,5.2,0.2
Anthony Black,PG/SG,ORL,4900,26.54,28,30,32.9,13.19,2,76.0,21.0,23.24,19,67,5,0,22.5,@WAS,-8.5,-375,234.5,121.5,0.8485407066052227,0.6962903225806452,0.0,23.5,27.2,2.85,0.12046310586037048,0.764915514592934,0.5083333333333333,0.19604454685099842,0.13264908514901125,2.2,0.07333333333333332,4.6,0.0
Al Horford,PF/C,GSW,4900,16.84,9,30,28.08,13.89,2,86.0,1.7,17.9,154,46,3,0,14.3,@IND,-10.5,-500,230.5,120.5,0.6133672003284072,0.36976600985221675,0.0,14.25,22.5,0.5,0.041241496598639425,0.5397372742200328,0.6458333333333333,0.0205254515599343,0.0,1.5,0.25,4.5,0.0
Josh Minott,PF,BOS,4800,24.27,13,30,26.69317037037037,0.0,1,43.0,9.2,24.2,39,38,7,0,23.4,vs HOU,5.5,164,226.5,110.5,0.8932359307359308,0.38961038961038963,0.0,21.55,19.4,2.25,0.08810453350330649,0.5906926406926407,0.5599999999999999,0.10887445887445886,0.5300549084577122,1.6,0.2,3.4,0.4
Ryan Kalkbrenner,C,CHA,4600,23.72,1,30,32.36,17.84,1,70.0,21.9,24.95,17,69,0,0,25.1,vs MIN,4.5,160,235.5,115.5,0.9767400241820605,0.5296302040253653,0.0,28.1875,29.0,3.1875,0.1149965305608574,0.635458310357504,0.0,0.074674317617866,0.34478504602404464,1.25,0.125,3.25,0.75
Tre Johnson,PG/SG,WAS,4600,20.04,1,30,29.62,17.88,2,71.0,5.5,22.31,60,54,-1,0,23.4,vs ORL,8.5,295,234.5,113.0,0.8568376068376069,0.6396011396011396,0.0,22.4375,26.25,0.375,0.0234375,0.6296296296296295,0.5803571428571428,0.12357549857549853,0.3546085964432794,1.25,0.125,3.75,0.0
Sam Hauser,SF/PF,BOS,4600,15.51,29,30,24.05,4.7,2,78.0,1.7,18.18,133,35,-2,0,20.2,vs HOU,5.5,164,226.5,110.5,0.9030677655677655,0.5625457875457875,0.0,21.95,24.6,2.45,0.12019064317390363,0.5749084249084249,0.8699999999999999,0.009523809523809521,0.0,0.2,0.0,5.4,0.2
Tari Eason,SF/PF,HOU,4500,21.14,2,30,30.32,12.93,2,86.0,15.3,24.07,22,62,1,0,23.7,@BOS,-5.5,-198,226.5,116.0,0.9562156593406594,0.6516608391608392,0.0,23.6875,24.75,1.6875,0.06629728966685486,0.6478928680015636,0.4583333333333333,0.0997969421882465,0.2963541146935493,1.0,0.125,4.5,0.0
Isaiah Jackson,C,IND,4500,16.29,26,30,21.75,5.47,1,66.0,2.0,19.42,129,35,3,0,11.2,vs GSW,10.5,380,230.5,110.0,0.6684301346801347,0.47845117845117846,0.0,11.2,14.6,0.65,0.02524271844660194,0.7741919191919192,0.0,0.11781144781144777,0.0521904335485354,1.4,0.1,3.2,1.0
Buddy Hield,SG/SF,GSW,4500,14.52,15,30,34.47,8.21,2,80.0,2.3,13.89,123,34,4,0,12.8,@IND,-10.5,-500,230.5,120.5,0.6588761011651036,0.4336345552713839,0.0,11.0,16.0,1.1,0.08979591836734693,0.5072321682296107,0.8047619047619048,0.07666950838306334,0.4,1.8,0.2,3.4,0.0
Mike Conley,PG,MIN,4400,21.31,13,30,25.59,7.63,1,86.0,16.2,22.52,19,56,2,0,15.9,@CHA,-4.5,-192,235.5,120.0,0.6991611721611722,0.4461831501831502,0.0,15.9,20.2,0.55,0.03606004901960784,0.582017094017094,0.44000000000000006,0.06246153846153846,0.0784894776163424,1.0,0.2,2.8,0.4
Grant Williams,PF/C,CHA,4400,0.0,25,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs MIN,4.5,160,235.5,115.5,,,,,,,,,,,,,,,
Bub Carrington,PG,WAS,4400,16.48,22,30,39.92,13.18,2,84.0,3.8,19.89,88,47,0,0,19.3,vs ORL,8.5,295,234.5,113.0,0.6541943764039952,0.4274618303656416,0.0,19.4375,28.75,1.75,0.0901075268817204,0.5485052606195981,0.3875,0.1047459799728402,0.5544228211331523,2.0,0.1875,3.25,0.75
Steven Adams,C,HOU,4300,19.89,18,30,27.71,11.13,2,75.0,2.6,18.58,110,45,2,0,26.4,@BOS,-5.5,-198,226.5,116.0,1.1314695945945945,0.46881756756756754,0.0,25.6875,24.5,1.6875,0.0503731343283582,0.8323986486486488,0.0,0.20527027027027026,0.20252164577038848,1.75,0.05,4.75,0.25
Reed Sheppard,PG/SG,HOU,4200,17.16,4,30,27.43,3.72,2,66.0,8.7,20.3,31,37,1,0,22.9,@BOS,-5.5,-198,226.5,116.0,1.0214781746031747,0.6679563492063492,0.0,22.9375,22.5,1.5,0.04052250190694125,0.770436507936508,0.570138888888889,0.1117063492063492,0.2723392537390421,2.75,0.375,4.75,0.0
Tre Mann,PG/SG,CHA,4200,16.93,3,30,31.12,9.32,2,73.0,2.3,18.63,122,40,-1,0,15.4,vs MIN,4.5,160,235.5,115.5,0.8344982563732564,0.6603911135161136,0.0,18.0625,21.5,1.6875,0.100534656236585,0.797100468975469,0.5362179487179487,0.12221921596921594,0.2728854754144776,2.5,0.35416666666666663,4.0,0.0
Moritz Wagner,C,ORL,4200,0.0,26,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@WAS,-8.5,-375,234.5,121.5,,,,,,,,,,,,,,,
Tony Bradley,PF/C,IND,4200,12.36,2,30,12.4,0.75,2,55.00000000000001,2.3,7.34,59,16,1,0,11.5,vs GSW,10.5,380,230.5,110.0,0.9549450549450551,0.5031208791208791,0.0,11.5,12.0,2.4,0.1844736842105263,0.7737582417582418,0.05,0.14391208791208793,0.6,1.8,0.4,3.0,0.6
Moussa Diabate,C,CHA,4100,17.81,3,30,26.56,9.41,2,75.0,3.2,20.18,83,43,-1,0,21.2,vs MIN,4.5,160,235.5,115.5,0.9536230281586318,0.5227277753206546,0.0,18.6875,19.25,1.1875,0.09729166666666665,0.756796402771635,0.0,0.14084660179861413,0.6297943638709795,2.75,0.25,4.5,0.0
Luka Garza,C,BOS,4100,14.78,7,30,15.26,0.0,2,43.0,2.3,13.91,78,21,4,0,14.9,vs HOU,5.5,164,226.5,110.5,0.9539245951417005,0.6010121457489878,0.0,14.85,13.8,1.3,0.054776674937965245,0.7892813765182186,0.5666666666666667,0.13332321187584342,0.02528107439920116,1.4,0.13,3.8,0.0
Moses Moody,SG/SF,GSW,4100,15.67,15,30,26.03,2.47,2,75.0,3.5,15.07,67,30,3,0,16.6,@IND,-10.5,-500,230.5,120.5,0.8400432900432901,0.5162337662337662,0.0,16.625,18.75,1.3125,0.06490788511336452,0.7172077922077923,0.6666666666666666,0.09307359307359306,0.05075422689784985,1.75,0.25,3.5,0.0
Terrence Shannon Jr.,SG/SF,MIN,4000,12.71,23,30,15.63,0.19,2,56.99999999999999,2.3,13.03,72,21,10,0,11.7,@CHA,-4.5,-192,235.5,120.0,0.6184519230769231,0.3472692307692308,0.0,11.65,17.8,1.75,0.10088125466766244,0.5338076923076923,0.38,0.084,0.0343630555208584,1.6,0.12,3.6,0.0
