Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Adou Thiero,SF,LAL,3200,0.0,18,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,2.5,120,227.5,112.5
Nikola Topic,PG,OKC,3200,0.0,12,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,-6.5,-245,225.5,116.0
Ousmane Dieng,PF/C,OKC,3100,3.0,18,30,12.54,0.0,2,57.99999999999999,3.1,4.18,20,6,-3,0,8.0,vs HOU,-6.5,-245,225.5,116.0
Bronny James,PG/SG,LAL,3100,2.0,17,30,15.49,0.0,2,62.0,0.6,1.43,29,3,0,0,4.8,vs GSW,2.5,120,227.5,112.5
Gui Santos,SF,GSW,3100,3.95,10,30,14.12,0.0,2,66.0,4.7,6.55,16,9,-1,0,10.4,@LAL,-2.5,-142,227.5,115.0
Fred VanVleet,PG,HOU,3000,0.0,30,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,31.9,@OKC,6.5,200,225.5,109.5
Zack Austin,SF,OKC,3000,0.0,25,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,-6.5,-245,225.5,116.0
Brooks Barnhizer,PF,OKC,3000,4.0,18,30,4.4,0.0,2,0.0,0.6,5.37,21,5,-1,0,0.0,vs HOU,-6.5,-245,225.5,116.0
Marques Bolden,C,GSW,3000,0.0,15,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@LAL,-2.5,-142,227.5,115.0
Branden Carlson,C,OKC,3000,0.0,3,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,8.3,vs HOU,-6.5,-245,225.5,116.0
Isaiah Crawford,SF,HOU,3000,0.0,22,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,2.0,@OKC,6.5,200,225.5,109.5
L.J. Cryer,PG,GSW,3000,0.0,20,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@LAL,-2.5,-142,227.5,115.0
RJ Davis,PG,LAL,3000,0.0,17,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,2.5,120,227.5,112.5
Jazian Gortman,PG,OKC,3000,0.0,12,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,2.8,vs HOU,-6.5,-245,225.5,116.0
Kevon Harris,SG,HOU,3000,0.0,23,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@OKC,6.5,200,225.5,109.5
Taevion Kinsey,SG,GSW,3000,0.0,8,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@LAL,-2.5,-142,227.5,115.0
Christian Koloko,C,LAL,3000,3.49,5,30,14.98,0.61,2,50.0,0.0,0.0,0,0,1,0,7.3,vs GSW,2.5,120,227.5,112.5
Malevy Leons,PF,OKC,3000,0.0,18,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,1.1,vs HOU,-6.5,-245,225.5,116.0
Chris Manon,SG/SF,LAL,3000,0.0,3,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,2.5,120,227.5,112.5
Augustas Marciulionis,SG,LAL,3000,0.0,3,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,2.5,120,227.5,112.5
Cameron Matthews,SF,HOU,3000,0.0,22,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@OKC,6.5,200,225.5,109.5
De'Anthony Melton,PG,GSW,3000,0.0,20,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,22.3,@LAL,-2.5,-142,227.5,115.0
Will Richard,PG,GSW,3000,5.0,20,30,5.5,0.0,2,0.0,1.9,3.82,22,4,0,0,0.0,@LAL,-2.5,-142,227.5,115.0
Jackson Rowe,SF/PF,GSW,3000,0.0,10,30,0.0,0.0,4,0.0,0.3,0.83,0,0,0,0,8.5,@LAL,-2.5,-142,227.5,115.0
Thomas Sorber,C,OKC,3000,0.0,3,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,-6.5,-245,225.5,116.0
Pat Spencer,PG,GSW,3000,2.34,20,30,12.93,0.23,2,42.0,0.3,1.68,25,3,2,0,6.8,@LAL,-2.5,-142,227.5,115.0
Alex Toohey,SF,GSW,3000,0.0,10,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@LAL,-2.5,-142,227.5,115.0
Anton Watson,SF,LAL,3000,0.0,18,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,1.8,vs GSW,2.5,120,227.5,112.5
Nate Williams,SG/SF,LAL,3000,0.0,3,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,5.0,vs GSW,2.5,120,227.5,112.5
Chris Youngblood,SG,OKC,3000,0.0,5,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,-6.5,-245,225.5,116.0
