Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Giannis Antetokounmpo,PF,MIL,11800,65.93,27,30,79.27,54.95,1,91.0,12.2,61.09,200,195,1,0,70.5,vs NYK,2.5,120,230.5,114.0,2.139907850434166,1.4355543741508654,0.0,69.0,32.666666666666664,8.166666666666666,0.12350499586372417,1.6364227065981451,0.051282051282051266,0.487565715635891,0.21573405457411554,3.0,0.3609022556390977,3.0,0.6666666666666666
Shai Gilgeous-Alexander,PG,OKC,10900,52.58,15,30,66.48,39.15,1,92.0,9.0,54.85,211,153,2,0,55.6,vs SAC,-8.5,-395,227.5,118.0,1.4335773096227975,1.1421333659411428,0.0,55.625,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domantas Sabonis,C,SAC,9300,41.18,11,30,53.68,31.38,1,92.0,13.1,41.34,97,124,1,0,34.0,@OKC,8.5,310,227.5,109.5,0.976460331299041,0.44463818657367044,0.0,32.5,34.0,4.5,0.1478787878787878,0.7436791630340018,0.225,0.07802964254577155,0.07147713082998025,4.0,0.875,3.5,0.5
Stephen Curry,PG,GSW,9100,40.38,13,30,59.11,29.36,1,88.0,14.3,42.54,90,121,1,0,54.4,vs LAC,1.5,100,224.5,111.5,1.5053369776026027,1.12671265015015,0.0,47.5625,31.5,1.25,0.027429924322496052,0.9820038788788789,0.6958333333333333,0.2469094094094094,0.24667316774052092,3.0,0.2589285714285714,2.75,0.75
Karl-Anthony Towns,PF/C,NYK,8600,40.85,18,30,49.63,34.44,1,88.0,38.3,43.42,30,154,0,0,45.2,@MIL,-2.5,-142,230.5,116.5,1.3071575974801781,0.7866840447485609,0.0,43.666666666666664,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Harden,PG,LAC,8500,49.77,16,30,61.07,36.5,1,88.0,35.7,44.97,37,167,9,0,46.4,@GSW,-1.5,-120,224.5,113.0,1.449858482412929,1.1608115115374644,0.0,45.416666666666664,31.666666666666668,0.6666666666666666,0.0132013201320132,0.8827672629850488,0.5694444444444444,0.30518105608849705,0.14241763091940227,1.0,0.05555555555555553,1.3333333333333333,1.0
Jalen Brunson,PG,NYK,8100,45.16,20,30,56.3,33.33,1,90.0,37.9,44.31,31,161,5,0,46.3,@MIL,-2.5,-142,230.5,116.5,1.3336134453781512,1.0941176470588234,0.0,46.333333333333336,34.666666666666664,4.25,0.09831709557678293,1.0588235294117647,0.47229437229437227,0.4425770308123249,0.17153760171796054,3.3333333333333335,0.2797619047619047,2.6666666666666665,1.0
Jalen Williams,SF,OKC,8000,0.0,1,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs SAC,-8.5,-395,227.5,118.0,,,,,,,,,,,,,,,
Chet Holmgren,PF/C,OKC,7900,0.0,8,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,43.8,vs SAC,-8.5,-395,227.5,118.0,1.3254484953703705,0.8435051638176639,0.0,43.1875,34.25,4.6875,0.10663717022023211,1.0028044871794872,0.5041666666666667,0.23991720085470084,0.1645500962855027,2.75,0.32222222222222224,4.0,1.0
Jimmy Butler,SG,GSW,7800,40.08,3,30,53.39,25.36,1,85.0,17.7,35.5,57,110,4,0,37.9,vs LAC,1.5,100,224.5,111.5,,,,,,,,,,,,,,,
Kawhi Leonard,SF/PF,LAC,7600,40.05,6,30,54.13,35.24,1,91.0,46.5,40.66,22,162,11,0,40.3,@GSW,-1.5,-120,224.5,113.0,1.2036199432751156,0.8472110265213714,0.0,39.75,32.333333333333336,4.75,0.09464596863614765,0.9142061004129971,0.34949494949494947,0.2612728267900681,0.16747217639310277,3.3333333333333335,0.1388888888888889,2.6666666666666665,1.0
DeMar DeRozan,SF/PF,SAC,7600,37.67,24,30,49.17,27.45,1,89.0,10.5,33.81,87,103,8,0,38.3,@OKC,8.5,310,227.5,109.5,1.0097972972972973,0.6858108108108109,0.0,38.25,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach LaVine,SG/SF,SAC,7400,39.18,1,30,45.65,24.16,1,87.0,14.6,33.24,60,103,4,0,36.8,@OKC,8.5,310,227.5,109.5,0.9873230373230374,0.894916344916345,0.0,36.833333333333336,37.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
