Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4960303879,RubioDimes (138/150),0,365.25,C Santi Aldama F Keldon Johnson G Ryan Rollins PF Tristan da Silva PG Jalen Suggs SF Vince Williams Jr. SG Cole Anthony UTIL Tyrese Maxey,,Santi Aldama,PF,65.09%,45.75
2,4961107181,shipitplz (23/35),0,363.75,C Wendell Carter Jr. F Santi Aldama G Tyrese Maxey PF Keldon Johnson PG Jalen Suggs SF Vince Williams Jr. SG Jaylen Wells UTIL Ryan Rollins,,Vince Williams Jr.,F,64.99%,35.25
3,4960435116,hoagies69 (1/7),0,363,C Santi Aldama F Keldon Johnson G Ryan Rollins PF Harrison Barnes PG Jalen Suggs SF Vince Williams Jr. SG Cam Spencer UTIL Tyrese Maxey,,James Harden,PG,36.79%,53.25
4,4960411256,skijmb (77/150),0,357.75,C Jock Landale F Bobby Portis G Ryan Rollins PF Santi Aldama PG Jalen Suggs SF Vince Williams Jr. SG Jaylen Wells UTIL Tyrese Maxey,,Jalen Suggs,G,36.20%,46.25
5,4960267945,kszng (147/150),0,355.25,C Jock Landale F Vince Williams Jr. G Ryan Rollins PF Keldon Johnson PG Jalen Suggs SF Luke Kennard SG Desmond Bane UTIL Tyrese Maxey,,Cedric Coward,SF,34.99%,31.5
6,4960411231,skijmb (52/150),0,354.5,C Santi Aldama F Jeremy Sochan G Ryan Rollins PF Bobby Portis PG Jalen Suggs SF Vince Williams Jr. SG Jaylen Wells UTIL Tyrese Maxey,,Wendell Carter Jr.,C,31.04%,27.25
7,4960800442,RMoorah (4/4),0,354,C Zach Edey F Julian Champagnie G Ryan Rollins PF Santi Aldama PG Tyrese Maxey SF Tristan da Silva SG Jaylen Wells UTIL Jalen Suggs,,Andre Drummond,C,28.48%,18
8,4960626451,fjbourne (17/20),0,352,C Myles Turner F Vince Williams Jr. G Ryan Rollins PF Bobby Portis PG Jalen Suggs SF Keldon Johnson SG Nickeil Alexander-Walker UTIL Santi Aldama,,VJ Edgecombe,UTIL,27.32%,31
8,4960657236,wwilder73 (10/20),0,352,C Drew Eubanks F Jeremy Sochan G Ryan Rollins PF Santi Aldama PG Jalen Suggs SF Vince Williams Jr. SG VJ Edgecombe UTIL Tyrese Maxey,,Ryan Rollins,PG,26.94%,63.5
10,4960267829,kszng (31/150),0,351.5,C Ivica Zubac F Vince Williams Jr. G Ryan Rollins PF Keldon Johnson PG Jalen Suggs SF Luke Kennard SG Jaylen Wells UTIL Tyrese Maxey,,Desmond Bane,G,25.98%,33.75
10,4960967727,goudsaab (106/150),0,351.5,C Kelly Olynyk F Cedric Coward G Tyrese Maxey PF Santi Aldama PG Jalen Suggs SF Vince Williams Jr. SG Anthony Black UTIL Ryan Rollins,,Zach Edey,C,24.74%,25.5
12,4960267872,kszng (74/150),0,351.25,C Wendell Carter Jr. F Cedric Coward G Ryan Rollins PF Vince Williams Jr. PG Jalen Suggs SF Keldon Johnson SG Luke Kennard UTIL Tyrese Maxey,,Bogdan Bogdanovic,UTIL,22.81%,12.25
12,4961001581,squirrelpatroldk (65/150),0,351.25,C Maxime Raynaud F Santi Aldama G Tyrese Maxey PF Vince Williams Jr. PG Ryan Rollins SF Keldon Johnson SG VJ Edgecombe UTIL Myles Turner,,Jalen Johnson,F,22.77%,54
14,4960258406,ugotcisco (2/2),0,347.75,C Zach Edey F Tristan da Silva G Anthony Black PF Santi Aldama PG Tyrese Maxey SF Keldon Johnson SG VJ Edgecombe UTIL Nickeil Alexander-Walker,,Keldon Johnson,F,22.42%,39.25
15,4960626443,fjbourne (9/20),0,346,C Myles Turner F Vince Williams Jr. G Ryan Rollins PF Santi Aldama PG Jalen Suggs SF Keldon Johnson SG Nickeil Alexander-Walker UTIL Zach Edey,,Kobe Sanders,SG,20.93%,10.5
16,4960239265,JBCJBCJBC (83/150),0,345.25,C Kelly Olynyk F Santi Aldama G Tyrese Maxey PF Vince Williams Jr. PG Ryan Rollins SF Keldon Johnson SG Desmond Bane UTIL Jock Landale,,Cam Spencer,SG,20.34%,21
17,4960659370,jdeegs99 (36/150),0,345,C Ivica Zubac F Keldon Johnson G Ryan Rollins PF Jeremy Sochan PG Tyrese Maxey SF Vince Williams Jr. SG Kobe Sanders UTIL Santi Aldama,,Myles Turner,C,19.98%,31
18,4960383977,rsbathla (132/150),0,344.75,C Zach Edey F Santi Aldama G Tyrese Maxey PF Tristan da Silva PG Jalen Suggs SF Vince Williams Jr. SG Bogdan Bogdanovic UTIL Ryan Rollins,,Bobby Portis,C,16.27%,31.5
18,4960411208,skijmb (29/150),0,344.75,C Zach Edey F Santi Aldama G Ryan Rollins PF Vince Williams Jr. PG Jalen Suggs SF Tristan da Silva SG Bogdan Bogdanovic UTIL Tyrese Maxey,,Russell Westbrook,UTIL,15.21%,24.75
