Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4931333729,hixx (121/150),0,336.25,C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey,,Jusuf Nurkic,C,79.88%,20.75
1,4933912027,Naten (16/20),0,336.25,C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey,,Cam Spencer,SG,58.57%,18.5
3,4933760624,sullybrochill (22/150),0,335,C Jusuf Nurkic F Kelly Oubre Jr. G Josh Giddey PF Scottie Barnes PG Quentin Grimes SF Cedric Coward SG Collin Sexton UTIL Nic Claxton,,Tre Mann,SG,41.80%,19.5
4,4932338172,lozingitall (107/150),0,334,C Jusuf Nurkic F Kon Knueppel G Quentin Grimes PF Scottie Barnes PG Collin Sexton SF Brandon Ingram SG Tre Mann UTIL Josh Giddey,,Victor Wembanyama,C,39.21%,30.75
5,4931828630,westonselman (85/150),0,333,C Jusuf Nurkic F Scottie Barnes G Josh Giddey PF Taylor Hendricks PG Jalen Brunson SF Kon Knueppel SG Collin Sexton UTIL Nic Claxton,,Collin Sexton,PG,34.11%,32
6,4933250068,kszng (26/150),0,332.75,C Nic Claxton F Ryan Dunn G Cam Spencer PF Jalen Johnson PG Josh Giddey SF Kon Knueppel SG Stephon Castle UTIL Brandon Ingram,,Tyrese Maxey,PG,33.22%,47.5
7,4934120262,mbelman967 (147/150),0,329.25,C Jusuf Nurkic F Brandon Ingram G Keyonte George PF Scottie Barnes PG Quentin Grimes SF Kelly Oubre Jr. SG Collin Sexton UTIL Kon Knueppel,,Miles Bridges,PF,33.17%,44.5
8,4931202040,relicck (148/150),0,328.75,C Moussa Diabate F Jaren Jackson Jr. G Josh Giddey PF Scottie Barnes PG Quentin Grimes SF Brandon Ingram SG Cam Spencer UTIL Jusuf Nurkic,,Kelly Oubre Jr.,F,24.02%,37.25
9,4933250097,kszng (55/150),0,328.5,C Jalen Smith F Cedric Coward G Kon Knueppel PF Michael Porter Jr. PG Josh Giddey SF Lauri Markkanen SG Stephon Castle UTIL Nic Claxton,,Keyonte George,G,22.94%,40.5
10,4932516474,skijmb (11/150),0,327,C Jusuf Nurkic F Scottie Barnes G Stephon Castle PF Michael Porter Jr. PG Quentin Grimes SF Cedric Coward SG Cam Thomas UTIL Nic Claxton,,Lauri Markkanen,SF,22.60%,43.75
10,4934138224,mhankin (79/95),0,327,C Nic Claxton F Karl-Anthony Towns G Quentin Grimes PF Collin Murray-Boyles PG Tyrese Maxey SF Kelly Oubre Jr. SG Dyson Daniels UTIL Cam Spencer,,Brandon Ingram,F,18.38%,41.25
12,4931525200,bpcologna (141/150),0,325.5,C Jusuf Nurkic F Karl-Anthony Towns G Josh Giddey PF Collin Murray-Boyles PG Tyrese Maxey SF Kon Knueppel SG Cam Spencer UTIL Nic Claxton,,Josh Giddey,UTIL,18.36%,63
13,4930991974,invertedcheese (150/150),0,325.25,C Jusuf Nurkic F Jalen Johnson G Josh Giddey PF Scottie Barnes PG Cam Spencer SF Kelly Oubre Jr. SG Quentin Grimes UTIL Ryan Kalkbrenner,,Karl-Anthony Towns,F,17.48%,52.25
14,4931201934,relicck (42/150),0,323.5,C Jusuf Nurkic F Kelly Oubre Jr. G Cam Spencer PF Scottie Barnes PG Quentin Grimes SF Lauri Markkanen SG Keyonte George UTIL Stephon Castle,,Cedric Coward,SF,16.68%,25.25
15,4934165921,scott12e12 (57/69),0,323,C Jusuf Nurkic F De'Andre Hunter G Quentin Grimes PF Miles Bridges PG Keyonte George SF Kon Knueppel SG Tre Mann UTIL Josh Giddey,,Michael Porter Jr.,F,16.13%,43.75
16,4931201910,relicck (18/150),0,322.75,C Jusuf Nurkic F Michael Porter Jr. G Cam Spencer PF Miles Bridges PG Keyonte George SF Kelly Oubre Jr. SG Quentin Grimes UTIL Josh Giddey,,Jalen Johnson,F,15.41%,48.75
17,4931934086,futurehendrix1 (3/20),0,322.25,C Jusuf Nurkic F Miles Bridges G Josh Giddey PF Scottie Barnes PG Quentin Grimes SF Brandon Ingram SG Cam Spencer UTIL Kevin Huerter,,Ryan Dunn,PF,12.33%,27.75
18,4931891754,mbhabes (24/60),0,322,C Jusuf Nurkic F Miles Bridges G Quentin Grimes PF Scottie Barnes PG Cam Spencer SF Brandon Ingram SG Tre Mann UTIL Josh Giddey,,Jalen Brunson,G,12.14%,46.75
18,4933973811,wiseman03 (2/4),0,322,C Andre Drummond F Terance Mann G Tyrese Maxey PF Michael Porter Jr. PG Quentin Grimes SF Kelly Oubre Jr. SG Ziaire Williams UTIL Josh Giddey,,Scottie Barnes,PF,12.13%,60
20,4931525133,bpcologna (74/150),0,321.5,C Jusuf Nurkic F Scottie Barnes G Josh Giddey PF Michael Porter Jr. PG Cam Spencer SF Brandon Ingram SG Collin Sexton UTIL Nic Claxton,,De'Andre Hunter,SF,10.88%,37.25
20,4933250130,kszng (88/150),0,321.5,C Jalen Smith F Lauri Markkanen G Cedric Coward PF Michael Porter Jr. PG Josh Giddey SF Brandon Ingram SG Kon Knueppel UTIL Nic Claxton,,VJ Edgecombe,UTIL,10.68%,28.5
20,4933756726,dacoltz (130/150),0,321.5,C Nic Claxton F Michael Porter Jr. G Josh Giddey PF Scottie Barnes PG Collin Sexton SF Brandon Ingram SG Cam Spencer UTIL Jusuf Nurkic,,Javon Small,PG,10.63%,2.25
20,4934071533,adanfora1,0,321.5,C Nic Claxton F Harrison Barnes G Kon Knueppel PF Karl-Anthony Towns PG Tyrese Maxey SF Kelly Oubre Jr. SG Quentin Grimes UTIL Jusuf Nurkic,,OG Anunoby,SF,10.24%,36.5
24,4931891737,mbhabes (7/60),0,321.25,C Jusuf Nurkic F Lauri Markkanen G Cam Spencer PF Scottie Barnes PG Quentin Grimes SF Brandon Ingram SG Tre Mann UTIL Josh Giddey,,Andre Drummond,UTIL,10.13%,18.5
24,4934138235,mhankin (90/95),0,321.25,C Kristaps Porzingis F Larry Nance Jr. G Quentin Grimes PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Donovan Mitchell UTIL Jusuf Nurkic,,Kon Knueppel,SG,9.78%,43
26,4934085849,KCRob23 (9/15),0,321,C Jusuf Nurkic F OG Anunoby G Jalen Brunson PF Michael Porter Jr. PG Cam Spencer SF Kelly Oubre Jr. SG Quentin Grimes UTIL Josh Giddey,,Royce O'Neale,PF,9.59%,29.5
27,4932573911,fjbourne (128/150),0,320.75,C Jusuf Nurkic F Miles Bridges G Josh Giddey PF Scottie Barnes PG Keyonte George SF Taylor Hendricks SG Cam Spencer UTIL Stephon Castle,,Collin Murray-Boyles,PF,9.21%,38.25
28,4932419773,3rd_and_schlong (16/150),0,320.5,C Jusuf Nurkic F Kelly Oubre Jr. G Jalen Brunson PF Karl-Anthony Towns PG Quentin Grimes SF Vince Williams Jr. SG Keyonte George UTIL Nic Claxton,,Dyson Daniels,SG,8.48%,36.5
28,4934119921,metshater,0,320.5,C Nic Claxton F Lauri Markkanen G Kevin Huerter PF Michael Porter Jr. PG Josh Giddey SF Kon Knueppel SG Luke Kennard UTIL Kristaps Porzingis,,Jaren Jackson Jr.,PF,7.91%,35.25
30,4931333720,hixx (112/150),0,320.25,C Jusuf Nurkic F Karl-Anthony Towns G Quentin Grimes PF Miles Bridges PG Tre Mann SF Taylor Hendricks SG Keyonte George UTIL Josh Giddey,,Tyrese Martin,SF,7.88%,9.5
31,4932713529,opatlion (40/50),0,320,C Jusuf Nurkic F Kon Knueppel G Cam Spencer PF Miles Bridges PG Quentin Grimes SF Lauri Markkanen SG Collin Sexton UTIL Josh Giddey,,Evan Mobley,F,7.73%,38.5
