Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4950450282,cheffrank (21/21),0,401.75,C Jakob Poeltl F Jalen Johnson G Jordan Goodwin PF Scottie Barnes PG Craig Porter Jr. SF Ace Bailey SG Donovan Mitchell UTIL Onyeka Okongwu,,Jalen Johnson,F,55.51%,92
2,4949318478,oxenduck (85/150),0,399,C Onyeka Okongwu F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Onyeka Okongwu,C,50.68%,62.25
2,4949408315,OneDropKing (70/150),0,399,C Jusuf Nurkic F Lauri Markkanen G Devin Booker PF Jalen Johnson PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Onyeka Okongwu,,Craig Porter Jr.,PG,49.06%,25.75
2,4949589231,RoyalPain21 (7/150),0,399,C Onyeka Okongwu F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Nick Richards,UTIL,48.19%,7.25
2,4949618750,sullybrochill (122/150),0,399,C Onyeka Okongwu F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Evan Mobley,PF,37.31%,24.75
2,4949706274,jmac6389,0,399,C Onyeka Okongwu F Lauri Markkanen G Devin Booker PF Jalen Johnson PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Devin Booker,G,33.56%,50.75
2,4950008569,Davematt123 (2/3),0,399,C Jusuf Nurkic F Lauri Markkanen G Devin Booker PF Jalen Johnson PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Onyeka Okongwu,,Andrew Nembhard,PG,33.44%,34.5
2,4950188484,squirrelpatroldk (89/150),0,399,C Onyeka Okongwu F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Nickeil Alexander-Walker,SG,30.60%,33.5
2,4950240426,Bsgolfer7 (91/150),0,399,C Onyeka Okongwu F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Jusuf Nurkic,,Donovan Mitchell,SG,30.11%,51
2,4950291063,arrogancygames (107/150),0,399,C Jusuf Nurkic F Jalen Johnson G Devin Booker PF Lauri Markkanen PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Onyeka Okongwu,,Royce O'Neale,PF,27.40%,13.25
2,4950321132,narendra22 (88/150),0,399,C Jusuf Nurkic F Lauri Markkanen G Devin Booker PF Jalen Johnson PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Onyeka Okongwu,,Grayson Allen,SG,26.03%,18.75
2,4950374415,Epic07 (2/20),0,399,C Jusuf Nurkic F Lauri Markkanen G Devin Booker PF Jalen Johnson PG Craig Porter Jr. SF Ace Bailey SG Jordan Goodwin UTIL Onyeka Okongwu,,Ace Bailey,SF,24.28%,36.25
