Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4929525097,bpcologna (6/150),0,354.5,C Rudy Gobert F Franz Wagner G Jimmy Butler PF Julius Randle PG Mike Conley SF Aaron Nesmith SG Quenton Jackson UTIL Amen Thompson,,Jaden McDaniels,SF,61.24%,27.5
2,4929525096,bpcologna (5/150),0,351.5,C Rudy Gobert F Julius Randle G Amen Thompson PF Miles Bridges PG Mike Conley SF Jimmy Butler SG Quenton Jackson UTIL Wendell Carter Jr.,,Amen Thompson,G,38.72%,39.25
3,4930213586,TJB128 (27/150),0,350.5,C Rudy Gobert F Paolo Banchero G Amen Thompson PF Miles Bridges PG Mike Conley SF Jimmy Butler SG Quenton Jackson UTIL Jabari Smith Jr.,,Julius Randle,UTIL,38.45%,47.25
4,4930234053,ImnotNavT (13/150),0,348,C Rudy Gobert F Franz Wagner G Jimmy Butler PF Paolo Banchero PG Brandin Podziemski SF Jaden McDaniels SG Quenton Jackson UTIL Wendell Carter Jr.,,Quenton Jackson,SG,35.63%,56.5
5,4929525178,bpcologna (87/150),0,346,C Rudy Gobert F Julius Randle G Brandin Podziemski PF Miles Bridges PG Mike Conley SF Franz Wagner SG Quenton Jackson UTIL Amen Thompson,,Jimmy Butler,SG,33.28%,47
6,4930512846,wwking2k18 (13/17),0,344.75,C Rudy Gobert F Jabari Smith Jr. G Quenton Jackson PF Paolo Banchero PG Amen Thompson SF Franz Wagner SG Jimmy Butler UTIL Tari Eason,,Paolo Banchero,PF,31.09%,53.25
7,4929919968,cypauerbach (11/35),0,342.5,C Rudy Gobert F Paolo Banchero G Jimmy Butler PF Julius Randle PG Mike Conley SF Jaden McDaniels SG Quenton Jackson UTIL Wendell Carter Jr.,,Ryan Kalkbrenner,C,30.57%,21
7,4930327862,ryan568 (13/16),0,342.5,C Wendell Carter Jr. F Jimmy Butler G CJ McCollum PF Julius Randle PG Amen Thompson SF Aaron Nesmith SG Quenton Jackson UTIL Rudy Gobert,,Jabari Smith Jr.,UTIL,30.26%,29.5
7,4930425041,JahMan17 (2/4),0,342.5,C Rudy Gobert F Paolo Banchero G Quenton Jackson PF Julius Randle PG Mike Conley SF Jaden McDaniels SG Jimmy Butler UTIL Wendell Carter Jr.,,Mike Conley,G,27.55%,25.25
7,4930437975,JahMan17 (3/4),0,342.5,C Rudy Gobert F Paolo Banchero G Quenton Jackson PF Julius Randle PG Mike Conley SF Jaden McDaniels SG Jimmy Butler UTIL Wendell Carter Jr.,,Jonathan Kuminga,SF,27.07%,26.75
