Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4935022954,mazwa (4/150),0,361,C Isaiah Stewart F Tari Eason G Christian Braun PF Noah Clowney PG Amen Thompson SF OG Anunoby SG Russell Westbrook UTIL Nikola Jokic,,Quenton Jackson,PG,59.67%,15
2,4935635178,Hebrewcheetah (142/150),0,360.25,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Ausar Thompson SG Payton Pritchard UTIL PJ Washington,,Tari Eason,F,54.70%,30
3,4935023001,mazwa (51/150),0,359,C Jusuf Nurkic F Isaiah Stewart G Christian Braun PF Karl-Anthony Towns PG Russell Westbrook SF Tari Eason SG Josh Okogie UTIL Nikola Jokic,,Ryan Rollins,UTIL,43.28%,26.25
4,4935367023,rjasond,0,358.75,C Alperen Sengun F Isaiah Stewart G Max Christie PF Karl-Anthony Towns PG Amen Thompson SF PJ Washington SG Russell Westbrook UTIL Jae'Sean Tate,,Karl-Anthony Towns,PF,38.37%,62.25
5,4935022969,mazwa (19/150),0,358,C Jusuf Nurkic F Isaiah Stewart G Christian Braun PF Noah Clowney PG Cade Cunningham SF Tyrese Martin SG Russell Westbrook UTIL Nikola Jokic,,Jusuf Nurkic,C,35.69%,32.75
6,4935841575,brugal (10/21),0,355.5,C Jalen Duren F Isaiah Stewart G Dennis Schroder PF Tari Eason PG Russell Westbrook SF Max Christie SG Christian Braun UTIL Nikola Jokic,,Ausar Thompson,F,30.43%,26.5
7,4935174314,TJB128 (72/150),0,354,C Jusuf Nurkic F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Ryan Rollins SF Jaylen Brown SG Russell Westbrook UTIL Isaiah Stewart,,Tyrese Martin,SF,30.08%,19.75
8,4935084108,bgreseth (37/150),0,353.25,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Tyrese Martin SG Johnny Furphy UTIL Nikola Jokic,,Derrick White,PG,27.43%,35.75
9,4935248852,dacoltz (138/150),0,353,C Jusuf Nurkic F Isaiah Stewart G Cade Cunningham PF Karl-Anthony Towns PG Payton Pritchard SF Tari Eason SG Christian Braun UTIL Russell Westbrook,,Payton Pritchard,G,23.57%,30.25
10,4935248208,mythicalrhymer01 (4/5),0,352.5,C Alexandre Sarr F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Payton Pritchard SF Aaron Nesmith SG Russell Westbrook UTIL Isaiah Stewart,,Amen Thompson,G,22.55%,42.25
11,4935174335,TJB128 (93/150),0,351.5,C Nic Claxton F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Tari Eason SG Payton Pritchard UTIL Jalen Duren,,Giannis Antetokounmpo,PF,20.97%,61.25
12,4935023058,mazwa (108/150),0,351.25,C Nic Claxton F Tari Eason G Russell Westbrook PF Isaiah Stewart PG Amen Thompson SF Jarace Walker SG Josh Okogie UTIL Nikola Jokic,,Cade Cunningham,PG,19.71%,53.25
12,4935733560,Sniper_Inc (4/7),0,351.25,C Jusuf Nurkic F Isaiah Stewart G Tre Johnson PF Karl-Anthony Towns PG Russell Westbrook SF Tari Eason SG Quenton Jackson UTIL Nikola Jokic,,Cam Thomas,SG,18.92%,36
14,4934738724,hixx (31/150),0,351,C Alexandre Sarr F Karl-Anthony Towns G Russell Westbrook PF Naz Reid PG Derrick White SF Tari Eason SG Kyshawn George UTIL Isaiah Stewart,,Jalen Duren,UTIL,18.82%,32.75
15,4935338991,bonedog84 (10/25),0,350,C Isaiah Stewart F Karl-Anthony Towns G Dennis Schroder PF Julius Randle PG Russell Westbrook SF Jaden McDaniels SG Tyrese Martin UTIL Ausar Thompson,,Nikola Jokic,UTIL,18.34%,78.75
16,4935439918,mhankin (13/110),0,349.75,C Nikola Jokic F Karl-Anthony Towns G Mikal Bridges PF Noah Clowney PG Russell Westbrook SF Tyrese Martin SG Quenton Jackson UTIL Isaiah Stewart,,Terance Mann,UTIL,17.95%,21.5
17,4935681992,l800Eddie (80/100),0,349.25,C Noah Clowney F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Derrick White SF OG Anunoby SG Keyonte George UTIL Ausar Thompson,,Russell Westbrook,UTIL,15.10%,54
18,4935220270,LjTexasAggies,0,348.25,C Jusuf Nurkic F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Ryan Rollins SF Landry Shamet SG Quenton Jackson UTIL Nikola Jokic,,Julius Randle,PF,14.13%,54.25
19,4935248819,dacoltz (105/150),0,347.75,C Nikola Jokic F Tari Eason G Christian Braun PF Isaiah Stewart PG Cade Cunningham SF Terance Mann SG Tyrese Martin UTIL Russell Westbrook,,Jaylen Brown,F,12.93%,47
20,4935683928,dasports,0,347.5,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Julius Randle PG Cade Cunningham SF Jaylen Clark SG Payton Pritchard UTIL PJ Washington,,Myles Turner,C,11.91%,29.25
21,4935387027,lebronsucksbutt (26/50),0,347.25,C Jusuf Nurkic F PJ Washington G Amen Thompson PF Karl-Anthony Towns PG D'Angelo Russell SF OG Anunoby SG Russell Westbrook UTIL Tari Eason,,Jalen Brunson,PG,11.35%,32.25
22,4934757489,chris--26 (24/50),0,347,C Jusuf Nurkic F Isaiah Stewart G Russell Westbrook PF Jarace Walker PG Ryan Rollins SF Tari Eason SG Payton Pritchard UTIL Nikola Jokic,,Noah Clowney,PF,10.57%,29
23,4935403561,sbcousle (38/150),0,346.75,C Isaiah Stewart F Julius Randle G Russell Westbrook PF Noah Clowney PG Cade Cunningham SF Jaylen Brown SG Tyrese Martin UTIL Tari Eason,,Alperen Sengun,C,10.52%,50.75
24,4935545743,3rd_and_schlong (72/150),0,346.5,C Nic Claxton F Isaiah Stewart G Amen Thompson PF Jarace Walker PG Quenton Jackson SF Ronald Holland II SG Russell Westbrook UTIL Nikola Jokic,,Jarace Walker,SF,10.36%,35.5
24,4935581795,LiLCeeWay,0,346.5,C Jusuf Nurkic F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Quenton Jackson SF Tari Eason SG Russell Westbrook UTIL Alperen Sengun,,Keyonte George,SG,9.56%,45.75
24,4935635087,Hebrewcheetah (51/150),0,346.5,C Jusuf Nurkic F Naji Marshall G Russell Westbrook PF Isaiah Stewart PG Amen Thompson SF Tari Eason SG Payton Pritchard UTIL Nikola Jokic,,Taylor Hendricks,PF,9.26%,6.75
27,4934737942,Bsmalls7 (3/5),0,345.75,C Alperen Sengun F Jaylen Brown G Christian Braun PF Isaiah Stewart PG Russell Westbrook SF PJ Washington SG Payton Pritchard UTIL Jonas Valanciunas,,Justin Champagnie,PF,8.43%,6.75
27,4935248747,dacoltz (33/150),0,345.75,C Isaiah Stewart F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Derrick White SF Jarace Walker SG Russell Westbrook UTIL Ausar Thompson,,Ronald Holland II,SF,8.07%,21
27,4935308900,youdacao (48/150),0,345.75,C Isaiah Stewart F Karl-Anthony Towns G Amen Thompson PF Jarace Walker PG Derrick White SF Tari Eason SG Russell Westbrook UTIL Ausar Thompson,,Lauri Markkanen,SF,7.38%,33.25
30,4935084151,bgreseth (80/150),0,345.5,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Ryan Rollins SF Tyrese Martin SG Quenton Jackson UTIL Nikola Jokic,,D'Angelo Russell,G,6.77%,34
31,4935023040,mazwa (90/150),0,344.75,C Jalen Duren F Isaiah Stewart G Christian Braun PF Karl-Anthony Towns PG Russell Westbrook SF Justin Champagnie SG Tyrese Martin UTIL Nikola Jokic,,Jaden McDaniels,SF,6.58%,36.25
32,4935373062,OxfordComma,0,344.5,C Isaiah Stewart F Jaren Jackson Jr. G Russell Westbrook PF Noah Clowney PG Quenton Jackson SF PJ Washington SG Landry Shamet UTIL Nikola Jokic,,OG Anunoby,SF,6.55%,36.5
33,4935221225,ehafner (12/150),0,344.25,C Alexandre Sarr F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Tyrese Martin SG Cam Thomas UTIL PJ Washington,,Josh Minott,PF,6.46%,14.5
34,4935023069,mazwa (119/150),0,344,C Isaiah Stewart F Tari Eason G Amen Thompson PF Julius Randle PG Cade Cunningham SF Tyrese Martin SG Russell Westbrook UTIL Christian Braun,,Isaiah Stewart,PF,6.25%,59.5
35,4934967394,ocdobv (27/150),0,343.75,C Jusuf Nurkic F Ronald Holland II G Amen Thompson PF Isaiah Stewart PG Derrick White SF Tyrese Martin SG Russell Westbrook UTIL Nikola Jokic,,Nic Claxton,C,6.24%,40.5
35,4935545746,3rd_and_schlong (75/150),0,343.75,C Isaiah Stewart F Karl-Anthony Towns G Christian Braun PF Noah Clowney PG Ryan Rollins SF PJ Washington SG Cam Thomas UTIL Domantas Sabonis,,Pascal Siakam,PF,5.92%,57.25
35,4935745688,JonSnowTargaryen,0,343.75,C Jusuf Nurkic F Isaiah Stewart G Tyrese Martin PF Karl-Anthony Towns PG Quenton Jackson SF Tari Eason SG Keyonte George UTIL Nikola Jokic,,Cam Whitmore,F,5.87%,2.25
38,4934738709,hixx (16/150),0,343.5,C Jusuf Nurkic F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Ryan Rollins SF PJ Washington SG Max Christie UTIL Alperen Sengun,,Kyshawn George,SG,5.69%,31.75
39,4935023005,mazwa (55/150),0,343,C Nic Claxton F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Cade Cunningham SF Jarace Walker SG Tyrese Martin UTIL Tari Eason,,Aaron Nesmith,SF,5.59%,29.75
40,4935036492,lozingitall (132/150),0,342.5,C Jusuf Nurkic F Isaiah Stewart G D'Angelo Russell PF Pascal Siakam PG Derrick White SF Tari Eason SG Christian Braun UTIL Karl-Anthony Towns,,Alexandre Sarr,C,5.47%,44.5
40,4935439983,mhankin (78/110),0,342.5,C Alexandre Sarr F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Payton Pritchard SF Jaylen Brown SG Quenton Jackson UTIL Tari Eason,,Rudy Gobert,C,4.87%,33.5
42,4935250520,zokin (5/150),0,342,C Rudy Gobert F Isaiah Stewart G Amen Thompson PF Julius Randle PG Derrick White SF Tari Eason SG Russell Westbrook UTIL Jusuf Nurkic,,Christian Braun,SG,4.50%,31
43,4935250626,zokin (111/150),0,340.75,C Isaiah Stewart F Tari Eason G Jamal Murray PF Karl-Anthony Towns PG Amen Thompson SF Ausar Thompson SG Russell Westbrook UTIL Christian Braun,,Jamal Murray,UTIL,4.19%,35.25
43,4935287467,wtread5 (10/50),0,340.75,C Nikola Jokic F Isaiah Stewart G Derrick White PF Noah Clowney PG Ryan Rollins SF OG Anunoby SG Russell Westbrook UTIL Ronald Holland II,,PJ Washington,SF,4.08%,55.5
43,4935439939,mhankin (34/110),0,340.75,C Isaiah Stewart F Ausar Thompson G Keyonte George PF Karl-Anthony Towns PG Quenton Jackson SF Jarace Walker SG Russell Westbrook UTIL Amen Thompson,,Naz Reid,F,3.72%,33.25
46,4935941780,lbbdotnet (70/150),0,340.5,C Isaiah Stewart F Josh Minott G Russell Westbrook PF Karl-Anthony Towns PG Payton Pritchard SF Terance Mann SG Tyrese Martin UTIL Nikola Jokic,,Reed Sheppard,G,3.66%,15.25
47,4935414041,awen419 (81/150),0,340.25,C Myles Turner F Ronald Holland II G Amen Thompson PF Karl-Anthony Towns PG Derrick White SF Jaden McDaniels SG Russell Westbrook UTIL Isaiah Stewart,,Ziaire Williams,SG,3.52%,20
47,4935594995,jsn77 (97/150),0,340.25,C Jusuf Nurkic F Isaiah Stewart G Russell Westbrook PF Naz Reid PG Quenton Jackson SF Jaylen Brown SG Ziaire Williams UTIL Nikola Jokic,,Johnny Furphy,SG,3.50%,6.75
47,4935736986,THE_PHANTOM_1 (27/50),0,340.25,C Isaiah Stewart F Karl-Anthony Towns G Russell Westbrook PF Taylor Hendricks PG Amen Thompson SF Tari Eason SG Johnny Furphy UTIL Nikola Jokic,,Mikal Bridges,SG,3.37%,31.5
50,4935027332,sdoyle8448 (10/11),0,340,C Alperen Sengun F Karl-Anthony Towns G Derrick White PF Isaiah Stewart PG Quenton Jackson SF Tari Eason SG Russell Westbrook UTIL Jusuf Nurkic,,Kevin Durant,SF,3.22%,39.5
51,4935022959,mazwa (9/150),0,339.75,C Nic Claxton F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Cade Cunningham SF Tari Eason SG Christian Braun UTIL Ronald Holland II,,Cooper Flagg,G,3.16%,22.25
52,4935023032,mazwa (82/150),0,339.5,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Jarace Walker PG Payton Pritchard SF Jaden McDaniels SG Reed Sheppard UTIL Nikola Jokic,,Bilal Coulibaly,PF,2.90%,30.25
52,4935248804,dacoltz (90/150),0,339.5,C Myles Turner F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Derrick White SF Ausar Thompson SG Russell Westbrook UTIL Isaiah Stewart,,Max Christie,SF,2.57%,32
52,4935587027,beaker913 (135/150),0,339.5,C Jusuf Nurkic F Isaiah Stewart G D'Angelo Russell PF Tari Eason PG Amen Thompson SF Max Christie SG Payton Pritchard UTIL Nikola Jokic,,Steven Adams,C,2.55%,24.25
55,4935160391,La.Hot_Boy,0,339.25,C Nikola Jokic F Isaiah Stewart G Christian Braun PF Tari Eason PG Amen Thompson SF PJ Washington SG Cedric Coward UTIL Klay Thompson,,Cedric Coward,G,2.53%,27.5
55,4935205116,eyeseeyou12 (5/30),0,339.25,C Jusuf Nurkic F Karl-Anthony Towns G Cade Cunningham PF Noah Clowney PG Amen Thompson SF Tari Eason SG Payton Pritchard UTIL Isaiah Stewart,,Gary Trent Jr.,F,2.41%,20
55,4935248723,dacoltz (9/150),0,339.25,C Isaiah Stewart F Ronald Holland II G Russell Westbrook PF Karl-Anthony Towns PG Cade Cunningham SF Kevin Durant SG Tyrese Martin UTIL Tari Eason,,Josh Okogie,SG,2.41%,10.75
55,4935726907,kiabright (4/5),0,339.25,C Alperen Sengun F Isaiah Stewart G Payton Pritchard PF Karl-Anthony Towns PG Russell Westbrook SF Tari Eason SG Tyrese Martin UTIL Jalen Duren,,Duncan Robinson,SG,2.24%,18.5
55,4935827033,WildFireXXI,0,339.25,C Myles Turner F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Jaylen Brown SG Quenton Jackson UTIL Tari Eason,,CJ McCollum,PG,2.21%,9.75
60,4935211493,thechek182 (29/60),0,339,C Isaiah Stewart F PJ Washington G Cade Cunningham PF Karl-Anthony Towns PG Amen Thompson SF Tari Eason SG Reed Sheppard UTIL Ronald Holland II,,Dennis Schroder,UTIL,2.16%,37.5
61,4935023016,mazwa (66/150),0,338.75,C Rudy Gobert F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Cade Cunningham SF Tari Eason SG Tyrese Martin UTIL Ausar Thompson,,Peyton Watson,PF,2.10%,4.75
61,4935685209,rdlowe (2/2),0,338.75,C Jusuf Nurkic F Karl-Anthony Towns G D'Angelo Russell PF Julius Randle PG Ryan Rollins SF Tyrese Martin SG Russell Westbrook UTIL PJ Washington,,Anfernee Simons,SG,2.09%,20.25
63,4935248824,dacoltz (110/150),0,338.25,C Rudy Gobert F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Payton Pritchard SF Ausar Thompson SG Russell Westbrook UTIL Isaiah Stewart,,Isaiah Jackson,C,2.05%,42
63,4935592834,egar15 (4/5),0,338.25,C Isaiah Stewart F Jarace Walker G Reed Sheppard PF Karl-Anthony Towns PG Amen Thompson SF Tari Eason SG Russell Westbrook UTIL Kevin Durant,,Domantas Sabonis,C,1.97%,44.25
65,4935023048,mazwa (98/150),0,338,C Nikola Jokic F Isaiah Stewart G Christian Braun PF Karl-Anthony Towns PG Payton Pritchard SF Jarace Walker SG Tyrese Martin UTIL Ronald Holland II,,Bub Carrington,G,1.87%,13
65,4935248863,dacoltz (149/150),0,338,C Isaiah Stewart F Ausar Thompson G Russell Westbrook PF Ronald Holland II PG Amen Thompson SF Jaden McDaniels SG Tyrese Martin UTIL Nikola Jokic,,Aaron Gordon,PF,1.74%,33.25
67,4935233514,BobbyFi (35/50),0,337.5,C Nikola Jokic F Karl-Anthony Towns G Russell Westbrook PF Noah Clowney PG Donte DiVincenzo SF Tyrese Martin SG Quenton Jackson UTIL Tari Eason,,Donte DiVincenzo,G,1.69%,48.75
67,4935248767,dacoltz (53/150),0,337.5,C Isaiah Stewart F Tari Eason G Amen Thompson PF Karl-Anthony Towns PG Quenton Jackson SF PJ Washington SG Tyrese Martin UTIL Cade Cunningham,,Mike Conley,G,1.66%,23.25
