Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,4953046114,smokingcutler (46/150),0,314,C Jakob Poeltl F Tim Hardaway Jr. G Jamal Murray PF Aaron Gordon PG Shai Gilgeous-Alexander SF Gradey Dick SG Anthony Edwards UTIL Jonas Valanciunas,,Isaiah Joe,UTIL,10.72%,14.75
26,4952767052,F0rsaken (113/150),0,313.75,C Jakob Poeltl F Aaron Gordon G Anthony Edwards PF Peyton Watson PG Andrew Nembhard SF Jaden McDaniels SG Tim Hardaway Jr. UTIL Julius Randle,,Sion James,SG,10.61%,7.5
26,4953135764,jeremyqking1 (5/5),0,313.75,C Branden Carlson F Aaron Gordon G Austin Reaves PF Julius Randle PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Jamal Shead,G,10.35%,17.5
28,4952828581,3rd_and_schlong (34/150),0,313.25,C Jakob Poeltl F Aaron Gordon G Jamal Murray PF Naz Reid PG Donte DiVincenzo SF Tim Hardaway Jr. SG Anthony Edwards UTIL Isaiah Hartenstein,,Shai Gilgeous-Alexander,PG,10.19%,53.5
29,4951831013,bpcologna (145/150),0,313,C Sandro Mamukelashvili F Aaron Gordon G Luka Doncic PF Naz Reid PG Andrew Nembhard SF Tim Hardaway Jr. SG Bruce Brown UTIL Julius Randle,,Tre Mann,SG,9.44%,17
30,4953134777,idlove2win (36/150),0,312.75,C Branden Carlson F Julius Randle G Austin Reaves PF Aaron Gordon PG Luka Doncic SF Tim Hardaway Jr. SG Bruce Brown UTIL Moussa Diabate,,Peyton Watson,SF,9.24%,21.25
30,4953161523,shrek4224 (36/50),0,312.75,C Moussa Diabate F Julius Randle G Bruce Brown PF Aaron Gordon PG Luka Doncic SF Tim Hardaway Jr. SG Austin Reaves UTIL Branden Carlson,,Jake LaRavia,UTIL,8.39%,16.5
32,4952497852,papagates (130/150),0,312.5,C Jakob Poeltl F Naz Reid G Jamal Murray PF Aaron Gordon PG Austin Reaves SF Peyton Watson SG Anthony Edwards UTIL Jonas Valanciunas,,Branden Carlson,C,8.01%,13.5
33,4952344851,tomjk321 (133/150),0,312,C Moussa Diabate F Giannis Antetokounmpo G Jamal Murray PF Aaron Gordon PG Jamal Shead SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,RJ Barrett,SF,7.98%,36.5
33,4952679498,awen419 (14/150),0,312,C Jakob Poeltl F Aaron Gordon G Jamal Murray PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Jaden McDaniels SG Anthony Edwards UTIL Moussa Diabate,,Jarace Walker,SF,7.97%,23
33,4952901432,zoltar91282 (46/150),0,312,C Moussa Diabate F Aaron Gordon G Jamal Murray PF Giannis Antetokounmpo PG Jamal Shead SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Moussa Diabate,C,7.80%,37.25
36,4951798275,oxenduck (134/150),0,311.75,C Tony Bradley F Jaden McDaniels G Anthony Edwards PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Austin Reaves UTIL Jakob Poeltl,,Ryan Kalkbrenner,C,7.40%,25.75
36,4952785192,lebronsucksbutt (12/50),0,311.75,C Jakob Poeltl F Tim Hardaway Jr. G Austin Reaves PF Aaron Gordon PG Jamal Murray SF Jaden McDaniels SG Anthony Edwards UTIL Tony Bradley,,Brandon Ingram,SG,5.80%,33.25
38,4951766084,AaronCosta (81/150),0,311.5,C Sandro Mamukelashvili F Naz Reid G Bruce Brown PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Luka Doncic,,Jarred Vanderbilt,F,5.75%,1.75
38,4953063365,ilikericeandguac (7/16),0,311.5,C Sandro Mamukelashvili F Aaron Gordon G Jamal Murray PF Naz Reid PG Donte DiVincenzo SF Tim Hardaway Jr. SG Austin Reaves UTIL Anthony Edwards,,Pascal Siakam,PF,5.56%,46
40,4951798267,oxenduck (126/150),0,311.25,C Sandro Mamukelashvili F Aaron Gordon G Jamal Murray PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Julius Randle,,Chet Holmgren,F,5.50%,40
40,4952344809,tomjk321 (91/150),0,311.25,C Sandro Mamukelashvili F Julius Randle G Austin Reaves PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Bruce Brown UTIL Anthony Edwards,,Sandro Mamukelashvili,C,5.46%,26
42,4951797720,pgk8 (10/15),0,311,C Moussa Diabate F Julius Randle G Anthony Edwards PF Aaron Gordon PG Donte DiVincenzo SF Peyton Watson SG Tim Hardaway Jr. UTIL Jamal Murray,,Isaiah Hartenstein,UTIL,5.28%,37
42,4952767024,F0rsaken (85/150),0,311,C Moussa Diabate F Jaden McDaniels G Andrew Nembhard PF Julius Randle PG Bruce Brown SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jamal Murray,,T.J. McConnell,G,5.14%,16.25
42,4953068020,tokyodrift (1/2),0,311,C Deandre Ayton F Peyton Watson G Austin Reaves PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Bronny James,SG,5.05%,4.75
