Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4942030993,1timechamp,0,387,C Alexandre Sarr F Trendon Watford G Jrue Holiday PF Naji Marshall PG Luka Doncic SF PJ Washington SG Dru Smith UTIL Nikola Jovic,,Luka Doncic,PG,71.23%,47.75
2,4941047660,bpcologna (129/150),0,386.75,C Onyeka Okongwu F Mouhamed Gueye G Jrue Holiday PF Trendon Watford PG Keaton Wallace SF Jaime Jaquez Jr. SG Trey Murphy III UTIL Luka Doncic,,Keaton Wallace,G,60.54%,30.5
3,4941860952,ocdobv (28/150),0,380,C Jalen Smith F Mouhamed Gueye G Luka Doncic PF Asa Newell PG CJ McCollum SF Jaime Jaquez Jr. SG Trey Murphy III UTIL Deni Avdija,,Mouhamed Gueye,F,55.03%,47.25
4,4941097490,jleo1127 (2/2),0,374,C Alexandre Sarr F Deni Avdija G Donovan Mitchell PF Mouhamed Gueye PG Jrue Holiday SF Naji Marshall SG Kevin Huerter UTIL Davion Mitchell,,Zaccharie Risacher,F,53.39%,31.25
5,4941397808,relicck (23/150),0,373,C Mouhamed Gueye F Deni Avdija G Luka Doncic PF Trendon Watford PG Jrue Holiday SF Zaccharie Risacher SG Norman Powell UTIL Keaton Wallace,,Onyeka Okongwu,UTIL,49.91%,37
5,4941452992,jpm11 (59/150),0,373,C Mouhamed Gueye F Deni Avdija G Keaton Wallace PF Trendon Watford PG Jrue Holiday SF Zaccharie Risacher SG Norman Powell UTIL Luka Doncic,,Alexandre Sarr,C,30.72%,41
7,4941012031,LeVerticalDFS (1/5),0,372,C Onyeka Okongwu F Nikola Jovic G Keaton Wallace PF Deni Avdija PG Luka Doncic SF Zaccharie Risacher SG Trey Murphy III UTIL Mouhamed Gueye,,Deni Avdija,PF,20.01%,62.25
7,4941794232,ajimale08 (1/50),0,372,C Mouhamed Gueye F Nikola Jovic G Luka Doncic PF Deni Avdija PG Keaton Wallace SF Zaccharie Risacher SG Trey Murphy III UTIL Onyeka Okongwu,,Dyson Daniels,G,16.72%,42
7,4942081393,Swidb,0,372,C Onyeka Okongwu F Nikola Jovic G Keaton Wallace PF Deni Avdija PG Luka Doncic SF Zaccharie Risacher SG Trey Murphy III UTIL Mouhamed Gueye,,PJ Washington,SF,16.67%,35.75
7,4942233180,Purepwnage (10/11),0,372,C Onyeka Okongwu F Nikola Jovic G Keaton Wallace PF Mouhamed Gueye PG Luka Doncic SF Zaccharie Risacher SG Trey Murphy III UTIL Deni Avdija,,Cooper Flagg,SG,16.62%,31.75
