Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4946229221,lozingitall (96/150),0,387.25,C Jalen Duren F Ayo Dosunmu G Brandon Williams PF Julius Randle PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Cooper Flagg,,Ronald Holland II,PF,67.53%,8.75
2,4947005191,RubioDimes (133/150),0,386.5,C Alexandre Sarr F Grayson Allen G Ayo Dosunmu PF Royce O'Neale PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Jalen Duren,,Jalen Duren,C,59.59%,44
3,4946158465,liquidpimp1,0,386,C Jalen Duren F Kon Knueppel G Cade Cunningham PF Derik Queen PG Tre Jones SF Jaime Jaquez Jr. SG Kevin Huerter UTIL Javonte Green,,Ayo Dosunmu,SG,48.42%,37
4,4947039082,airassault-101st,0,385,C Rudy Gobert F Jaime Jaquez Jr. G CJ McCollum PF Derik Queen PG Cade Cunningham SF Javonte Green SG Ayo Dosunmu UTIL Jalen Duren,,Javonte Green,SF,36.99%,36.25
5,4945938891,bpcologna (27/150),0,384,C Jalen Duren F Ayo Dosunmu G Cade Cunningham PF Patrick Williams PG CJ McCollum SF Javonte Green SG Anthony Edwards UTIL Tre Jones,,Tre Jones,PG,35.26%,42.75
6,4946229236,lozingitall (111/150),0,383.5,C Jalen Duren F Ayo Dosunmu G Brandon Williams PF Julius Randle PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Keyonte George,,Kevin Huerter,SG,26.91%,40.25
6,4947070458,feartheturtle7 (92/100),0,383.5,C Jalen Duren F Ayo Dosunmu G Brandon Williams PF Julius Randle PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Keyonte George,,Luka Doncic,PG,23.89%,59.5
8,4946826022,smokingcutler (41/51),0,381,C Paul Reed F Jaden McDaniels G Cade Cunningham PF Derik Queen PG CJ McCollum SF Ayo Dosunmu SG Kon Knueppel UTIL Donovan Mitchell,,Anthony Black,F,22.86%,17.5
8,4946939860,Doggy1965,0,381,C Goga Bitadze F Jaime Jaquez Jr. G Donovan Mitchell PF Naji Marshall PG Cade Cunningham SF Kon Knueppel SG Javonte Green UTIL Kevin Huerter,,Anthony Edwards,UTIL,22.23%,55.5
10,4945994982,tomjk321 (93/150),0,380.5,C Paul Reed F Grayson Allen G Brandon Williams PF Evan Mobley PG Cade Cunningham SF Franz Wagner SG Javonte Green UTIL Tre Jones,,Jeremiah Fears,G,21.96%,22
11,4946229203,lozingitall (78/150),0,379.25,C Jalen Duren F Grayson Allen G Kevin Huerter PF Andrew Wiggins PG Cade Cunningham SF Javonte Green SG Desmond Bane UTIL Brandon Williams,,Cade Cunningham,G,21.15%,96
12,4946081859,zroth2 (148/150),0,379,C Jusuf Nurkic F Grayson Allen G Kevin Huerter PF Julius Randle PG Cade Cunningham SF Ayo Dosunmu SG Desmond Bane UTIL Brandon Williams,,Kon Knueppel,UTIL,16.69%,48
12,4946507579,danieloraham (34/100),0,379,C Jalen Duren F Jaime Jaquez Jr. G Tre Jones PF Simone Fontecchio PG Cade Cunningham SF Kon Knueppel SG Desmond Bane UTIL Javonte Green,,Desmond Bane,G,16.53%,35.25
14,4947070387,feartheturtle7 (21/100),0,378.5,C Alexandre Sarr F Ayo Dosunmu G CJ McCollum PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Jaime Jaquez Jr. UTIL Jalen Duren,,De'Aaron Fox,G,14.74%,31
15,4945938978,bpcologna (114/150),0,378.25,C Jalen Duren F Grayson Allen G Tre Jones PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Cooper Flagg,,Jaime Jaquez Jr.,SF,13.96%,55.25
16,4946030488,OneDropKing (2/150),0,377.5,C Alexandre Sarr F Ayo Dosunmu G CJ McCollum PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Anthony Edwards UTIL Tre Jones,,Giannis Antetokounmpo,PF,13.90%,55
16,4946946185,vicelord556,0,377.5,C Victor Wembanyama F Marcus Smart G Kevin Huerter PF Ronald Holland II PG Tre Jones SF Javonte Green SG Ayo Dosunmu UTIL Cade Cunningham,,Julius Randle,F,12.82%,53
18,4946475137,SeanGeezy (25/30),0,377.25,C Jalen Duren F Ayo Dosunmu G Cade Cunningham PF Kyle Filipowski PG Daniss Jenkins SF Javonte Green SG Kevin Huerter UTIL Luka Doncic,,Deni Avdija,F,12.78%,43.75
19,4946499788,3rd_and_schlong (78/150),0,376,C Rudy Gobert F Ayo Dosunmu G Cade Cunningham PF Ronald Holland II PG CJ McCollum SF Kon Knueppel SG Kevin Huerter UTIL Julius Randle,,Jusuf Nurkic,UTIL,12.57%,25
20,4946306435,bgreseth (99/150),0,375.75,C Jalen Duren F Ayo Dosunmu G Cade Cunningham PF Julius Randle PG CJ McCollum SF Ronald Holland II SG Javonte Green UTIL Tre Jones,,Derik Queen,PF,12.56%,23.5
20,4946955034,eritas2 (2/10),0,375.75,C Jalen Duren F Ayo Dosunmu G Cade Cunningham PF Ronald Holland II PG CJ McCollum SF Javonte Green SG Kevin Huerter UTIL Anthony Edwards,,Paul Reed,C,11.19%,23.25
20,4947100690,eritas2 (9/10),0,375.75,C Jalen Duren F Ronald Holland II G Cade Cunningham PF Julius Randle PG CJ McCollum SF Javonte Green SG Ayo Dosunmu UTIL Tre Jones,,Alexandre Sarr,C,11.08%,43.25
23,4946217290,jrock86,0,375.25,C Victor Wembanyama F Ayo Dosunmu G Cade Cunningham PF Ronald Holland II PG CJ McCollum SF Javonte Green SG Kevin Huerter UTIL Derik Queen,,Duncan Robinson,SG,10.11%,23.25
23,4946229586,invertedcheese (23/150),0,375.25,C Jalen Duren F Ayo Dosunmu G Anthony Edwards PF Derik Queen PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Tre Jones,,Brandon Williams,PG,9.38%,31.5
23,4946736738,moklovin (47/150),0,375.25,C Jalen Duren F Matas Buzelis G Ayo Dosunmu PF Andrew Wiggins PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Grayson Allen,,Nikola Jovic,C,8.71%,26
26,4945994941,tomjk321 (52/150),0,375,C Paul Reed F Grayson Allen G Brandon Williams PF Giannis Antetokounmpo PG Cade Cunningham SF Ayo Dosunmu SG Javonte Green UTIL Rudy Gobert,,Andrew Wiggins,PF,8.66%,35
26,4947005170,RubioDimes (112/150),0,375,C Jalen Duren F Ayo Dosunmu G Tre Jones PF Miles Bridges PG Cade Cunningham SF Pelle Larsson SG Javonte Green UTIL Kevin Huerter,,Herbert Jones,F,8.56%,17.5
28,4946870135,bhy101 (55/60),0,374.5,C Jalen Duren F Isaac Okoro G Tre Jones PF Julius Randle PG Cade Cunningham SF Javonte Green SG Grayson Allen UTIL Brandon Williams,,Mark Williams,UTIL,8.56%,17
29,4946297691,zokin (62/150),0,374.25,C Jalen Duren F Ayo Dosunmu G CJ McCollum PF Kyle Kuzma PG Cade Cunningham SF Anthony Black SG Kevin Huerter UTIL Alexandre Sarr,,Nikola Vucevic,C,8.05%,31
29,4947005125,RubioDimes (67/150),0,374.25,C Alexandre Sarr F Julius Randle G Tre Jones PF Matas Buzelis PG Cade Cunningham SF Ayo Dosunmu SG Javonte Green UTIL Kevin Huerter,,Jrue Holiday,UTIL,7.67%,37.25
31,4946030530,OneDropKing (44/150),0,373.5,C Jalen Duren F Grayson Allen G CJ McCollum PF Ronald Holland II PG Bub Carrington SF Jaime Jaquez Jr. SG Duncan Robinson UTIL Cade Cunningham,,Jarrett Allen,C,7.59%,26.25
32,4945952518,oxenduck (142/150),0,373.25,C Jalen Duren F Grayson Allen G Brandon Williams PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Anthony Edwards,,Naji Marshall,F,6.78%,21.25
32,4946288481,rsbathla (30/150),0,373.25,C Jalen Duren F Grayson Allen G Brandon Williams PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Kevin Huerter UTIL Anthony Edwards,,CJ McCollum,G,6.74%,58
32,4946432999,Pweb,0,373.25,C Jalen Duren F Javonte Green G Jaime Jaquez Jr. PF Naji Marshall PG Cade Cunningham SF Ayo Dosunmu SG Kevin Huerter UTIL Alexandre Sarr,,Austin Reaves,UTIL,6.61%,45.25
35,4946628897,awen419 (53/150),0,373,C Jalen Duren F Grayson Allen G Brandon Williams PF Deni Avdija PG Cade Cunningham SF Ayo Dosunmu SG Javonte Green UTIL Derik Queen,,Donovan Mitchell,G,5.62%,63.25
36,4946131355,SpartanDawgs2014,0,372.25,C Alexandre Sarr F Nikola Jovic G CJ McCollum PF Ronald Holland II PG Cade Cunningham SF Kon Knueppel SG Jaime Jaquez Jr. UTIL Ayo Dosunmu,,Matas Buzelis,F,5.51%,25.75
37,4946502409,tywoo13,0,372,C Jalen Duren F Ayo Dosunmu G Kevin Huerter PF Ronald Holland II PG Tre Jones SF Kon Knueppel SG Jaime Jaquez Jr. UTIL Cade Cunningham,,Victor Wembanyama,C,5.49%,75.5
37,4946637502,elitejq,0,372,C Jalen Duren F Ayo Dosunmu G Tre Jones PF Ronald Holland II PG Cade Cunningham SF Jaime Jaquez Jr. SG Kon Knueppel UTIL Kevin Huerter,,Keyonte George,SG,5.39%,45.5
37,4946651552,tyjon98 (3/29),0,372,C Jalen Duren F Ayo Dosunmu G Kevin Huerter PF Ronald Holland II PG Cade Cunningham SF Jaime Jaquez Jr. SG Kon Knueppel UTIL Tre Jones,,Jaden McDaniels,F,5.32%,32
37,4947004799,Jliv35,0,372,C Jalen Duren F Jaime Jaquez Jr. G Kon Knueppel PF Ronald Holland II PG Tre Jones SF Ayo Dosunmu SG Kevin Huerter UTIL Cade Cunningham,,Devin Booker,PG,5.31%,24
41,4947024278,tooquik5,0,371.75,C Jalen Duren F Ayo Dosunmu G Tre Jones PF Miles Bridges PG Cade Cunningham SF Anthony Black SG Javonte Green UTIL Kevin Huerter,,Evan Mobley,PF,5.21%,45
41,4947036514,ctilton23 (14/20),0,371.75,C Jalen Duren F Anthony Black G Tre Jones PF Miles Bridges PG Cade Cunningham SF Javonte Green SG Ayo Dosunmu UTIL Kevin Huerter,,Kyle Filipowski,F,4.92%,16.75
43,4946081772,zroth2 (61/150),0,371.5,C Jalen Duren F Grayson Allen G Ayo Dosunmu PF Julius Randle PG Cade Cunningham SF Ronald Holland II SG Kevin Huerter UTIL Brandon Williams,,Franz Wagner,SF,4.86%,44.75
43,4946645822,Dellodello (9/30),0,371.5,C Jalen Duren F Julius Randle G Brandon Williams PF Ronald Holland II PG Cade Cunningham SF Ayo Dosunmu SG Kevin Huerter UTIL Grayson Allen,,Saddiq Bey,F,4.81%,26.75
45,4946059267,relicck (68/150),0,371.25,C Jalen Duren F Ayo Dosunmu G Kevin Huerter PF Saddiq Bey PG Cade Cunningham SF Kon Knueppel SG Javonte Green UTIL Trey Murphy III,,Rudy Gobert,UTIL,4.67%,35
45,4946628930,awen419 (86/150),0,371.25,C Wendell Carter Jr. F Andrew Wiggins G Tre Jones PF Deni Avdija PG Cade Cunningham SF Ayo Dosunmu SG Javonte Green UTIL Kevin Huerter,,Naz Reid,PF,4.06%,21.75
45,4946851832,babyboyboo (2/4),0,371.25,C Jalen Duren F Ayo Dosunmu G Cade Cunningham PF Ronald Holland II PG CJ McCollum SF Javonte Green SG Kon Knueppel UTIL Alexandre Sarr,,Lauri Markkanen,F,3.87%,39
45,4947065380,jjax33 (5/6),0,371.25,C Jalen Duren F Ayo Dosunmu G CJ McCollum PF Ronald Holland II PG Cade Cunningham SF Javonte Green SG Kon Knueppel UTIL Alexandre Sarr,,Trey Murphy III,SG,3.72%,43
