Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4956091338,skenny1500,0,373,C Onyeka Okongwu F Tristan da Silva G Collin Gillespie PF Lauri Markkanen PG Keyonte George SF Dillon Brooks SG Shaedon Sharpe UTIL Anthony Black,,Shaedon Sharpe,SG,56.75%,52
2,4954208031,invertedcheese (69/150),0,371,C Donovan Clingan F Lauri Markkanen G Josh Giddey PF Jerami Grant PG Anthony Black SF Kris Murray SG Shaedon Sharpe UTIL Onyeka Okongwu,,Deni Avdija,F,41.53%,50
2,4954780943,kszng (58/150),0,371,C Onyeka Okongwu F Tristan da Silva G Reed Sheppard PF Lauri Markkanen PG Josh Giddey SF Jordan Goodwin SG Shaedon Sharpe UTIL Daniel Gafford,,Derik Queen,C,40.11%,30.25
4,4954996530,gregr1224 (9/150),0,370.5,C Donovan Clingan F Kris Murray G Josh Giddey PF Lauri Markkanen PG Reed Sheppard SF Jerami Grant SG Shaedon Sharpe UTIL Onyeka Okongwu,,Jalen Johnson,PF,38.00%,50
5,4954996594,gregr1224 (73/150),0,370.25,C Donovan Clingan F Lauri Markkanen G Collin Gillespie PF Jerami Grant PG Josh Giddey SF Jordan Goodwin SG Shaedon Sharpe UTIL Matas Buzelis,,Jerami Grant,F,37.81%,36.75
6,4956306286,MistaQ7980 (78/150),0,368.5,C Donovan Clingan F Lauri Markkanen G Josh Giddey PF Jerami Grant PG Jose Alvarado SF Jordan Goodwin SG Shaedon Sharpe UTIL Onyeka Okongwu,,Anthony Black,PG,32.48%,31.25
7,4956000263,jordanh415,0,368.25,C Donovan Clingan F Lauri Markkanen G Collin Gillespie PF Jalen Johnson PG Anthony Black SF Dillon Brooks SG Shaedon Sharpe UTIL Daniel Gafford,,Donovan Clingan,C,27.67%,39.25
8,4956393166,sdoyle8448 (12/13),0,367.5,C Donovan Clingan F Jordan Goodwin G Isaiah Collier PF Lauri Markkanen PG Josh Giddey SF Toumani Camara SG Shaedon Sharpe UTIL Collin Gillespie,,Jeremiah Fears,UTIL,27.53%,24.75
9,4956413347,AshFrankNFL (5/5),0,366,C Donovan Clingan F Jerami Grant G Collin Gillespie PF Deni Avdija PG Anthony Black SF Moses Moody SG Shaedon Sharpe UTIL Lauri Markkanen,,Collin Gillespie,G,26.30%,39
10,4956140906,klink (2/2),0,365.75,C Donovan Clingan F Tristan da Silva G Collin Gillespie PF Lauri Markkanen PG Josh Giddey SF Jerami Grant SG Shaedon Sharpe UTIL Jeremiah Fears,,Tristan da Silva,SF,25.80%,32.5
11,4956389646,ndub23 (139/150),0,365.25,C Steven Adams F Lauri Markkanen G Collin Gillespie PF Jerami Grant PG Josh Giddey SF Klay Thompson SG Shaedon Sharpe UTIL Onyeka Okongwu,,Onyeka Okongwu,C,25.77%,48
12,4954834268,ImnotNavT (1/150),0,362.5,C Donovan Clingan F Dillon Brooks G Shaedon Sharpe PF Matas Buzelis PG Josh Giddey SF Jerami Grant SG Anthony Black UTIL Onyeka Okongwu,,Jordan Goodwin,F,22.55%,27.75
12,4954834404,ImnotNavT (137/150),0,362.5,C Donovan Clingan F Lauri Markkanen G Keyonte George PF Matas Buzelis PG Anthony Black SF Jerami Grant SG Shaedon Sharpe UTIL Onyeka Okongwu,,Toumani Camara,SF,22.00%,31
14,4956099182,BiigMoneyTK,0,361.75,C Donovan Clingan F Jordan Goodwin G Collin Gillespie PF Deni Avdija PG Josh Giddey SF Tristan da Silva SG Shaedon Sharpe UTIL Dillon Brooks,,Josh Giddey,UTIL,21.04%,72.25
14,4956247445,KingOfQueens2326 (3/3),0,361.75,C Onyeka Okongwu F Kyle Filipowski G Collin Gillespie PF Lauri Markkanen PG Reed Sheppard SF Jordan Goodwin SG Shaedon Sharpe UTIL Josh Giddey,,Reed Sheppard,SG,15.74%,30.75
16,4953388939,bpcologna (3/150),0,361.25,C Donovan Clingan F Lauri Markkanen G Collin Gillespie PF Deni Avdija PG Anthony Black SF Tristan da Silva SG Shaedon Sharpe UTIL Onyeka Okongwu,,Stephen Curry,G,15.09%,18.25
16,4956031787,Jdubcullen (1/2),0,361.25,C Donovan Clingan F Deni Avdija G Shaedon Sharpe PF Lauri Markkanen PG Anthony Black SF Tristan da Silva SG Collin Gillespie UTIL Onyeka Okongwu,,Lauri Markkanen,F,14.87%,69.25
18,4956158640,Freddy11 (17/30),0,361,C Donovan Clingan F Lauri Markkanen G Shaedon Sharpe PF Deni Avdija PG Anthony Black SF Dillon Brooks SG Kris Murray UTIL Onyeka Okongwu,,Keyonte George,PG,14.80%,52
19,4954593434,bgreseth (48/150),0,360.75,C Derik Queen F Jordan Goodwin G Collin Gillespie PF Lauri Markkanen PG Josh Giddey SF Toumani Camara SG Shaedon Sharpe UTIL Donovan Clingan,,Jusuf Nurkic,C,14.36%,37.5
19,4956020006,kush69 (2/3),0,360.75,C Derik Queen F Matas Buzelis G Josh Giddey PF Lauri Markkanen PG Anthony Black SF Tristan da Silva SG Shaedon Sharpe UTIL Donovan Clingan,,Alperen Sengun,C,13.38%,60
21,4956144505,Heibs22 (88/150),0,359.75,C Daniel Gafford F Dillon Brooks G Collin Gillespie PF Deni Avdija PG Anthony Black SF Jordan Goodwin SG Shaedon Sharpe UTIL Josh Giddey,,Saddiq Bey,PF,12.33%,25.25
22,4955761497,oxenduck (129/150),0,359.5,C Donovan Clingan F Lauri Markkanen G Keyonte George PF Jerami Grant PG Anthony Black SF Toumani Camara SG Shaedon Sharpe UTIL Onyeka Okongwu,,Matas Buzelis,PF,11.89%,34
23,4956389652,ndub23 (145/150),0,359,C Donovan Clingan F Dillon Brooks G Shaedon Sharpe PF Jerami Grant PG Josh Giddey SF Toumani Camara SG Reed Sheppard UTIL Onyeka Okongwu,,Desmond Bane,SG,11.62%,40.5
