Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4923601927,TJB128 (107/150),0,414.25,C Walker Kessler F Lauri Markkanen G Devin Booker PF Matas Buzelis PG Collin Gillespie SF Royce O'Neale SG Keyonte George UTIL Julius Randle,,Donte DiVincenzo,PG,53.14%,24.75
2,4923596934,hixx (134/150),0,413,C Naz Reid F Julius Randle G Keyonte George PF Royce O'Neale PG Collin Gillespie SF Lauri Markkanen SG VJ Edgecombe UTIL Devin Booker,,Victor Wembanyama,C,49.73%,52.25
3,4923506926,invertedcheese (105/150),0,410.75,C Nikola Jokic F Naz Reid G Collin Gillespie PF Lauri Markkanen PG Tre Jones SF Royce O'Neale SG Donte DiVincenzo UTIL Nikola Vucevic,,Royce O'Neale,F,38.13%,55.75
4,4923484350,ocdobv (17/150),0,410,C Nikola Vucevic F Lauri Markkanen G Collin Gillespie PF Matas Buzelis PG Devin Booker SF Grayson Allen SG Keyonte George UTIL Royce O'Neale,,Matas Buzelis,PF,36.88%,27.25
5,4924243260,nevertilt22 (5/7),0,405.25,C Walker Kessler F Lauri Markkanen G Collin Gillespie PF Royce O'Neale PG Devin Booker SF Grayson Allen SG Keyonte George UTIL Michael Porter Jr.,,Jeremiah Fears,SG,32.35%,7.5
6,4923609876,anshuld95 (1/50),0,404.5,C Walker Kessler F Grayson Allen G Collin Gillespie PF Royce O'Neale PG Devin Booker SF Lauri Markkanen SG Keyonte George UTIL Donte DiVincenzo,,Julius Randle,F,31.65%,42.75
7,4923828679,dacoltz (60/150),0,401.5,C Nikola Jokic F Jaden McDaniels G Collin Gillespie PF Royce O'Neale PG Tre Jones SF Lauri Markkanen SG Jeremiah Fears UTIL Devin Booker,,Tre Jones,G,30.47%,42.25
8,4923484355,ocdobv (22/150),0,400.5,C Anthony Davis F Lauri Markkanen G Devin Booker PF Royce O'Neale PG Tre Jones SF Ronald Holland II SG Keyonte George UTIL Collin Gillespie,,VJ Edgecombe,SF,26.61%,45.5
9,4923355500,zroth2 (36/150),0,397.5,C Chet Holmgren F Lauri Markkanen G Collin Gillespie PF Matas Buzelis PG Keyonte George SF Royce O'Neale SG Grayson Allen UTIL Devin Booker,,Nikola Jokic,UTIL,21.15%,72.75
10,4923447598,mbhabes (35/70),0,396.5,C Adem Bona F Julius Randle G Collin Gillespie PF Lauri Markkanen PG Tyrese Maxey SF Royce O'Neale SG Dylan Harper UTIL Devin Booker,,Trey Murphy III,G,19.01%,20.75
