Date,Rank,Points,Player_Count,Actual Score_sum,Actual Score_mean,Actual Score_std,Ownership_sum,Ownership_mean,Ownership_std,FPM_sum,FPM_mean,FPM_std,Usage_sum,Usage_mean,Usage_std,Momentum_sum,Momentum_mean,Momentum_std,FP_sum,FP_mean,FP_std,Minutes_sum,Minutes_mean,Minutes_std,ClutchFP_sum,ClutchFP_mean,ClutchFP_std,ClutchRatio_sum,ClutchRatio_mean,ClutchRatio_std,TouchesPerMin_sum,TouchesPerMin_mean,TouchesPerMin_std,ThreeRate_sum,ThreeRate_mean,ThreeRate_std,ScoringFrequency_sum,ScoringFrequency_mean,ScoringFrequency_std,ScoringConsistency_sum,ScoringConsistency_mean,ScoringConsistency_std,DominantQuarter_sum,DominantQuarter_mean,DominantQuarter_std,LateGameEmphasis_sum,LateGameEmphasis_mean,LateGameEmphasis_std,Substitutions_sum,Substitutions_mean,Substitutions_std,StarterOrStuffer_sum,StarterOrStuffer_mean,StarterOrStuffer_std
20251021,1,322.5,8,321.75,40.21875,22.178431245243655,260.42,32.5525,20.538003623944146,9.196128850353588,1.1495161062941985,0.47557623862971743,5.883814949842824,0.735476868730353,0.4054279124416046,0.0,0.0,0.0,319.5,39.9375,21.44334312288348,284.0,35.5,10.730463976122241,21.25,2.65625,2.5422764686117723,0.4826357801269853,0.060329472515873166,0.051673048636858426,5.897720617581244,0.7372150771976556,0.3430914327722547,4.241391941391941,0.5301739926739927,0.21794690952554135,1.215102982524585,0.15188787281557312,0.1405583487001528,3.610376898022706,0.45129711225283825,0.38695682113623514,21.0,2.625,1.0606601717798212,1.892156862745098,0.23651960784313725,0.36194694156728796,34.0,4.25,1.9820624179302297,4.0,0.5,0.5345224838248488
20251021,1,322.5,8,321.75,40.21875,22.178431245243655,260.42,32.5525,20.538003623944146,9.196128850353588,1.1495161062941985,0.47557623862971743,5.883814949842824,0.735476868730353,0.4054279124416046,0.0,0.0,0.0,319.5,39.9375,21.44334312288348,284.0,35.5,10.730463976122241,21.25,2.65625,2.5422764686117723,0.4826357801269853,0.060329472515873166,0.051673048636858426,5.897720617581244,0.7372150771976556,0.3430914327722547,4.241391941391941,0.5301739926739927,0.21794690952554135,1.215102982524585,0.15188787281557312,0.1405583487001528,3.610376898022706,0.45129711225283825,0.38695682113623514,21.0,2.625,1.0606601717798212,1.892156862745098,0.23651960784313725,0.36194694156728796,34.0,4.25,1.9820624179302297,4.0,0.5,0.5345224838248488
20251021,1,322.5,8,321.75,40.21875,22.178431245243655,260.42,32.5525,20.538003623944146,9.196128850353588,1.1495161062941985,0.47557623862971743,5.883814949842824,0.735476868730353,0.4054279124416046,0.0,0.0,0.0,319.5,39.9375,21.44334312288348,284.0,35.5,10.730463976122241,21.25,2.65625,2.5422764686117723,0.4826357801269853,0.060329472515873166,0.051673048636858426,5.897720617581244,0.7372150771976556,0.3430914327722547,4.241391941391941,0.5301739926739927,0.21794690952554135,1.215102982524585,0.15188787281557312,0.1405583487001528,3.610376898022706,0.45129711225283825,0.38695682113623514,21.0,2.625,1.0606601717798212,1.892156862745098,0.23651960784313725,0.36194694156728796,34.0,4.25,1.9820624179302297,4.0,0.5,0.5345224838248488
20251022,1,383.25,8,383.25,47.90625,15.21156602955227,136.57999999999998,17.072499999999998,24.30512570867071,10.323489643904853,1.4747842348435505,0.44690326509928574,6.362087725621876,0.9088696750888394,0.2830770264560988,0.0,0.0,0.0,353.5,50.5,13.192485234657898,243.0,34.714285714285715,5.529143565818179,22.0,3.142857142857143,3.4029923806639863,0.47318586924844747,0.06759798132120678,0.07051006292950512,4.996378418329638,0.7137683454756625,0.5837868950986382,1.225,0.17500000000000002,0.20463381929681124,1.4979942401304889,0.2139991771614984,0.19842649367130266,0.5523916299219509,0.07891308998885013,0.06001122845090554,11.0,1.5714285714285714,1.2724180205607034,1.365266106442577,0.19503801520608244,0.16531750884344815,14.0,2.0,1.632993161855452,2.0,0.2857142857142857,0.48795003647426655
20251022,2,379.5,8,379.5,47.4375,15.790904931998945,167.03,20.87875,23.35669768579699,10.964461430738709,1.5663516329626728,0.3506349489269286,6.716103747913761,0.9594433925591087,0.2801574808033471,0.0,0.0,0.0,349.75,49.964285714285715,14.078225334587758,227.0,32.42857142857143,8.810167286666447,22.5,3.2142857142857144,3.4139071318303174,0.48255968819850764,0.06893709831407252,0.06559979872038096,5.660418822370042,0.8086312603385775,0.6151319396542062,1.420238095238095,0.20289115646258502,0.25677135232119236,1.6952007883715199,0.2421715411959314,0.23023167911095085,1.503878363789882,0.21483976625569742,0.3520869420234881,9.0,1.2857142857142858,1.1126972805283737,1.1087184873949578,0.15838835534213683,0.17419455219269103,21.0,3.0,2.7688746209726918,1.0,0.14285714285714285,0.37796447300922725
20251022,3,370.75,8,370.75,46.34375,12.638474068720253,185.41000000000003,23.176250000000003,23.836657206615914,9.848011588801064,1.4068587984001522,0.40683686251105483,6.682717477454319,0.954673925350617,0.35186522858449854,0.0,0.0,0.0,336.5,48.07142857142857,10.810598855708578,243.0,34.714285714285715,5.794085654478071,26.0,3.7142857142857144,4.039978783536935,0.6039266064479671,0.08627522949256673,0.09396766606561706,5.845828245828246,0.8351183208326065,0.6822560384962355,1.2124542124542124,0.17320774463631605,0.21407652130664362,1.44013024013024,0.20573289144717716,0.2238098351948055,0.7388362711655277,0.10554803873793253,0.09917572788893858,14.0,2.0,1.9148542155126762,1.2343137254901961,0.17633053221288517,0.20808842088063703,17.0,2.4285714285714284,1.9023794624226837,5.0,0.7142857142857143,0.48795003647426655
20251023,1,415.75,8,415.75,51.96875,13.724611300767059,287.78,35.9725,21.17157511516663,10.51130931872031,1.3139136648400387,0.33933878346030966,7.594528928894254,0.9493161161117818,0.28682289152205404,0.0,0.0,0.0,411.25,51.40625,13.62373028159741,313.0,39.125,3.7961446607992015,38.0,4.75,3.6718037607071077,0.708957491526109,0.08861968644076362,0.06110407950681488,7.250832626451821,0.9063540783064776,0.23011928443701926,3.4305555555555554,0.4288194444444444,0.22183466949696778,2.3040523603991097,0.2880065450498887,0.1402410110230548,1.4001988204063252,0.17502485255079064,0.10013159766718287,25.0,3.125,1.1259916264596033,2.527905427905428,0.3159881784881785,0.2797660954760411,29.0,3.625,1.5059406173077154,5.0,0.625,0.5175491695067657
20251023,2,404.75,8,404.75,50.59375,24.024889437830925,260.73,32.59125,21.005817859073506,10.470466095466096,1.308808261933262,0.45676819552914033,7.792791742791743,0.9740989678489679,0.3519770772643188,0.0,0.0,0.0,401.75,50.21875,23.924896439542994,291.0,36.375,10.0844647141744,30.5,3.8125,4.364528284116984,0.6367926317773569,0.07959907897216961,0.07902584160987522,6.231456981456981,0.7789321226821226,0.4144873482826313,3.8833333333333333,0.48541666666666666,0.3418480935263777,1.7825353325353326,0.22281691656691657,0.1827077520802067,1.3670590942465903,0.1708823867808238,0.12099079192607341,20.0,2.5,1.8516401995451028,3.0432900432900434,0.3804112554112554,0.3837858273211769,24.0,3.0,1.8516401995451028,5.0,0.625,0.5175491695067657
20251023,3,403.75,8,403.75,50.46875,20.26407689730771,316.45000000000005,39.556250000000006,20.05467379618598,10.167421310733463,1.2709276638416829,0.4850851495475568,7.4604673832048025,0.9325584229006003,0.41312088304685657,0.0,0.0,0.0,402.25,50.28125,20.252176911207773,317.0,39.625,4.2067123233504535,28.0,3.5,3.4615231989895516,0.6074708331356851,0.07593385414196063,0.06317959951653977,5.789891823069158,0.7237364778836447,0.3818797686902697,3.9055555555555554,0.48819444444444443,0.3264019754215389,1.7829107113504836,0.22286383891881045,0.1812878966254753,1.1767875982180462,0.14709844977725578,0.12019092948011881,24.0,3.0,1.4142135623730951,2.0945720945720945,0.2618215118215118,0.311025163260479,25.0,3.125,1.9594095320493148,4.0,0.5,0.5345224838248488
20251024,1,334.25,8,334.25,41.78125,18.072491675392822,142.01,17.75125,12.025965286471958,9.33285908067158,1.3332655829530828,0.48554178447527485,5.404474718224718,0.7720678168892455,0.3211402695899859,0.0,0.0,0.0,294.5,42.07142857142857,18.588030582941833,219.0,31.285714285714285,5.707138387268052,21.0,3.0,3.1983068437325812,0.5656772295382818,0.08081103279118311,0.09825642390091013,5.733221354471355,0.8190316220673364,0.47902268692037286,1.8318181818181818,0.2616883116883117,0.29613973163573665,1.4523025623025623,0.20747179461465176,0.15614555387197154,0.7186151120058358,0.1026593017151194,0.08452351562954685,16.0,2.2857142857142856,1.7043362064926935,1.7013888888888888,0.24305555555555555,0.26214702900245657,29.0,4.142857142857143,1.9518001458970662,1.0,0.14285714285714285,0.37796447300922725
