,Actual Score_mean,Actual Score_mean,Ownership_mean,Ownership_mean,FPM_mean,FPM_mean,Usage_mean,Usage_mean,Momentum_mean,Momentum_mean,FP_mean,FP_mean,Minutes_mean,Minutes_mean,ClutchFP_mean,ClutchFP_mean,ClutchRatio_mean,ClutchRatio_mean,TouchesPerMin_mean,TouchesPerMin_mean,ThreeRate_mean,ThreeRate_mean,ScoringFrequency_mean,ScoringFrequency_mean,ScoringConsistency_mean,ScoringConsistency_mean,DominantQuarter_mean,DominantQuarter_mean,LateGameEmphasis_mean,LateGameEmphasis_mean,Substitutions_mean,Substitutions_mean,StarterOrStuffer_mean,StarterOrStuffer_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44.458333333333336,3.8780230143721424,25.801111111111112,6.53644571536162,1.2910319951512834,0.0855167196809482,0.8398384848848687,0.06398963763032643,0.0,0.0,43.808035714285715,3.7099479887704283,33.84623015873016,2.5847296839996785,3.077876984126984,0.9152166448093629,0.07019600517678183,0.015484787900159279,0.7972327112358019,0.08500265666581068,0.43542937295574863,0.15416562838129333,0.1855954288546859,0.05469155729273135,0.3017482668902941,0.21988061466882175,2.0148809523809526,0.5846119083916896,0.2207998792951524,0.09376583433453717,3.385912698412698,0.6705669782820194,0.49007936507936506,0.18600315105452975
2,44.73003472222222,4.488581231614386,22.678819444444446,7.2858444544150816,1.3087169188904273,0.09413435921067426,0.8688162506716374,0.06562310264898236,0.0,0.0,43.952380952380956,4.340321634492915,33.32242063492063,2.4762657036386138,2.658358134920635,1.1077384547647346,0.06308420587357702,0.02551708568360089,0.7953962760088066,0.07890836862248235,0.3823359333535279,0.09243882701607373,0.18927976849854086,0.04639449639311595,0.2339530507679796,0.18630990515016224,2.140376984126984,0.5411488315694881,0.27151870472839484,0.09444107769697527,3.3244047619047623,0.46346289059488377,0.44940476190476186,0.2768337131960354
3,45.315104166666664,3.7018321806700927,24.893645833333334,7.594093444503083,1.3451632061517147,0.05737628256141488,0.8712937564653079,0.057907586356419925,0.0,0.0,44.486111111111114,3.582439810479077,32.861607142857146,2.58990591293548,2.6726190476190474,0.9633177995882275,0.0619466146560827,0.02000550269933844,0.7795668837830539,0.06618331940280106,0.3692550823262483,0.12099568793718542,0.18753854674246895,0.03047176021360612,0.23052870447943405,0.14813538426558448,2.080357142857143,0.38602964634620174,0.2583417577898265,0.0880351902429893,2.9156746031746033,0.5498720436727402,0.5277777777777778,0.16260379820285625
